#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481224,19684878,HF68_gp02,HF68_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1481224,19684879,HF68_gp03,HF68_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684880,HF68_gp04,HF68_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684881,HF68_gp05,HF68_gp05,-,-,-,-,putative A transposase,protein-coding,-,-,-,putative A transposase,20200629,-
1481224,19684882,HF68_gp06,HF68_gp06,-,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200629,-
1481224,19684883,HF68_gp07,HF68_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684884,HF68_gp08,HF68_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684885,HF68_gp09,HF68_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684886,HF68_gp10,HF68_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684887,HF68_gp11,HF68_gp11,-,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210424,-
1481224,19684888,HF68_gp12,HF68_gp12,-,-,-,-,inhibition of exonuclease digestion of Mu DNA,protein-coding,-,-,-,inhibition of exonuclease digestion of Mu DNA,20200629,-
1481224,19684889,HF68_gp13,HF68_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684890,HF68_gp14,HF68_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
