#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575610,63926032,2,KDW74_gp02,PBI_ANTSIRABE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2575610,63926033,3,KDW74_gp03,PBI_ANTSIRABE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210422,-
2575610,63926034,4,KDW74_gp04,PBI_ANTSIRABE_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210422,-
2575610,63926035,5,KDW74_gp05,PBI_ANTSIRABE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926036,6,KDW74_gp06,PBI_ANTSIRABE_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2575610,63926037,7,KDW74_gp07,PBI_ANTSIRABE_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2575610,63926038,8,KDW74_gp08,PBI_ANTSIRABE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926039,9,KDW74_gp09,PBI_ANTSIRABE_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210422,-
2575610,63926040,10,KDW74_gp10,PBI_ANTSIRABE_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2575610,63926041,11,KDW74_gp11,PBI_ANTSIRABE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926042,12,KDW74_gp12,PBI_ANTSIRABE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2575610,63926043,13,KDW74_gp13,PBI_ANTSIRABE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2575610,63926044,15,KDW74_gp14,PBI_ANTSIRABE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2575610,63926045,16,KDW74_gp16,PBI_ANTSIRABE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2575610,63926046,14,KDW74_gp15,PBI_ANTSIRABE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2575610,63926047,17,KDW74_gp17,PBI_ANTSIRABE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2575610,63926048,18,KDW74_gp18,PBI_ANTSIRABE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2575610,63926049,19,KDW74_gp19,PBI_ANTSIRABE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926050,20,KDW74_gp20,PBI_ANTSIRABE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2575610,63926051,21,KDW74_gp21,PBI_ANTSIRABE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926052,22,KDW74_gp22,PBI_ANTSIRABE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2575610,63926053,23,KDW74_gp23,PBI_ANTSIRABE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926054,24,KDW74_gp24,PBI_ANTSIRABE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926055,25,KDW74_gp25,PBI_ANTSIRABE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926056,26,KDW74_gp26,PBI_ANTSIRABE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926057,27,KDW74_gp27,PBI_ANTSIRABE_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
2575610,63926058,28,KDW74_gp28,PBI_ANTSIRABE_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2575610,63926059,29,KDW74_gp29,PBI_ANTSIRABE_29,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2575610,63926060,30,KDW74_gp30,PBI_ANTSIRABE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926061,31,KDW74_gp31,PBI_ANTSIRABE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926062,32,KDW74_gp32,PBI_ANTSIRABE_32,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210422,-
2575610,63926063,33,KDW74_gp33,PBI_ANTSIRABE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926064,34,KDW74_gp34,PBI_ANTSIRABE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926065,35,KDW74_gp35,PBI_ANTSIRABE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926066,36,KDW74_gp36,PBI_ANTSIRABE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926067,37,KDW74_gp37,PBI_ANTSIRABE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926068,38,KDW74_gp38,PBI_ANTSIRABE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926069,39,KDW74_gp39,PBI_ANTSIRABE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926070,40,KDW74_gp40,PBI_ANTSIRABE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926071,41,KDW74_gp41,PBI_ANTSIRABE_41,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2575610,63926072,42,KDW74_gp42,PBI_ANTSIRABE_42,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210422,-
2575610,63926073,43,KDW74_gp43,PBI_ANTSIRABE_43,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210422,-
