#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1076926,52302163,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210407,-
1076926,64265121,E0J21_RS00005,E0J21_RS00005,E0J21_00005,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1076926,64265122,E0J21_RS00010,E0J21_RS00010,E0J21_00010,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20210424,-
1076926,64265123,E0J21_RS00015,E0J21_RS00015,E0J21_00015,-,-,-,ROK family transcriptional regulator,protein-coding,-,-,-,ROK family transcriptional regulator,20210424,-
1076926,64265124,E0J21_RS00020,E0J21_RS00020,E0J21_00020,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210424,-
1076926,64265125,E0J21_RS00025,E0J21_RS00025,E0J21_00025,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210424,-
1076926,64265126,E0J21_RS00030,E0J21_RS00030,E0J21_00030,-,-,-,MurR/RpiR family transcriptional regulator,protein-coding,-,-,-,MurR/RpiR family transcriptional regulator,20210424,-
1076926,64265127,E0J21_RS00035,E0J21_RS00035,E0J21_00035,-,-,-,RidA family protein,protein-coding,-,-,-,RidA family protein,20210424,-
1076926,64265128,E0J21_RS00040,E0J21_RS00040,E0J21_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
1076926,64265129,E0J21_RS00045,E0J21_RS00045,E0J21_00045,-,-,-,M81 family metallopeptidase,protein-coding,-,-,-,M81 family metallopeptidase,20210424,-
1076926,64265130,E0J21_RS00050,E0J21_RS00050,E0J21_00050,-,-,-,D-TA family PLP-dependent enzyme,protein-coding,-,-,-,D-TA family PLP-dependent enzyme,20210424,-
1076926,64265131,E0J21_RS00055,E0J21_RS00055,E0J21_00055,-,-,-,RNA polymerase subunit sigma-70,protein-coding,-,-,-,RNA polymerase subunit sigma-70,20210424,-
1076926,64265132,E0J21_RS00060,E0J21_RS00060,E0J21_00060,-,-,-,dihydrofolate reductase family protein,protein-coding,-,-,-,dihydrofolate reductase family protein,20210424,-
1076926,64265133,E0J21_RS00065,E0J21_RS00065,E0J21_00065,-,-,-,arginase family protein,protein-coding,-,-,-,arginase family protein,20210424,-
1076926,64265134,E0J21_RS00070,E0J21_RS00070,E0J21_00070,-,-,-,VOC family protein,protein-coding,-,-,-,VOC family protein,20210426,-
1076926,64265135,E0J21_RS00075,E0J21_RS00075,E0J21_00075,-,-,-,pseudo,pseudo,-,-,-,-,20210423,-
1076926,64265136,E0J21_RS00080,E0J21_RS00080,E0J21_00080,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210424,-
1076926,64265137,E0J21_RS00085,E0J21_RS00085,E0J21_00085,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210424,-
