#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696356,55626583,HWD04_gp02,HWD04_gp02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210327,-
2696356,55626584,HWD04_gp03,HWD04_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
2696356,55626585,HWD04_gp04,HWD04_gp04,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210129,-
2696356,55626586,HWD04_gp05,HWD04_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210129,-
2696356,55626587,HWD04_gp06,HWD04_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626588,HWD04_gp07,HWD04_gp07,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210129,-
2696356,55626589,HWD04_gp08,HWD04_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626590,HWD04_gp09,HWD04_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626591,HWD04_gp10,HWD04_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626592,HWD04_gp11,HWD04_gp11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210129,-
2696356,55626593,HWD04_gp12,HWD04_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626594,HWD04_gp13,HWD04_gp13,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2696356,55626595,HWD04_gp14,HWD04_gp14,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210129,-
2696356,55626596,HWD04_gp15,HWD04_gp15,-,-,-,-,endopeptidase tail protein,protein-coding,-,-,-,endopeptidase tail protein,20210129,-
2696356,55626597,HWD04_gp16,HWD04_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626598,HWD04_gp17,HWD04_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626599,HWD04_gp18,HWD04_gp18,-,-,-,-,putative reverse transcriptase,protein-coding,-,-,-,putative reverse transcriptase,20210129,-
2696356,55626600,HWD04_gp19,HWD04_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626601,HWD04_gp20,HWD04_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2696356,55626602,HWD04_gp21,HWD04_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2696356,55626603,HWD04_gp22,HWD04_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626604,HWD04_gp23,HWD04_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626605,HWD04_gp24,HWD04_gp24,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210129,-
2696356,55626606,HWD04_gp25,HWD04_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626607,HWD04_gp26,HWD04_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2696356,55626608,HWD04_gp27,HWD04_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696356,55626609,HWD04_gp28,HWD04_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626610,HWD04_gp29,HWD04_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626611,HWD04_gp30,HWD04_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626612,HWD04_gp31,HWD04_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626613,HWD04_gp32,HWD04_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626614,HWD04_gp33,HWD04_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2696356,55626615,HWD04_gp34,HWD04_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626616,HWD04_gp35,HWD04_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626617,HWD04_gp36,HWD04_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626618,HWD04_gp37,HWD04_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626619,HWD04_gp38,HWD04_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626620,HWD04_gp39,HWD04_gp39,-,-,-,-,CMP glycosidase,protein-coding,-,-,-,CMP glycosidase,20200620,-
2696356,55626621,HWD04_gp40,HWD04_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696356,55626622,HWD04_gp41,HWD04_gp41,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210129,-
2696356,55626623,HWD04_gp42,HWD04_gp42,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20210129,-
2696356,55626624,HWD04_gp43,HWD04_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2696356,55626625,HWD04_gp44,HWD04_gp44,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210129,-
2696356,55626626,HWD04_gp45,HWD04_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626627,HWD04_gp46,HWD04_gp46,-,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210129,-
2696356,55626628,HWD04_gp47,HWD04_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55626629,HWD04_gp48,HWD04_gp48,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210129,-
2696356,55626630,HWD04_gp49,HWD04_gp49,-,-,-,-,putative polymerase sigma factor,protein-coding,-,-,-,putative polymerase sigma factor,20200620,-
2696356,55626631,HWD04_gp50,HWD04_gp50,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210129,-
2696356,55626632,HWD04_gp01,HWD04_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696356,55636117,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
