#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099444,40101100,2,FDJ44_gp02,PBI_PIKMIN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099444,40101101,3,FDJ44_gp03,PBI_PIKMIN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2099444,40101102,4,FDJ44_gp04,PBI_PIKMIN_4,-,-,-,capsid morphogenesis protein,protein-coding,-,-,-,capsid morphogenesis protein,20201221,-
2099444,40101103,5,FDJ44_gp05,PBI_PIKMIN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2099444,40101104,6,FDJ44_gp06,PBI_PIKMIN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2099444,40101105,7,FDJ44_gp07,PBI_PIKMIN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101106,8,FDJ44_gp08,PBI_PIKMIN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101107,9,FDJ44_gp09,PBI_PIKMIN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101108,10,FDJ44_gp10,PBI_PIKMIN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101109,11,FDJ44_gp11,PBI_PIKMIN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101110,12,FDJ44_gp12,PBI_PIKMIN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101111,13,FDJ44_gp13,PBI_PIKMIN_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2099444,40101112,15,FDJ44_gp14,PBI_PIKMIN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2099444,40101113,16,FDJ44_gp16,PBI_PIKMIN_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2099444,40101114,14,FDJ44_gp15,PBI_PIKMIN_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2099444,40101115,17,FDJ44_gp17,PBI_PIKMIN_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099444,40101116,18,FDJ44_gp18,PBI_PIKMIN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099444,40101117,19,FDJ44_gp19,PBI_PIKMIN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101118,20,FDJ44_gp20,PBI_PIKMIN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101119,21,FDJ44_gp21,PBI_PIKMIN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
