#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
351366,8560169,cox1,-,-,-,1|MT,-,cytochrome oxidase subunit 1,protein-coding,-,-,-,-,20160806,-
351366,8560170,nad4,-,-,-,1|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160806,-
351366,8560171,nad2,-,-,-,1|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160806,-
351366,8560175,nad5,-,-,-,1|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160806,-
351366,8560183,nad1,-,-,-,1|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20160806,-
351366,8560184,cob,-,-,-,1|MT,-,cytochrome b,protein-coding,-,-,-,-,20160806,-
351366,11747837,rrnL4,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747838,rrnS2,-,-,-,1|MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747839,trnM,-,-,-,1|MT,-,tRNA,tRNA,-,-,-,-,20121212,-
351366,11747840,rrnL3,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747841,rrnL6,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747842,rrnS1,-,-,-,1|MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747843,rrnL7,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747844,rrnL1,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747845,rrnS4,-,-,-,1|MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747846,rrnL5,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747847,rrnL8,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747848,rrnL2,-,-,-,1|MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747849,rrnS3,-,-,-,1|MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20121212,-
351366,11747850,nad6,-,-,-,2|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20160806,-
