#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444876,11537944,CYLG_00012,CYLG_00012,-,-,-,-,transaldolase family protein,protein-coding,-,-,-,transaldolase family protein,20201220,-
444876,11537945,CYLG_00013,CYLG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537946,CYLG_00014,CYLG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537947,CYLG_00015,CYLG_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537948,CYLG_00016,CYLG_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537949,CYLG_00017,CYLG_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537950,CYLG_00018,CYLG_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537951,CYLG_00019,CYLG_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537952,CYLG_00020,CYLG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537953,CYLG_00021,CYLG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537954,CYLG_00022,CYLG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537955,CYLG_00023,CYLG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537956,CYLG_00024,CYLG_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537957,CYLG_00025,CYLG_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537958,CYLG_00026,CYLG_00026,-,-,-,-,gp0.7,protein-coding,-,-,-,gp0.7,20201220,-
444876,11537959,CYLG_00027,CYLG_00027,-,-,-,-,conserved hypothetical protein,other,-,-,-,-,20201220,-
444876,11537960,CYLG_00028,CYLG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537961,CYLG_00029,CYLG_00029,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
444876,11537962,CYLG_00030,CYLG_00030,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
444876,11537963,CYLG_00031,CYLG_00031,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
444876,11537964,CYLG_00032,CYLG_00032,-,-,-,-,primase/helicase,other,-,-,-,-,20201220,-
444876,11537965,CYLG_00033,CYLG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537966,CYLG_00034,CYLG_00034,-,-,-,-,DNA polymerase,other,-,-,-,-,20201220,-
444876,11537967,CYLG_00035,CYLG_00035,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
