#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
439809,5758629,1,PBI_TWEETY_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
439809,5758630,94,PBI_TWEETY_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758631,81,PBI_TWEETY_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758632,48,PBI_TWEETY_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758633,82,PBI_TWEETY_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758634,63,PBI_TWEETY_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758635,84,PBI_TWEETY_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758636,2,PBI_TWEETY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
439809,5758637,86,PBI_TWEETY_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758638,21,PBI_TWEETY_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758639,43,PBI_TWEETY_43,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
439809,5758640,19,PBI_TWEETY_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201220,-
439809,5758641,70,PBI_TWEETY_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758642,65,PBI_TWEETY_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758643,17,PBI_TWEETY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
439809,5758644,66,PBI_TWEETY_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758645,24,PBI_TWEETY_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758646,25,PBI_TWEETY_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758647,20,PBI_TWEETY_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758648,97,PBI_TWEETY_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758649,83,PBI_TWEETY_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758650,80,PBI_TWEETY_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758651,85,PBI_TWEETY_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758652,10,PBI_TWEETY_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758653,87,PBI_TWEETY_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758654,98,PBI_TWEETY_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758655,53,PBI_TWEETY_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758656,4,PBI_TWEETY_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
439809,5758657,9,PBI_TWEETY_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
439809,5758658,40,PBI_TWEETY_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758659,96,PBI_TWEETY_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
