#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047867,63911207,KDJ07_gp02,KDJ07_gp02,PHIRE_URLA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2047867,63911208,KDJ07_gp03,KDJ07_gp03,PHIRE_URLA_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210420,-
2047867,63911209,KDJ07_gp04,KDJ07_gp04,PHIRE_URLA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210420,-
2047867,63911210,KDJ07_gp05,KDJ07_gp05,PHIRE_URLA_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210420,-
2047867,63911211,KDJ07_gp06,KDJ07_gp06,PHIRE_URLA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911212,KDJ07_gp07,KDJ07_gp07,PHIRE_URLA_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2047867,63911213,KDJ07_gp08,KDJ07_gp08,PHIRE_URLA_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2047867,63911214,KDJ07_gp09,KDJ07_gp09,PHIRE_URLA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911215,KDJ07_gp10,KDJ07_gp10,PHIRE_URLA_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2047867,63911216,KDJ07_gp11,KDJ07_gp11,PHIRE_URLA_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2047867,63911217,KDJ07_gp12,KDJ07_gp12,PHIRE_URLA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2047867,63911218,KDJ07_gp15,KDJ07_gp15,PHIRE_URLA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2047867,63911219,KDJ07_gp16,KDJ07_gp16,PHIRE_URLA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2047867,63911220,KDJ07_gp17,KDJ07_gp17,PHIRE_URLA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2047867,63911221,KDJ07_gp18,KDJ07_gp18,PHIRE_URLA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
