#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1357715,26643180,AVV41_gp002,AVV41_gp002,MaMVDC_2,-,-,-,ribonucleoside-diphosphate reductase beta subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase beta subunit,20200629,-
1357715,26643181,AVV41_gp003,AVV41_gp003,MaMVDC_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643182,AVV41_gp004,AVV41_gp004,MaMVDC_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643183,AVV41_gp005,AVV41_gp005,MaMVDC_5,-,-,-,phycobilisome degradation protein NblA,protein-coding,-,-,-,phycobilisome degradation protein NblA,20200629,-
1357715,26643184,AVV41_gp006,AVV41_gp006,MaMVDC_6,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase alpha subunit,20200629,-
1357715,26643185,AVV41_gp007,AVV41_gp007,MaMVDC_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643186,AVV41_gp008,AVV41_gp008,MaMVDC_8,-,-,-,RecA recombinase,protein-coding,-,-,-,RecA recombinase,20200629,-
1357715,26643187,AVV41_gp009,AVV41_gp009,MaMVDC_9,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20200629,-
1357715,26643188,AVV41_gp010,AVV41_gp010,MaMVDC_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643189,AVV41_gp011,AVV41_gp011,MaMVDC_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643190,AVV41_gp012,AVV41_gp012,MaMVDC_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643191,AVV41_gp013,AVV41_gp013,MaMVDC_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643192,AVV41_gp014,AVV41_gp014,MaMVDC_14,-,-,-,DUF4926 domain-containing protein,protein-coding,-,-,-,DUF4926 domain-containing protein,20210123,-
1357715,26643193,AVV41_gp015,AVV41_gp015,MaMVDC_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643194,AVV41_gp016,AVV41_gp016,MaMVDC_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643195,AVV41_gp017,AVV41_gp017,MaMVDC_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643196,AVV41_gp018,AVV41_gp018,MaMVDC_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643197,AVV41_gp019,AVV41_gp019,MaMVDC_19,-,-,-,tail collar protein,protein-coding,-,-,-,tail collar protein,20200629,-
1357715,26643198,AVV41_gp020,AVV41_gp020,MaMVDC_20,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200629,-
1357715,26643199,AVV41_gp021,AVV41_gp021,MaMVDC_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643200,AVV41_gp022,AVV41_gp022,MaMVDC_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643201,AVV41_gp023,AVV41_gp023,MaMVDC_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643202,AVV41_gp024,AVV41_gp024,MaMVDC_24,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200629,-
1357715,26643203,AVV41_gp025,AVV41_gp025,MaMVDC_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643204,AVV41_gp026,AVV41_gp026,MaMVDC_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643205,AVV41_gp027,AVV41_gp027,MaMVDC_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643206,AVV41_gp028,AVV41_gp028,MaMVDC_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643207,AVV41_gp029,AVV41_gp029,MaMVDC_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643208,AVV41_gp030,AVV41_gp030,MaMVDC_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643209,AVV41_gp031,AVV41_gp031,MaMVDC_31,-,-,-,pentapeptide repeats family protein,protein-coding,-,-,-,pentapeptide repeats family protein,20200629,-
1357715,26643210,AVV41_gp032,AVV41_gp032,MaMVDC_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643211,AVV41_gp033,AVV41_gp033,MaMVDC_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643212,AVV41_gp034,AVV41_gp034,MaMVDC_34,-,-,-,XRE-family like protein,protein-coding,-,-,-,XRE-family like protein,20200629,-
1357715,26643213,AVV41_gp035,AVV41_gp035,MaMVDC_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643214,AVV41_gp036,AVV41_gp036,MaMVDC_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643215,AVV41_gp037,AVV41_gp037,MaMVDC_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643216,AVV41_gp038,AVV41_gp038,MaMVDC_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643217,AVV41_gp039,AVV41_gp039,MaMVDC_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643218,AVV41_gp040,AVV41_gp040,MaMVDC_40,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20200629,-
1357715,26643219,AVV41_gp041,AVV41_gp041,MaMVDC_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643220,AVV41_gp042,AVV41_gp042,MaMVDC_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643221,AVV41_gp043,AVV41_gp043,MaMVDC_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643222,AVV41_gp044,AVV41_gp044,MaMVDC_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643223,AVV41_gp045,AVV41_gp045,MaMVDC_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643224,AVV41_gp046,AVV41_gp046,MaMVDC_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643225,AVV41_gp047,AVV41_gp047,MaMVDC_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643226,AVV41_gp048,AVV41_gp048,MaMVDC_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643227,AVV41_gp049,AVV41_gp049,MaMVDC_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643228,AVV41_gp050,AVV41_gp050,MaMVDC_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643229,AVV41_gp051,AVV41_gp051,MaMVDC_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643230,AVV41_gp052,AVV41_gp052,MaMVDC_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643231,AVV41_gp053,AVV41_gp053,MaMVDC_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643232,AVV41_gp054,AVV41_gp054,MaMVDC_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643233,AVV41_gp055,AVV41_gp055,MaMVDC_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643234,AVV41_gp056,AVV41_gp056,MaMVDC_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643235,AVV41_gp057,AVV41_gp057,MaMVDC_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643236,AVV41_gp058,AVV41_gp058,MaMVDC_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643237,AVV41_gp059,AVV41_gp059,MaMVDC_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643238,AVV41_gp060,AVV41_gp060,MaMVDC_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643239,AVV41_gp061,AVV41_gp061,MaMVDC_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643240,AVV41_gp062,AVV41_gp062,MaMVDC_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643241,AVV41_gp063,AVV41_gp063,MaMVDC_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643242,AVV41_gp064,AVV41_gp064,MaMVDC_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643243,AVV41_gp065,AVV41_gp065,MaMVDC_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643244,AVV41_gp066,AVV41_gp066,MaMVDC_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643245,AVV41_gp067,AVV41_gp067,MaMVDC_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643246,AVV41_gp068,AVV41_gp068,MaMVDC_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643247,AVV41_gp069,AVV41_gp069,MaMVDC_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643248,AVV41_gp070,AVV41_gp070,MaMVDC_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643249,AVV41_gp071,AVV41_gp071,MaMVDC_71,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20200629,-
1357715,26643250,AVV41_gp072,AVV41_gp072,MaMVDC_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643251,AVV41_gp073,AVV41_gp073,MaMVDC_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643252,AVV41_gp074,AVV41_gp074,MaMVDC_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643253,AVV41_gp075,AVV41_gp075,MaMVDC_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643254,AVV41_gp076,AVV41_gp076,MaMVDC_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643255,AVV41_gp077,AVV41_gp077,MaMVDC_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643256,AVV41_gp078,AVV41_gp078,MaMVDC_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643257,AVV41_gp079,AVV41_gp079,MaMVDC_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643258,AVV41_gp080,AVV41_gp080,MaMVDC_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643259,AVV41_gp081,AVV41_gp081,MaMVDC_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643260,AVV41_gp082,AVV41_gp082,MaMVDC_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643261,AVV41_gp083,AVV41_gp083,MaMVDC_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643262,AVV41_gp084,AVV41_gp084,MaMVDC_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643263,AVV41_gp085,AVV41_gp085,MaMVDC_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643264,AVV41_gp086,AVV41_gp086,MaMVDC_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643265,AVV41_gp087,AVV41_gp087,MaMVDC_87,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1357715,26643266,AVV41_gp088,AVV41_gp088,MaMVDC_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643267,AVV41_gp089,AVV41_gp089,MaMVDC_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643268,AVV41_gp090,AVV41_gp090,MaMVDC_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643269,AVV41_gp091,AVV41_gp091,MaMVDC_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643270,AVV41_gp092,AVV41_gp092,MaMVDC_92,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20200629,-
1357715,26643271,AVV41_gp093,AVV41_gp093,MaMVDC_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643272,AVV41_gp094,AVV41_gp094,MaMVDC_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643273,AVV41_gp095,AVV41_gp095,MaMVDC_95,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20200629,-
1357715,26643274,AVV41_gp096,AVV41_gp096,MaMVDC_96,-,-,-,lysozyme/metalloendopeptidase,protein-coding,-,-,-,lysozyme/metalloendopeptidase,20200629,-
1357715,26643275,AVV41_gp097,AVV41_gp097,MaMVDC_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643276,AVV41_gp098,AVV41_gp098,MaMVDC_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643277,AVV41_gp099,AVV41_gp099,MaMVDC_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643278,AVV41_gp100,AVV41_gp100,MaMVDC_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643279,AVV41_gp101,AVV41_gp101,MaMVDC_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643280,AVV41_gp102,AVV41_gp102,MaMVDC_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643281,AVV41_gp103,AVV41_gp103,MaMVDC_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643282,AVV41_gp104,AVV41_gp104,MaMVDC_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643283,AVV41_gp105,AVV41_gp105,MaMVDC_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643284,AVV41_gp106,AVV41_gp106,MaMVDC_106,-,-,-,putative lysine/ornithine N-monooxygenase,protein-coding,-,-,-,putative lysine/ornithine N-monooxygenase,20200629,-
1357715,26643285,AVV41_gp107,AVV41_gp107,MaMVDC_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643286,AVV41_gp108,AVV41_gp108,MaMVDC_108,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1357715,26643287,AVV41_gp109,AVV41_gp109,MaMVDC_109,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1357715,26643288,AVV41_gp110,AVV41_gp110,MaMVDC_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643289,AVV41_gp111,AVV41_gp111,MaMVDC_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643290,AVV41_gp112,AVV41_gp112,MaMVDC_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643291,AVV41_gp113,AVV41_gp113,MaMVDC_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643292,AVV41_gp114,AVV41_gp114,MaMVDC_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643293,AVV41_gp115,AVV41_gp115,MaMVDC_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643294,AVV41_gp116,AVV41_gp116,MaMVDC_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643295,AVV41_gp117,AVV41_gp117,MaMVDC_117,-,-,-,DNA terminase,protein-coding,-,-,-,DNA terminase,20200629,-
1357715,26643296,AVV41_gp118,AVV41_gp118,MaMVDC_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643297,AVV41_gp119,AVV41_gp119,MaMVDC_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643298,AVV41_gp120,AVV41_gp120,MaMVDC_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643299,AVV41_gp121,AVV41_gp121,MaMVDC_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643300,AVV41_gp122,AVV41_gp122,MaMVDC_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643301,AVV41_gp123,AVV41_gp123,MaMVDC_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643302,AVV41_gp124,AVV41_gp124,MaMVDC_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643303,AVV41_gp125,AVV41_gp125,MaMVDC_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643304,AVV41_gp126,AVV41_gp126,MaMVDC_126,-,-,-,putative Fe-S oxidoreductase,protein-coding,-,-,-,putative Fe-S oxidoreductase,20200629,-
1357715,26643305,AVV41_gp127,AVV41_gp127,MaMVDC_127,-,-,-,transposase,protein-coding,-,-,-,transposase,20200629,-
1357715,26643306,AVV41_gp128,AVV41_gp128,MaMVDC_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643307,AVV41_gp129,AVV41_gp129,MaMVDC_129,-,-,-,putative Seryl-tRNA synthetase,protein-coding,-,-,-,putative Seryl-tRNA synthetase,20200629,-
1357715,26643308,AVV41_gp130,AVV41_gp130,MaMVDC_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643309,AVV41_gp131,AVV41_gp131,MaMVDC_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643310,AVV41_gp132,AVV41_gp132,MaMVDC_132,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1357715,26643311,AVV41_gp133,AVV41_gp133,MaMVDC_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643312,AVV41_gp134,AVV41_gp134,MaMVDC_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643313,AVV41_gp135,AVV41_gp135,MaMVDC_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643314,AVV41_gp136,AVV41_gp136,MaMVDC_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643315,AVV41_gp137,AVV41_gp137,MaMVDC_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643316,AVV41_gp138,AVV41_gp138,MaMVDC_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643317,AVV41_gp139,AVV41_gp139,MaMVDC_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643318,AVV41_gp140,AVV41_gp140,MaMVDC_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643319,AVV41_gp141,AVV41_gp141,MaMVDC_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643320,AVV41_gp142,AVV41_gp142,MaMVDC_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643321,AVV41_gp143,AVV41_gp143,MaMVDC_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643322,AVV41_gp144,AVV41_gp144,MaMVDC_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643323,AVV41_gp145,AVV41_gp145,MaMVDC_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643324,AVV41_gp146,AVV41_gp146,MaMVDC_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643325,AVV41_gp147,AVV41_gp147,MaMVDC_147,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1357715,26643326,AVV41_gp148,AVV41_gp148,MaMVDC_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643327,AVV41_gp149,AVV41_gp149,MaMVDC_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643328,AVV41_gp150,AVV41_gp150,MaMVDC_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643329,AVV41_gp151,AVV41_gp151,MaMVDC_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643330,AVV41_gp152,AVV41_gp152,MaMVDC_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643331,AVV41_gp153,AVV41_gp153,MaMVDC_153,-,-,-,putative DNA/RNA repair helicase,protein-coding,-,-,-,putative DNA/RNA repair helicase,20200629,-
1357715,26643332,AVV41_gp154,AVV41_gp154,MaMVDC_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643333,AVV41_gp155,AVV41_gp155,MaMVDC_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643334,AVV41_gp156,AVV41_gp156,MaMVDC_156,-,-,-,DNA polymerase III subunit gamma and tau,protein-coding,-,-,-,DNA polymerase III subunit gamma and tau,20200629,-
1357715,26643335,AVV41_gp157,AVV41_gp157,MaMVDC_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643336,AVV41_gp158,AVV41_gp158,MaMVDC_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643337,AVV41_gp159,AVV41_gp159,MaMVDC_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643338,AVV41_gp160,AVV41_gp160,MaMVDC_160,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20200629,-
1357715,26643339,AVV41_gp161,AVV41_gp161,MaMVDC_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643340,AVV41_gp162,AVV41_gp162,MaMVDC_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643341,AVV41_gp163,AVV41_gp163,MaMVDC_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643342,AVV41_gp164,AVV41_gp164,MaMVDC_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643343,AVV41_gp165,AVV41_gp165,MaMVDC_165,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1357715,26643344,AVV41_gp166,AVV41_gp166,MaMVDC_166,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20200629,-
1357715,26643345,AVV41_gp167,AVV41_gp167,MaMVDC_167,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1357715,26643346,AVV41_gp168,AVV41_gp168,MaMVDC_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643347,AVV41_gp169,AVV41_gp169,MaMVDC_169,-,-,-,PhoH-like phosphate starvation-inducible protein,protein-coding,-,-,-,PhoH-like phosphate starvation-inducible protein,20200629,-
1357715,26643348,AVV41_gp170,AVV41_gp170,MaMVDC_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1357715,26643349,AVV41_gp001,AVV41_gp001,MaMVDC_1,-,-,-,rIIA-like protein,protein-coding,-,-,-,rIIA-like protein,20200629,-
1357715,26680572,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Microcystis aeruginosa phage MaMV-DC).,other,-,-,-,-,20200513,-
