#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1597967,54975085,HOR02_gp02,HOR02_gp02,-,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20210327,-
1597967,54975086,HOR02_gp03,HOR02_gp03,-,-,-,-,putative internal virion protein C,protein-coding,-,-,-,putative internal virion protein C,20210327,-
1597967,54975087,HOR02_gp04,HOR02_gp04,-,-,-,-,putative internal virion protein D,protein-coding,-,-,-,putative internal virion protein D,20210327,-
1597967,54975088,HOR02_gp05,HOR02_gp05,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210327,-
1597967,54975089,HOR02_gp06,HOR02_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975090,HOR02_gp07,HOR02_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1597967,54975091,HOR02_gp08,HOR02_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975092,HOR02_gp09,HOR02_gp09,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20210327,-
1597967,54975093,HOR02_gp10,HOR02_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975094,HOR02_gp11,HOR02_gp11,-,-,-,-,putative packaging maturation protein A,protein-coding,-,-,-,putative packaging maturation protein A,20210327,-
1597967,54975095,HOR02_gp12,HOR02_gp12,-,-,-,-,putative packaging maturation protein B,protein-coding,-,-,-,putative packaging maturation protein B,20210327,-
1597967,54975096,HOR02_gp13,HOR02_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975097,HOR02_gp14,HOR02_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975098,HOR02_gp15,HOR02_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975099,HOR02_gp16,HOR02_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975100,HOR02_gp17,HOR02_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
