#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1316739,16207370,RIO-1_16,RIO-1_16,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1316739,16207371,RIO-1_50,RIO-1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207372,RIO-1_45,RIO-1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207373,RIO-1_3,RIO-1_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207374,RIO-1_44,RIO-1_44,-,-,-,-,T7-like tubular tail B family-like protein,protein-coding,-,-,-,T7-like tubular tail B family-like protein,20201221,-
1316739,16207375,RIO-1_12,RIO-1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207376,RIO-1_56,RIO-1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207377,RIO-1_21,RIO-1_21,-,-,-,-,T7-like DNA polymerase,protein-coding,-,-,-,T7-like DNA polymerase,20201221,-
1316739,16207378,RIO-1_49,RIO-1_49,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1316739,16207379,RIO-1_22,RIO-1_22,-,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20201221,-
1316739,16207380,RIO-1_13,RIO-1_13,-,-,-,-,amidoligase,protein-coding,-,-,-,amidoligase,20201221,-
1316739,16207381,RIO-1_38,RIO-1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207382,RIO-1_9,RIO-1_9,-,-,-,-,glutamine amidotransferase,protein-coding,-,-,-,glutamine amidotransferase,20201221,-
1316739,16207383,RIO-1_23,RIO-1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207384,RIO-1_46,RIO-1_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207385,RIO-1_47,RIO-1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207386,RIO-1_6,RIO-1_6,-,-,-,-,spanin,protein-coding,-,-,-,spanin,20201221,-
1316739,16207387,RIO-1_15,RIO-1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207388,RIO-1_7,RIO-1_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207389,RIO-1_55,RIO-1_55,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1316739,16207390,RIO-1_54,RIO-1_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207391,RIO-1_11,RIO-1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207392,RIO-1_8,RIO-1_8,-,-,-,-,gamma-glutamyl cyclotransferase,protein-coding,-,-,-,gamma-glutamyl cyclotransferase,20201221,-
1316739,16207393,RIO-1_25,RIO-1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207394,RIO-1_37,RIO-1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207395,RIO-1_30,RIO-1_30,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201221,-
1316739,16207396,RIO-1_41,RIO-1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207397,RIO-1_42,RIO-1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207398,RIO-1_14,RIO-1_14,-,-,-,-,ATP-grasp enzyme,protein-coding,-,-,-,ATP-grasp enzyme,20201221,-
1316739,16207399,RIO-1_1,RIO-1_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207400,RIO-1_34,RIO-1_34,-,-,-,-,RecBCD inhibitor,protein-coding,-,-,-,RecBCD inhibitor,20201221,-
1316739,16207401,RIO-1_35,RIO-1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207402,RIO-1_4,RIO-1_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207403,RIO-1_5,RIO-1_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207404,RIO-1_43,RIO-1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207405,RIO-1_29,RIO-1_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207406,RIO-1_27,RIO-1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207407,RIO-1_26,RIO-1_26,-,-,-,-,MazG ppGpp pyrophosphohydrolase,protein-coding,-,-,-,MazG ppGpp pyrophosphohydrolase,20201221,-
1316739,16207408,RIO-1_24,RIO-1_24,-,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20201221,-
1316739,16207409,RIO-1_52,RIO-1_52,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1316739,16207410,RIO-1_36,RIO-1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207411,RIO-1_10,RIO-1_10,-,-,-,-,COOH NH2 ligase,protein-coding,-,-,-,COOH NH2 ligase,20201221,-
1316739,16207412,RIO-1_20,RIO-1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207413,RIO-1_51,RIO-1_51,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1316739,16207414,RIO-1_39,RIO-1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207415,RIO-1_17,RIO-1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207416,RIO-1_31,RIO-1_31,-,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20201221,-
1316739,16207417,RIO-1_32,RIO-1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207418,RIO-1_2,RIO-1_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207419,RIO-1_28,RIO-1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207420,RIO-1_33,RIO-1_33,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1316739,16207421,RIO-1_48,RIO-1_48,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1316739,16207422,RIO-1_53,RIO-1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1316739,16207423,RIO-1_19,RIO-1_19,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1316739,16207424,RIO-1_40,RIO-1_40,-,-,-,-,T7-like tubular tail B family-like protein,protein-coding,-,-,-,T7-like tubular tail B family-like protein,20201221,-
1316739,16207425,RIO-1_18,RIO-1_18,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
