#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053723,55606164,HWB39_gp02,HWB39_gp02,SEA_WRIGHTON_2,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2053723,55606165,HWB39_gp03,HWB39_gp03,SEA_WRIGHTON_3,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2053723,55606166,HWB39_gp04,HWB39_gp04,SEA_WRIGHTON_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2053723,55606167,HWB39_gp05,HWB39_gp05,SEA_WRIGHTON_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606168,HWB39_gp06,HWB39_gp06,SEA_WRIGHTON_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606169,HWB39_gp07,HWB39_gp07,SEA_WRIGHTON_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606170,HWB39_gp08,HWB39_gp08,SEA_WRIGHTON_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606171,HWB39_gp09,HWB39_gp09,SEA_WRIGHTON_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606172,HWB39_gp10,HWB39_gp10,SEA_WRIGHTON_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606173,HWB39_gp11,HWB39_gp11,SEA_WRIGHTON_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606174,HWB39_gp12,HWB39_gp12,SEA_WRIGHTON_12,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2053723,55606175,HWB39_gp13,HWB39_gp13,SEA_WRIGHTON_13,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20210424,-
2053723,55606176,HWB39_gp14,HWB39_gp14,SEA_WRIGHTON_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606177,HWB39_gt01,HWB39_gt01,SEA_WRIGHTON_15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606178,HWB39_gt02,HWB39_gt02,SEA_WRIGHTON_16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606179,HWB39_gt03,HWB39_gt03,SEA_WRIGHTON_17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606180,HWB39_gt04,HWB39_gt04,SEA_WRIGHTON_18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606181,HWB39_gt05,HWB39_gt05,SEA_WRIGHTON_19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606182,HWB39_gt06,HWB39_gt06,SEA_WRIGHTON_20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606183,HWB39_gt07,HWB39_gt07,SEA_WRIGHTON_21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606184,HWB39_gt08,HWB39_gt08,SEA_WRIGHTON_22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606185,HWB39_gt09,HWB39_gt09,SEA_WRIGHTON_23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606186,HWB39_gt10,HWB39_gt10,SEA_WRIGHTON_24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606187,HWB39_gt11,HWB39_gt11,SEA_WRIGHTON_25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606188,HWB39_gt12,HWB39_gt12,SEA_WRIGHTON_26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606189,HWB39_gt13,HWB39_gt13,SEA_WRIGHTON_27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606190,HWB39_gt14,HWB39_gt14,SEA_WRIGHTON_28,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606191,HWB39_gt15,HWB39_gt15,SEA_WRIGHTON_29,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606192,HWB39_gt16,HWB39_gt16,SEA_WRIGHTON_30,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606193,HWB39_gt17,HWB39_gt17,SEA_WRIGHTON_31,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606194,HWB39_gt18,HWB39_gt18,SEA_WRIGHTON_32,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606195,HWB39_gt19,HWB39_gt19,SEA_WRIGHTON_33,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606196,HWB39_gt20,HWB39_gt20,SEA_WRIGHTON_34,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606197,HWB39_gt21,HWB39_gt21,SEA_WRIGHTON_35,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606198,HWB39_gt22,HWB39_gt22,SEA_WRIGHTON_36,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606199,HWB39_gt23,HWB39_gt23,SEA_WRIGHTON_37,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606200,HWB39_gp64,HWB39_gp64,SEA_WRIGHTON_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606201,HWB39_gp63,HWB39_gp63,SEA_WRIGHTON_39,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2053723,55606202,HWB39_gp62,HWB39_gp62,SEA_WRIGHTON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606203,HWB39_gp61,HWB39_gp61,SEA_WRIGHTON_41,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2053723,55606204,HWB39_gp60,HWB39_gp60,SEA_WRIGHTON_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606205,HWB39_gp59,HWB39_gp59,SEA_WRIGHTON_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606206,HWB39_gp58,HWB39_gp58,SEA_WRIGHTON_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606207,HWB39_gp57,HWB39_gp57,SEA_WRIGHTON_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606208,HWB39_gp56,HWB39_gp56,SEA_WRIGHTON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606209,HWB39_gp55,HWB39_gp55,SEA_WRIGHTON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606210,HWB39_gp54,HWB39_gp54,SEA_WRIGHTON_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2053723,55606211,HWB39_gp53,HWB39_gp53,SEA_WRIGHTON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2053723,55606212,HWB39_gp52,HWB39_gp52,SEA_WRIGHTON_50,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2053723,55606213,HWB39_gp51,HWB39_gp51,SEA_WRIGHTON_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606214,HWB39_gp50,HWB39_gp50,SEA_WRIGHTON_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606215,HWB39_gp49,HWB39_gp49,SEA_WRIGHTON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606216,HWB39_gp48,HWB39_gp48,SEA_WRIGHTON_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606217,HWB39_gp47,HWB39_gp47,SEA_WRIGHTON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606218,HWB39_gp46,HWB39_gp46,SEA_WRIGHTON_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606219,HWB39_gp45,HWB39_gp45,SEA_WRIGHTON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606220,HWB39_gp44,HWB39_gp44,SEA_WRIGHTON_58,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210424,-
2053723,55606221,HWB39_gp43,HWB39_gp43,SEA_WRIGHTON_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606222,HWB39_gp42,HWB39_gp42,SEA_WRIGHTON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606223,HWB39_gp41,HWB39_gp41,SEA_WRIGHTON_61,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2053723,55606224,HWB39_gp40,HWB39_gp40,SEA_WRIGHTON_62,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2053723,55606225,HWB39_gp39,HWB39_gp39,SEA_WRIGHTON_63,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200620,-
2053723,55606226,HWB39_gp38,HWB39_gp38,SEA_WRIGHTON_64,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210403,-
2053723,55606227,HWB39_gp37,HWB39_gp37,SEA_WRIGHTON_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606228,HWB39_gp36,HWB39_gp36,SEA_WRIGHTON_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606229,HWB39_gp35,HWB39_gp35,SEA_WRIGHTON_67,-,-,-,exonuclease/helicase,protein-coding,-,-,-,exonuclease/helicase,20210424,-
2053723,55606230,HWB39_gt24,HWB39_gt24,SEA_WRIGHTON_68,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053723,55606231,HWB39_gp34,HWB39_gp34,SEA_WRIGHTON_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606232,HWB39_gp01,HWB39_gp01,SEA_WRIGHTON_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2053723,55606233,HWB39_gp33,HWB39_gp33,SEA_WRIGHTON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606234,HWB39_gp32,HWB39_gp32,SEA_WRIGHTON_71,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210424,-
2053723,55606235,HWB39_gp31,HWB39_gp31,SEA_WRIGHTON_72,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2053723,55606236,HWB39_gp30,HWB39_gp30,SEA_WRIGHTON_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606237,HWB39_gp29,HWB39_gp29,SEA_WRIGHTON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606238,HWB39_gp28,HWB39_gp28,SEA_WRIGHTON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606239,HWB39_gp27,HWB39_gp27,SEA_WRIGHTON_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606240,HWB39_gp26,HWB39_gp26,SEA_WRIGHTON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606241,HWB39_gp25,HWB39_gp25,SEA_WRIGHTON_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053723,55606242,HWB39_gp24,HWB39_gp24,SEA_WRIGHTON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
