#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1310,23547158,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus mutans subsp. sobrinus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20150217,-
1310,57971602,dnaA,DK182_RS00005,DK181_00005|DK181_RS00005,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20210217,-
1310,57971603,dnaN,DK182_RS00010,DK181_00010|DK181_RS00010,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20200803,-
1310,57971604,DK182_RS00015,DK182_RS00015,DK181_00015|DK181_RS00015,-,-,-,DUF951 domain-containing protein,protein-coding,-,-,-,DUF951 domain-containing protein,20210217,-
1310,57971605,DK182_RS00020,DK182_RS00020,DK181_00020|DK181_RS00020,-,-,-,diacylglycerol kinase,protein-coding,-,-,-,diacylglycerol kinase,20200803,-
1310,57971606,ychF,DK182_RS00025,DK181_00025|DK181_RS00025,-,-,-,redox-regulated ATPase YchF,protein-coding,-,-,-,redox-regulated ATPase YchF,20210217,-
1310,57971607,DK182_RS00030,DK182_RS00030,DK181_00030|DK181_RS00030,-,-,-,aminoacyl-tRNA hydrolase,protein-coding,-,-,-,aminoacyl-tRNA hydrolase,20210217,-
1310,57971608,mfd,DK182_RS00035,DK181_00035|DK181_RS00035,-,-,-,transcription-repair coupling factor,protein-coding,-,-,-,transcription-repair coupling factor,20200803,-
1310,57971609,DK182_RS00040,DK182_RS00040,DK181_00040|DK181_RS00040,-,-,-,RNA-binding S4 domain-containing protein,protein-coding,-,-,-,RNA-binding S4 domain-containing protein,20210217,-
1310,57971610,DK182_RS00045,DK182_RS00045,DK181_00045|DK181_RS00045,-,-,-,septum formation initiator family protein,protein-coding,-,-,-,septum formation initiator family protein,20210217,-
1310,57971611,DK182_RS00050,DK182_RS00050,DK181_00050|DK181_RS00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210217,-
1310,57971612,DK182_RS00055,DK182_RS00055,DK181_00055|DK181_RS00055,-,-,-,serine hydrolase,protein-coding,-,-,-,serine hydrolase,20200803,-
1310,57971613,tilS,DK182_RS00060,DK181_00060|DK181_RS00060,-,-,-,tRNA lysidine(34) synthetase TilS,protein-coding,-,-,-,tRNA lysidine(34) synthetase TilS,20200803,-
1310,57971614,hpt,DK182_RS00065,DK181_00065|DK181_RS00065,-,-,-,hypoxanthine phosphoribosyltransferase,protein-coding,-,-,-,hypoxanthine phosphoribosyltransferase,20210217,-
1310,57971615,ftsH,DK182_RS00070,DK181_00070|DK181_RS00070,-,-,-,ATP-dependent zinc metalloprotease FtsH,protein-coding,-,-,-,ATP-dependent zinc metalloprotease FtsH,20210217,-
1310,57971616,DK182_RS00075,DK182_RS00075,DK181_00075|DK181_RS00075,-,-,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20210217,-
1310,57971617,DK182_RS00080,DK182_RS00080,DK181_00080|DK181_RS00080,-,-,-,IS30 family transposase,protein-coding,-,-,-,IS30 family transposase,20200803,-
1310,57971618,DK182_RS00085,DK182_RS00085,DK181_00085|DK181_RS00085,-,-,-,16S ribosomal RNA,rRNA,-,-,-,-,20210217,-
1310,57971619,DK182_RS00090,DK182_RS00090,DK181_00090|DK181_RS00090,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971620,DK182_RS00095,DK182_RS00095,DK181_00095|DK181_RS00095,-,-,-,23S ribosomal RNA,rRNA,-,-,-,-,20210217,-
1310,57971621,rrf,DK182_RS00100,DK181_00100|DK181_RS00100,-,-,-,5S ribosomal RNA,rRNA,-,-,-,-,20210217,-
1310,57971622,DK182_RS00105,DK182_RS00105,DK181_00105|DK181_RS00105,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971623,DK182_RS00110,DK182_RS00110,DK181_00110|DK181_RS00110,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971624,DK182_RS00115,DK182_RS00115,DK181_00115|DK181_RS00115,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971625,DK182_RS00120,DK182_RS00120,DK181_00120|DK181_RS00120,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971626,DK182_RS00125,DK182_RS00125,DK181_00125|DK181_RS00125,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971627,DK182_RS00130,DK182_RS00130,DK181_00130|DK181_RS00130,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971628,DK182_RS00135,DK182_RS00135,DK181_00135|DK181_RS00135,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971629,DK182_RS00140,DK182_RS00140,DK181_00140|DK181_RS00140,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971630,DK182_RS00145,DK182_RS00145,DK181_00145|DK181_RS00145,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971631,DK182_RS00150,DK182_RS00150,DK181_00150|DK181_RS00150,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971632,DK182_RS00155,DK182_RS00155,DK181_00155|DK181_RS00155,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971633,DK182_RS00160,DK182_RS00160,DK181_00160|DK181_RS00160,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971634,DK182_RS00165,DK182_RS00165,DK181_00165|DK181_RS00165,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971635,DK182_RS00170,DK182_RS00170,DK181_00170|DK181_RS00170,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971636,DK182_RS00175,DK182_RS00175,DK181_00175|DK181_RS00175,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971637,DK182_RS00180,DK182_RS00180,DK181_00180|DK181_RS00180,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971638,DK182_RS00185,DK182_RS00185,DK181_00185|DK181_RS00185,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971639,DK182_RS00190,DK182_RS00190,DK181_00190|DK181_RS00190,-,-,-,tRNA,tRNA,-,-,-,-,20210217,-
1310,57971640,mreC,DK182_RS00195,DK181_00195|DK181_RS00195,-,-,-,rod shape-determining protein MreC,protein-coding,-,-,-,rod shape-determining protein MreC,20210217,-
1310,57971641,mreD,DK182_RS00200,DK181_00200|DK181_RS00200,-,-,-,rod shape-determining protein MreD,protein-coding,-,-,-,rod shape-determining protein MreD,20210217,-
1310,57971642,DK182_RS00205,DK182_RS00205,DK181_00205|DK181_RS00205,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20200805,-
1310,57971643,DK182_RS00210,DK182_RS00210,DK181_00210|DK181_RS00210,-,-,-,ribose-phosphate diphosphokinase,protein-coding,-,-,-,ribose-phosphate diphosphokinase,20210217,-
1310,57971644,DK182_RS00215,DK182_RS00215,DK181_00215|DK181_RS00215,-,-,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20210217,-
1310,57971645,recO,DK182_RS00220,DK181_00220|DK181_RS00220,-,-,-,DNA repair protein RecO,protein-coding,-,-,-,DNA repair protein RecO,20200803,-
1310,57971646,plsX,DK182_RS00225,DK181_00225|DK181_RS00225,-,-,-,phosphate acyltransferase PlsX,protein-coding,-,-,-,phosphate acyltransferase PlsX,20210217,-
1310,57971647,DK182_RS00230,DK182_RS00230,DK181_00230|DK181_RS00230,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210217,-
1310,57971648,DK182_RS00235,DK182_RS00235,DK181_00235|DK181_RS00235,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20210217,-
1310,57971649,DK182_RS00240,DK182_RS00240,DK181_00240|DK181_RS00240,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20200803,-
1310,57971650,DK182_RS00245,DK182_RS00245,DK181_00245|DK181_RS00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210217,-
1310,57971651,DK182_RS00250,DK182_RS00250,DK181_00250|DK181_RS00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210217,-
1310,57971652,DK182_RS00255,DK182_RS00255,DK181_00255|DK181_RS00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210217,-
1310,57971653,DK182_RS00260,DK182_RS00260,DK181_00260|DK181_RS00260,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20210217,-
1310,57971654,DK182_RS00265,DK182_RS00265,DK181_00265|DK181_RS00265,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20200803,-
1310,57971655,DK182_RS00270,DK182_RS00270,DK181_00270|DK181_RS00270,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20200803,-
1310,57971656,DK182_RS00275,DK182_RS00275,DK181_00275|DK181_RS00275,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210217,-
1310,57971657,DK182_RS00280,DK182_RS00280,DK181_00280|DK181_RS00280,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20200803,-
1310,57971658,DK182_RS00285,DK182_RS00285,DK181_00285|DK181_RS00285,-,-,-,phosphoribosylaminoimidazolesuccinocarboxamide synthase,protein-coding,-,-,-,phosphoribosylaminoimidazolesuccinocarboxamide synthase,20200803,-
1310,57971659,DK182_RS00290,DK182_RS00290,DK181_00290|DK181_RS00290,-,-,-,phosphoribosylformylglycinamidine synthase,protein-coding,-,-,-,phosphoribosylformylglycinamidine synthase,20200803,-
1310,57971660,DK182_RS00300,DK182_RS00300,DK181_00300|DK181_RS00300,-,-,-,amidophosphoribosyltransferase,protein-coding,-,-,-,amidophosphoribosyltransferase,20200803,-
1310,57971661,DK182_RS00305,DK182_RS00305,DK181_00305|DK181_RS00305,-,-,-,phosphoribosylformylglycinamidine cyclo-ligase,protein-coding,-,-,-,phosphoribosylformylglycinamidine cyclo-ligase,20200803,-
1310,57971662,purN,DK182_RS00310,DK181_00310|DK181_RS00310,-,-,-,phosphoribosylglycinamide formyltransferase,protein-coding,-,-,-,phosphoribosylglycinamide formyltransferase,20200803,-
1310,57971663,DK182_RS00315,DK182_RS00315,DK181_00315|DK181_RS00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210217,-
