#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2562362,65068399,KMC61_gp02,KMC61_gp02,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2562362,65068400,KMC61_gp03,KMC61_gp03,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210607,-
2562362,65068401,KMC61_gp04,KMC61_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068402,KMC61_gp05,KMC61_gp05,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2562362,65068403,KMC61_gp06,KMC61_gp06,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2562362,65068404,KMC61_gp07,KMC61_gp07,-,-,-,-,transcriptional terminator,protein-coding,-,-,-,transcriptional terminator,20210607,-
2562362,65068405,KMC61_gp08,KMC61_gp08,-,-,-,-,head-tail conector protein,protein-coding,-,-,-,head-tail conector protein,20210612,-
2562362,65068406,KMC61_gp09,KMC61_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068407,KMC61_gp10,KMC61_gp10,-,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20210612,-
2562362,65068408,KMC61_gp11,KMC61_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068409,KMC61_gp12,KMC61_gp12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2562362,65068410,KMC61_gp13,KMC61_gp13,-,-,-,-,tail assembly chaperone protein,protein-coding,-,-,-,tail assembly chaperone protein,20210607,-
2562362,65068411,KMC61_gp14,KMC61_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068412,KMC61_gp15,KMC61_gp15,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210607,-
2562362,65068413,KMC61_gp16,KMC61_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068414,KMC61_gp17,KMC61_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068415,KMC61_gp18,KMC61_gp18,-,-,-,-,putative major teichoic acid biosynthesis protein C,protein-coding,-,-,-,putative major teichoic acid biosynthesis protein C,20210607,-
2562362,65068416,KMC61_gp19,KMC61_gp19,-,-,-,-,base plate upper protein,protein-coding,-,-,-,base plate upper protein,20210607,-
2562362,65068417,KMC61_gp20,KMC61_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2562362,65068418,KMC61_gp21,KMC61_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2562362,65068419,KMC61_gp22,KMC61_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2562362,65068420,KMC61_gp23,KMC61_gp23,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210607,-
2562362,65068421,KMC61_gp24,KMC61_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068422,KMC61_gp25,KMC61_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068423,KMC61_gp26,KMC61_gp26,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2562362,65068424,KMC61_gp27,KMC61_gp27,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210607,-
2562362,65068425,KMC61_gp28,KMC61_gp28,-,-,-,-,secreted protein,protein-coding,-,-,-,secreted protein,20210607,-
2562362,65068426,KMC61_gp29,KMC61_gp29,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2562362,65068427,KMC61_gp30,KMC61_gp30,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210607,-
2562362,65068428,KMC61_gp31,KMC61_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068429,KMC61_gp32,KMC61_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068430,KMC61_gp33,KMC61_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068431,KMC61_gp34,KMC61_gp34,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20210607,-
2562362,65068432,KMC61_gp35,KMC61_gp35,-,-,-,-,anti-repressor,protein-coding,-,-,-,anti-repressor,20210609,-
2562362,65068433,KMC61_gp36,KMC61_gp36,-,-,-,-,antirepresor,protein-coding,-,-,-,antirepresor,20210607,-
2562362,65068434,KMC61_gp37,KMC61_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068435,KMC61_gp38,KMC61_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068436,KMC61_gp39,KMC61_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068437,KMC61_gp40,KMC61_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068438,KMC61_gp41,KMC61_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068439,KMC61_gp42,KMC61_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2562362,65068440,KMC61_gp43,KMC61_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2562362,65068441,KMC61_gp44,KMC61_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2562362,65068442,KMC61_gp45,KMC61_gp45,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210609,-
2562362,65068443,KMC61_gp46,KMC61_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068444,KMC61_gp47,KMC61_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068445,KMC61_gp48,KMC61_gp48,-,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210607,-
2562362,65068446,KMC61_gp49,KMC61_gp49,-,-,-,-,DNA replication helicase loader,protein-coding,-,-,-,DNA replication helicase loader,20210607,-
2562362,65068447,KMC61_gp50,KMC61_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068448,KMC61_gp51,KMC61_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068449,KMC61_gp52,KMC61_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068450,KMC61_gp53,KMC61_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068451,KMC61_gp54,KMC61_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2562362,65068452,KMC61_gp55,KMC61_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
