#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
270161,2806860,vp2,PyrSV_gp20,-,-,-,-,virus coat protein VP2,protein-coding,-,-,-,virus coat protein VP2,20201220,-
270161,2806861,vp3,PyrSV_gp19,-,-,-,-,virus coat protein VP3,protein-coding,-,-,-,virus coat protein VP3,20201220,-
270161,2831215,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190327,-
270161,4432012,PyrSV_gp01,PyrSV_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432013,PyrSV_gp02,PyrSV_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432014,PyrSV_gp03,PyrSV_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432015,PyrSV_gp45,PyrSV_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432016,PyrSV_gp46,PyrSV_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432017,PyrSV_gp47,PyrSV_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432018,PyrSV_gp48,PyrSV_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432019,PyrSV_gp04,PyrSV_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432020,PyrSV_gp05,PyrSV_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432021,PyrSV_gp06,PyrSV_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432022,PyrSV_gp07,PyrSV_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432023,PyrSV_gp08,PyrSV_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432024,PyrSV_gp09,PyrSV_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432025,PyrSV_gp10,PyrSV_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432026,PyrSV_gp11,PyrSV_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432027,PyrSV_gp12,PyrSV_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432028,PyrSV_gp13,PyrSV_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432029,PyrSV_gp14,PyrSV_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432030,PyrSV_gp15,PyrSV_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
270161,4432031,PyrSV_gp16,PyrSV_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
