#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500821,24724990,ACQ69_gp02,ACQ69_gp02,PHL141N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500821,24724991,ACQ69_gp03,ACQ69_gp03,PHL141N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500821,24724992,ACQ69_gp04,ACQ69_gp04,PHL141N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24724993,ACQ69_gp05,ACQ69_gp05,PHL141N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500821,24724994,ACQ69_gp06,ACQ69_gp06,PHL141N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500821,24724995,ACQ69_gp07,ACQ69_gp07,PHL141N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24724996,ACQ69_gp08,ACQ69_gp08,PHL141N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24724997,ACQ69_gp09,ACQ69_gp09,PHL141N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24724998,ACQ69_gp10,ACQ69_gp10,PHL141N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24724999,ACQ69_gp11,ACQ69_gp11,PHL141N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500821,24725000,ACQ69_gp12,ACQ69_gp12,PHL141N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725001,ACQ69_gp13,ACQ69_gp13,PHL141N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725002,ACQ69_gp14,ACQ69_gp14,PHL141N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500821,24725003,ACQ69_gp15,ACQ69_gp15,PHL141N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500821,24725004,ACQ69_gp16,ACQ69_gp16,PHL141N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500821,24725005,ACQ69_gp17,ACQ69_gp17,PHL141N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725006,ACQ69_gp18,ACQ69_gp18,PHL141N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725007,ACQ69_gp19,ACQ69_gp19,PHL141N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500821,24725008,ACQ69_gp20,ACQ69_gp20,PHL141N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500821,24725009,ACQ69_gp21,ACQ69_gp21,PHL141N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500821,24725010,ACQ69_gp22,ACQ69_gp22,PHL141N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725011,ACQ69_gp23,ACQ69_gp23,PHL141N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500821,24725012,ACQ69_gp24,ACQ69_gp24,PHL141N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725013,ACQ69_gp25,ACQ69_gp25,PHL141N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725014,ACQ69_gp26,ACQ69_gp26,PHL141N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725015,ACQ69_gp27,ACQ69_gp27,PHL141N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725016,ACQ69_gp28,ACQ69_gp28,PHL141N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725017,ACQ69_gp29,ACQ69_gp29,PHL141N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725018,ACQ69_gp30,ACQ69_gp30,PHL141N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500821,24725019,ACQ69_gp31,ACQ69_gp31,PHL141N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500821,24725020,ACQ69_gp32,ACQ69_gp32,PHL141N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725021,ACQ69_gp33,ACQ69_gp33,PHL141N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500821,24725022,ACQ69_gp34,ACQ69_gp34,PHL141N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725023,ACQ69_gp35,ACQ69_gp35,PHL141N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500821,24725024,ACQ69_gp36,ACQ69_gp36,PHL141N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
