#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182349,40102468,2,FDJ57_gp02,PBI_SOUR_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
2182349,40102469,3,FDJ57_gp03,PBI_SOUR_3,-,-,-,QueC domain protein,protein-coding,-,-,-,QueC domain protein,20201221,-
2182349,40102470,4,FDJ57_gp04,PBI_SOUR_4,-,-,-,QueD domain protein,protein-coding,-,-,-,QueD domain protein,20201221,-
2182349,40102471,5,FDJ57_gp05,PBI_SOUR_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102472,7,FDJ57_gp07,PBI_SOUR_7,-,-,-,GTP cyclohydrolase I,protein-coding,-,-,-,GTP cyclohydrolase I,20201221,-
2182349,40102473,8,FDJ57_gp08,PBI_SOUR_8,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2182349,40102474,9,FDJ57_gp09,PBI_SOUR_9,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2182349,40102475,10,FDJ57_gp10,PBI_SOUR_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102476,11,FDJ57_gp11,PBI_SOUR_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2182349,40102477,12,FDJ57_gp12,PBI_SOUR_12,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
2182349,40102478,13,FDJ57_gp13,PBI_SOUR_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102479,14,FDJ57_gp14,PBI_SOUR_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2182349,40102480,15,FDJ57_gp15,PBI_SOUR_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102481,16,FDJ57_gp16,PBI_SOUR_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102482,17,FDJ57_gp17,PBI_SOUR_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102483,18,FDJ57_gp18,PBI_SOUR_18,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2182349,40102484,19,FDJ57_gp19,PBI_SOUR_19,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2182349,40102485,20,FDJ57_gp20,PBI_SOUR_20,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2182349,40102486,21,FDJ57_gp21,PBI_SOUR_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2182349,40102487,22,FDJ57_gp22,PBI_SOUR_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102488,23,FDJ57_gp23,PBI_SOUR_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2182349,40102489,24,FDJ57_gp24,PBI_SOUR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102490,26,FDJ57_gp25,PBI_SOUR_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2182349,40102491,27,FDJ57_gp27,PBI_SOUR_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102492,25,FDJ57_gp26,PBI_SOUR_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2182349,40102493,28,FDJ57_gp28,PBI_SOUR_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2182349,40102494,29,FDJ57_gp29,PBI_SOUR_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102495,30,FDJ57_gp30,PBI_SOUR_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102496,31,FDJ57_gp31,PBI_SOUR_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102497,32,FDJ57_gp32,PBI_SOUR_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102498,33,FDJ57_gp33,PBI_SOUR_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102499,34,FDJ57_gp34,PBI_SOUR_34,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2182349,40102500,35,FDJ57_gp35,PBI_SOUR_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102501,36,FDJ57_gp36,PBI_SOUR_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102502,37,FDJ57_gp37,PBI_SOUR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102503,38,FDJ57_gp38,PBI_SOUR_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102504,39,FDJ57_gp39,PBI_SOUR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102505,40,FDJ57_gp40,PBI_SOUR_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102506,41,FDJ57_gp41,PBI_SOUR_41,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102507,42,FDJ57_gp42,PBI_SOUR_42,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2182349,40102508,43,FDJ57_gp43,PBI_SOUR_43,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2182349,40102509,44,FDJ57_gp44,PBI_SOUR_44,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
2182349,40102510,45,FDJ57_gp45,PBI_SOUR_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102511,46,FDJ57_gp46,PBI_SOUR_46,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2182349,40102512,47,FDJ57_gp47,PBI_SOUR_47,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
2182349,40102513,48,FDJ57_gp48,PBI_SOUR_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102514,49,FDJ57_gp49,PBI_SOUR_49,-,-,-,exonuclease domain protein,protein-coding,-,-,-,exonuclease domain protein,20201221,-
2182349,40102515,50,FDJ57_gp50,PBI_SOUR_50,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2182349,40102516,51,FDJ57_gp51,PBI_SOUR_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
2182349,40102517,52,FDJ57_gp52,PBI_SOUR_52,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
2182349,40102518,53,FDJ57_gp53,PBI_SOUR_53,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2182349,40102519,54,FDJ57_gp54,PBI_SOUR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102520,55,FDJ57_gp55,PBI_SOUR_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102521,56,FDJ57_gp56,PBI_SOUR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102522,57,FDJ57_gp57,PBI_SOUR_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102523,58,FDJ57_gp58,PBI_SOUR_58,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201221,-
2182349,40102524,59,FDJ57_gp59,PBI_SOUR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102525,60,FDJ57_gp60,PBI_SOUR_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102526,61,FDJ57_gp61,PBI_SOUR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102527,62,FDJ57_gp62,PBI_SOUR_62,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2182349,40102528,63,FDJ57_gp63,PBI_SOUR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102529,64,FDJ57_gp64,PBI_SOUR_64,-,-,-,RNase E,protein-coding,-,-,-,RNase E,20201221,-
2182349,40102530,65,FDJ57_gp65,PBI_SOUR_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102531,66,FDJ57_gp66,PBI_SOUR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102532,67,FDJ57_gp67,PBI_SOUR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182349,40102533,68,FDJ57_gp68,PBI_SOUR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
