#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079257,55809327,HYP59_gp02,HYP59_gp02,RsoM1USA_2,-,-,-,DUF4123 domain-containing protein,protein-coding,-,-,-,DUF4123 domain-containing protein,20210424,-
2079257,55809328,HYP59_gp03,HYP59_gp03,RsoM1USA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809329,HYP59_gp04,HYP59_gp04,RsoM1USA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079257,55809330,HYP59_gp05,HYP59_gp05,RsoM1USA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079257,55809331,HYP59_gp06,HYP59_gp06,RsoM1USA_6,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200801,-
2079257,55809332,HYP59_gp07,HYP59_gp07,RsoM1USA_7,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200801,-
2079257,55809333,HYP59_gp08,HYP59_gp08,RsoM1USA_8,-,-,-,capsid scaffolding protein,protein-coding,-,-,-,capsid scaffolding protein,20210424,-
2079257,55809334,HYP59_gp09,HYP59_gp09,RsoM1USA_9,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210424,-
2079257,55809335,HYP59_gp10,HYP59_gp10,RsoM1USA_10,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200801,-
2079257,55809336,HYP59_gp11,HYP59_gp11,RsoM1USA_11,-,-,-,head completion/stabilization protein,protein-coding,-,-,-,head completion/stabilization protein,20210424,-
2079257,55809337,HYP59_gp12,HYP59_gp12,RsoM1USA_12,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809338,HYP59_gp13,HYP59_gp13,RsoM1USA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079257,55809339,HYP59_gp14,HYP59_gp14,RsoM1USA_14,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210424,-
2079257,55809340,HYP59_gp15,HYP59_gp15,RsoM1USA_15,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20210424,-
2079257,55809341,HYP59_gp16,HYP59_gp16,RsoM1USA_16,-,-,-,signal peptide protein,protein-coding,-,-,-,signal peptide protein,20200801,-
2079257,55809342,HYP59_gp17,HYP59_gp17,RsoM1USA_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210424,-
2079257,55809343,HYP59_gp18,HYP59_gp18,RsoM1USA_18,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210424,-
2079257,55809344,HYP59_gp19,HYP59_gp19,RsoM1USA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809345,HYP59_gp20,HYP59_gp20,RsoM1USA_20,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200801,-
2079257,55809346,HYP59_gp22,HYP59_gp22,RsoM1USA_22,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200801,-
2079257,55809347,HYP59_gp21,HYP59_gp21,RsoM1USA_21,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200801,-
2079257,55809348,HYP59_gp23,HYP59_gp23,RsoM1USA_23,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809349,HYP59_gp24,HYP59_gp24,RsoM1USA_24,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809350,HYP59_gp25,HYP59_gp25,RsoM1USA_25,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200704,-
2079257,55809351,HYP59_gp26,HYP59_gp26,RsoM1USA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079257,55809352,HYP59_gp27,HYP59_gp27,RsoM1USA_27,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200801,-
2079257,55809353,HYP59_gp28,HYP59_gp28,RsoM1USA_28,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20200801,-
2079257,55809354,HYP59_gp29,HYP59_gp29,RsoM1USA_29,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210424,-
2079257,55809355,HYP59_gp30,HYP59_gp30,RsoM1USA_30,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809356,HYP59_gp31,HYP59_gp31,RsoM1USA_31,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809357,HYP59_gp32,HYP59_gp32,RsoM1USA_32,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200801,-
2079257,55809358,HYP59_gp33,HYP59_gp33,RsoM1USA_33,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20200801,-
2079257,55809359,HYP59_gp34,HYP59_gp34,RsoM1USA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809360,HYP59_gp35,HYP59_gp35,RsoM1USA_35,-,-,-,-,other,-,-,-,-,20200910,-
2079257,55809361,HYP59_gp36,HYP59_gp36,RsoM1USA_36,-,-,-,IS3 family transposase,protein-coding,-,-,-,IS3 family transposase,20200801,-
2079257,55809362,HYP59_gp37,HYP59_gp37,RsoM1USA_37,-,-,-,IS2 insertion element repressor,protein-coding,-,-,-,IS2 insertion element repressor,20210424,-
2079257,55809363,HYP59_gp38,HYP59_gp38,RsoM1USA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809364,HYP59_gp39,HYP59_gp39,RsoM1USA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809365,HYP59_gp40,HYP59_gp40,RsoM1USA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809366,HYP59_gp41,HYP59_gp41,RsoM1USA_41,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210424,-
2079257,55809367,HYP59_gp42,HYP59_gp42,RsoM1USA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809368,HYP59_gp43,HYP59_gp43,RsoM1USA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809369,HYP59_gp44,HYP59_gp44,RsoM1USA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809370,HYP59_gp45,HYP59_gp45,RsoM1USA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809371,HYP59_gp46,HYP59_gp46,RsoM1USA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809372,HYP59_gp47,HYP59_gp47,RsoM1USA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809373,HYP59_gp48,HYP59_gp48,RsoM1USA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809374,HYP59_gp49,HYP59_gp49,RsoM1USA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809375,HYP59_gp50,HYP59_gp50,RsoM1USA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809376,HYP59_gp51,HYP59_gp51,RsoM1USA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809377,HYP59_gp52,HYP59_gp52,RsoM1USA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079257,55809378,HYP59_gp53,HYP59_gp53,RsoM1USA_55,-,-,-,DUF4224 domain-containing protein,protein-coding,-,-,-,DUF4224 domain-containing protein,20210424,-
2079257,55809379,HYP59_gp54,HYP59_gp54,RsoM1USA_56,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2079257,55809380,HYP59_gp55,HYP59_gp55,RsoM1USA_57,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20200801,-
2079257,55809381,HYP59_gp56,HYP59_gp56,RsoM1USA_58,-,-,-,DUF3800 domain-containing protein,protein-coding,-,-,-,DUF3800 domain-containing protein,20200704,-
