#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
756275,11605215,S-CBS4_gp012,S-CBS4_gp012,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
756275,11605216,S-CBS4_gp013,S-CBS4_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605217,S-CBS4_gp014,S-CBS4_gp014,-,-,-,-,glycosyl transferase group I,protein-coding,-,-,-,glycosyl transferase group I,20201220,-
756275,11605218,S-CBS4_gp015,S-CBS4_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605219,S-CBS4_gp016,S-CBS4_gp016,-,-,-,-,methyltransferase type II,protein-coding,-,-,-,methyltransferase type II,20201220,-
756275,11605220,S-CBS4_gp017,S-CBS4_gp017,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
756275,11605221,S-CBS4_gp018,S-CBS4_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605222,S-CBS4_gp019,S-CBS4_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605223,S-CBS4_gp020,S-CBS4_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605224,S-CBS4_gp021,S-CBS4_gp021,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
756275,11605225,S-CBS4_gp022,S-CBS4_gp022,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
756275,11605226,S-CBS4_gp023,S-CBS4_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605227,S-CBS4_gp024,S-CBS4_gp024,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
756275,11605228,S-CBS4_gp025,S-CBS4_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605229,S-CBS4_gp026,S-CBS4_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605230,S-CBS4_gp027,S-CBS4_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605231,S-CBS4_gp028,S-CBS4_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605232,S-CBS4_gp029,S-CBS4_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605233,S-CBS4_gp030,S-CBS4_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605234,S-CBS4_gp031,S-CBS4_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605235,S-CBS4_gp032,S-CBS4_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605236,S-CBS4_gp033,S-CBS4_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605237,S-CBS4_gp034,S-CBS4_gp034,-,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201220,-
756275,11605238,S-CBS4_gp035,S-CBS4_gp035,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
756275,11605239,S-CBS4_gp036,S-CBS4_gp036,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201220,-
756275,11605240,S-CBS4_gp037,S-CBS4_gp037,-,-,-,-,phage tail assembly protein,protein-coding,-,-,-,phage tail assembly protein,20201220,-
756275,11605241,S-CBS4_gp038,S-CBS4_gp038,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201220,-
756275,11605242,S-CBS4_gp039,S-CBS4_gp039,-,-,-,-,tail tip fiber protein,protein-coding,-,-,-,tail tip fiber protein,20201220,-
756275,11605243,S-CBS4_gp040,S-CBS4_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605244,S-CBS4_gp041,S-CBS4_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605245,S-CBS4_gp042,S-CBS4_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605246,S-CBS4_gp043,S-CBS4_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605247,S-CBS4_gp044,S-CBS4_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605248,S-CBS4_gp045,S-CBS4_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605249,S-CBS4_gp046,S-CBS4_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605250,S-CBS4_gp047,S-CBS4_gp047,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
756275,11605251,S-CBS4_gp048,S-CBS4_gp048,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
756275,11605252,S-CBS4_gp049,S-CBS4_gp049,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
756275,11605253,S-CBS4_gp050,S-CBS4_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605254,S-CBS4_gp051,S-CBS4_gp051,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201220,-
756275,11605255,S-CBS4_gp052,S-CBS4_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605256,S-CBS4_gp053,S-CBS4_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605257,S-CBS4_gp054,S-CBS4_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605258,S-CBS4_gp055,S-CBS4_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605259,S-CBS4_gp056,S-CBS4_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605260,S-CBS4_gp057,S-CBS4_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605261,S-CBS4_gp058,S-CBS4_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605262,S-CBS4_gp059,S-CBS4_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605263,S-CBS4_gp060,S-CBS4_gp060,-,-,-,-,Srd putative anti-sigma factor,protein-coding,-,-,-,Srd putative anti-sigma factor,20201220,-
756275,11605264,S-CBS4_gp061,S-CBS4_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605265,S-CBS4_gp062,S-CBS4_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605266,S-CBS4_gp063,S-CBS4_gp063,-,-,-,-,N-acetylmuramidase,protein-coding,-,-,-,N-acetylmuramidase,20201220,-
756275,11605267,S-CBS4_gp064,S-CBS4_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605268,S-CBS4_gp065,S-CBS4_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605269,S-CBS4_gp066,S-CBS4_gp066,-,-,-,-,HNH nuclease,protein-coding,-,-,-,HNH nuclease,20201220,-
756275,11605270,S-CBS4_gp067,S-CBS4_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605271,S-CBS4_gp068,S-CBS4_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605272,S-CBS4_gp069,S-CBS4_gp069,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
756275,11605273,thy1,S-CBS4_gp070,-,-,-,-,thymidilate synthase,protein-coding,-,-,-,thymidilate synthase,20201220,-
756275,11605274,S-CBS4_gp071,S-CBS4_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
756275,11605275,S-CBS4_gp072,S-CBS4_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
