#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499073,55009644,HOU93_gp02,HOU93_gp02,AAS23_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2499073,55009645,HOU93_gp03,HOU93_gp03,AAS23_gp03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2499073,55009646,HOU93_gp04,HOU93_gp04,AAS23_gp04,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210212,-
2499073,55009647,HOU93_gp05,HOU93_gp05,AAS23_gp05,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210212,-
2499073,55009648,HOU93_gp06,HOU93_gp06,AAS23_gp06,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
2499073,55009649,HOU93_gp07,HOU93_gp07,AAS23_gp07,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
2499073,55009650,HOU93_gp08,HOU93_gp08,AAS23_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009651,HOU93_gp09,HOU93_gp09,AAS23_gp09,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20210212,-
2499073,55009652,HOU93_gp10,HOU93_gp10,AAS23_gp10,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20201221,-
2499073,55009653,HOU93_gp11,HOU93_gp11,AAS23_gp11,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20201221,-
2499073,55009654,HOU93_gp12,HOU93_gp12,AAS23_gp12,-,-,-,putative tail completion protein,protein-coding,-,-,-,putative tail completion protein,20210212,-
2499073,55009655,HOU93_gp13,HOU93_gp13,AAS23_gp13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210212,-
2499073,55009656,HOU93_gp14,HOU93_gp14,AAS23_gp14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210212,-
2499073,55009657,HOU93_gp15,HOU93_gp15,AAS23_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499073,55009658,HOU93_gp16,HOU93_gp16,AAS23_gp16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210212,-
2499073,55009659,HOU93_gp17,HOU93_gp17,AAS23_gp17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499073,55009660,HOU93_gp18,HOU93_gp18,AAS23_gp18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499073,55009661,HOU93_gp19,HOU93_gp19,AAS23_gp19,-,-,-,putative tail-associated protein,protein-coding,-,-,-,putative tail-associated protein,20210212,-
2499073,55009662,HOU93_gp20,HOU93_gp20,AAS23_gp20,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210212,-
2499073,55009663,HOU93_gp21,HOU93_gp21,AAS23_gp21,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
2499073,55009664,HOU93_gp22,HOU93_gp22,AAS23_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009665,HOU93_gp23,HOU93_gp23,AAS23_gp23,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
2499073,55009666,HOU93_gp24,HOU93_gp24,AAS23_gp24,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210212,-
2499073,55009667,HOU93_gp25,HOU93_gp25,AAS23_gp25,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210212,-
2499073,55009668,HOU93_gp26,HOU93_gp26,AAS23_gp26,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210212,-
2499073,55009669,HOU93_gp27,HOU93_gp27,AAS23_gp27,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20210212,-
2499073,55009670,HOU93_gp28,HOU93_gp28,AAS23_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009671,HOU93_gp29,HOU93_gp29,AAS23_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499073,55009672,HOU93_gp30,HOU93_gp30,AAS23_gp30,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210212,-
2499073,55009673,HOU93_gp31,HOU93_gp31,AAS23_gp31,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210212,-
2499073,55009674,HOU93_gp32,HOU93_gp32,AAS23_gp32,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210212,-
2499073,55009675,HOU93_gp33,HOU93_gp33,AAS23_gp33,-,-,-,putative nuclease containing VRR-NUC domain,protein-coding,-,-,-,putative nuclease containing VRR-NUC domain,20210212,-
2499073,55009676,HOU93_gp34,HOU93_gp34,AAS23_gp34,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20210212,-
2499073,55009677,HOU93_gp35,HOU93_gp35,AAS23_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
