#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
120574,955965,MM1p10,MM1p10,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
120574,955966,MM1p14,MM1p14,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201220,-
120574,955967,MM1p21,MM1p21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955968,mml,MM1p53,-,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,20201220,-
120574,955969,MM1p05,MM1p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955970,MM1p29,MM1p29,-,-,-,-,DUF4417 domain-containing protein,protein-coding,-,-,-,DUF4417 domain-containing protein,20201220,-
120574,955971,MM1p34,MM1p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955972,MM1p39,MM1p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955973,MM1p24,MM1p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955974,MM1p38,MM1p38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955975,MM1p28,MM1p28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955976,MM1p32,MM1p32,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201220,-
120574,955977,MM1p18,MM1p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955978,MM1p31,MM1p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955979,MM1p16,MM1p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955980,MM1p37,MM1p37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955981,MM1p22,MM1p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955982,MM1p19,MM1p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955983,MM1p33,MM1p33,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
120574,955984,MM1p15,MM1p15,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200629,-
120574,955985,MM1p11,MM1p11,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201220,-
120574,955986,MM1p23,MM1p23,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201220,-
120574,955987,MM1p12,MM1p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955988,int,MM1p01,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
120574,955989,cI,MM1p04,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
120574,955990,MM1p20,MM1p20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
120574,955991,MM1p40,MM1p40,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210417,-
120574,955992,MM1p41,MM1p41,-,-,-,-,putative minor capsid protein 3,protein-coding,-,-,-,putative minor capsid protein 3,20201220,-
120574,955993,MM1p13,MM1p13,-,-,-,-,putative SSB protein,protein-coding,-,-,-,putative SSB protein,20201220,-
120574,955994,MM1p26,MM1p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955995,MM1p30,MM1p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
120574,955996,MM1p17,MM1p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
