#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1052671,18562098,2,CL79_gp002,OLINE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210406,-
1052671,18562099,3,CL79_gp003,OLINE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562100,4,CL79_gp004,OLINE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562101,5,CL79_gp005,OLINE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562102,6,CL79_gp006,OLINE_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210123,-
1052671,18562103,8,CL79_gp008,OLINE_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1052671,18562104,9,CL79_gp009,OLINE_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1052671,18562105,10,CL79_gp010,OLINE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562106,11,CL79_gp011,OLINE_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1052671,18562107,12,CL79_gp012,OLINE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562108,13,CL79_gp013,OLINE_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562109,14,CL79_gp014,OLINE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562110,15,CL79_gp015,OLINE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562111,16,CL79_gp016,OLINE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562112,17,CL79_gp017,OLINE_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1052671,18562113,18,CL79_gp018,OLINE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562114,22,CL79_gp022,OLINE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562115,23,CL79_gp023,OLINE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562116,24,CL79_gp024,OLINE_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1052671,18562117,25,CL79_gp025,OLINE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562118,26,CL79_gp026,OLINE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562119,28,CL79_gp028,OLINE_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1052671,18562120,29,CL79_gp029,OLINE_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1052671,18562121,30,CL79_gp030,OLINE_30,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1052671,18562122,31,CL79_gp031,OLINE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1052671,18562123,32,CL79_gp032,OLINE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1052671,18562124,33,CL79_gp033,OLINE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562125,34,CL79_gp034,OLINE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562126,35,CL79_gp035,OLINE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562127,36,CL79_gp036,OLINE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562128,37,CL79_gp037,OLINE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562129,38,CL79_gp038,OLINE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562130,39,CL79_gp039,OLINE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562131,40,CL79_gp040,OLINE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562132,41,CL79_gp041,OLINE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562133,42,CL79_gp042,OLINE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562134,48,CL79_gp048,OLINE_48,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1052671,18562135,49,CL79_gp049,OLINE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562136,67,CL79_gp067,OLINE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562137,68,CL79_gp068,OLINE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562138,69,CL79_gp069,OLINE_69,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1052671,18562139,70,CL79_gp070,OLINE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562140,71,CL79_gp071,OLINE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562141,72,CL79_gp072,OLINE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1052671,18562142,73,CL79_gp073,OLINE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562143,74,CL79_gp074,OLINE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562144,75,CL79_gp075,OLINE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562145,76,CL79_gp076,OLINE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562146,101,CL79_gp101,OLINE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562147,100,CL79_gp100,OLINE_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562148,99,CL79_gp099,OLINE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562149,98,CL79_gp098,OLINE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562150,97,CL79_gp097,OLINE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562151,96,CL79_gp096,OLINE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562152,95,CL79_gp095,OLINE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562153,94,CL79_gp094,OLINE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562154,93,CL79_gp093,OLINE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562155,92,CL79_gp092,OLINE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562156,91,CL79_gp091,OLINE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562157,90,CL79_gp090,OLINE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562158,89,CL79_gp089,OLINE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562159,88,CL79_gp088,OLINE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562160,87,CL79_gp087,OLINE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562161,86,CL79_gp086,OLINE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562162,85,CL79_gp085,OLINE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562163,84,CL79_gp084,OLINE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562164,83,CL79_gp083,OLINE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562165,82,CL79_gp082,OLINE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562166,81,CL79_gp081,OLINE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562167,80,CL79_gp080,OLINE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562168,79,CL79_gp079,OLINE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562169,78,CL79_gp078,OLINE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562170,77,CL79_gp077,OLINE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562171,66,CL79_gp066,OLINE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562172,65,CL79_gp065,OLINE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562173,64,CL79_gp064,OLINE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562174,63,CL79_gp063,OLINE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562175,62,CL79_gp062,OLINE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562176,61,CL79_gp061,OLINE_61,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1052671,18562177,60,CL79_gp060,OLINE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562178,59,CL79_gp059,OLINE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562179,58,CL79_gp058,OLINE_58,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1052671,18562180,57,CL79_gp057,OLINE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562181,56,CL79_gp056,OLINE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562182,55,CL79_gp055,OLINE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562183,54,CL79_gp054,OLINE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562184,53,CL79_gp053,OLINE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562185,52,CL79_gp052,OLINE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562186,51,CL79_gp051,OLINE_51,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1052671,18562187,50,CL79_gp050,OLINE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562188,47,CL79_gp047,OLINE_47,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1052671,18562189,46,CL79_gp046,OLINE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562190,45,CL79_gp045,OLINE_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1052671,18562191,44,CL79_gp044,OLINE_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1052671,18562192,43,CL79_gp043,OLINE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562193,27,CL79_gp027,OLINE_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1052671,18562194,21,CL79_gp021,OLINE_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1052671,18562195,20,CL79_gp020,OLINE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562196,19,CL79_gp019,OLINE_19,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1052671,18562197,7,CL79_gp007,OLINE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1052671,18562198,1,CL79_gp001,OLINE_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
1052671,18669529,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Oline).,other,-,-,-,-,20200513,-
