#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2044561,40096525,FDJ07_gp002,FDJ07_gp002,DLP05_003,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200910,-
2044561,40096526,FDJ07_gp003,FDJ07_gp003,DLP05_004,-,-,-,serine protease,protein-coding,-,-,-,serine protease,20200910,-
2044561,40096527,FDJ07_gp004,FDJ07_gp004,DLP05_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096528,FDJ07_gp005,FDJ07_gp005,DLP05_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096529,FDJ07_gp006,FDJ07_gp006,DLP05_007,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2044561,40096530,FDJ07_gp007,FDJ07_gp007,DLP05_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096531,FDJ07_gp008,FDJ07_gp008,DLP05_009,-,-,-,ribonuclease E,protein-coding,-,-,-,ribonuclease E,20200910,-
2044561,40096532,FDJ07_gp009,FDJ07_gp009,DLP05_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096533,FDJ07_gp010,FDJ07_gp010,DLP05_011,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
2044561,40096534,FDJ07_gp011,FDJ07_gp011,DLP05_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096535,FDJ07_gp012,FDJ07_gp012,DLP05_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096536,FDJ07_gp013,FDJ07_gp013,DLP05_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096537,FDJ07_gp014,FDJ07_gp014,DLP05_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096538,FDJ07_gp015,FDJ07_gp015,DLP05_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096539,FDJ07_gp016,FDJ07_gp016,DLP05_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096540,FDJ07_gp017,FDJ07_gp017,DLP05_018,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
2044561,40096541,FDJ07_gp018,FDJ07_gp018,DLP05_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096542,FDJ07_gp019,FDJ07_gp019,DLP05_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096543,FDJ07_gp020,FDJ07_gp020,DLP05_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096544,FDJ07_gp021,FDJ07_gp021,DLP05_022,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2044561,40096545,FDJ07_gp022,FDJ07_gp022,DLP05_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096546,FDJ07_gp023,FDJ07_gp023,DLP05_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096547,FDJ07_gp024,FDJ07_gp024,DLP05_025,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
2044561,40096548,FDJ07_gp025,FDJ07_gp025,DLP05_026,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
2044561,40096549,FDJ07_gp026,FDJ07_gp026,DLP05_027,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
2044561,40096550,FDJ07_gp027,FDJ07_gp027,DLP05_028,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200910,-
2044561,40096551,FDJ07_gp028,FDJ07_gp028,DLP05_029,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
2044561,40096552,FDJ07_gp029,FDJ07_gp029,DLP05_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096553,FDJ07_gp030,FDJ07_gp030,DLP05_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096554,FDJ07_gp031,FDJ07_gp031,DLP05_032,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200910,-
2044561,40096555,FDJ07_gp032,FDJ07_gp032,DLP05_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096556,FDJ07_gp033,FDJ07_gp033,DLP05_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096557,FDJ07_gp034,FDJ07_gp034,DLP05_035,-,-,-,DUF2500 containing protein,protein-coding,-,-,-,DUF2500 containing protein,20200910,-
2044561,40096558,FDJ07_gp035,FDJ07_gp035,DLP05_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096559,FDJ07_gp036,FDJ07_gp036,DLP05_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096560,FDJ07_gp037,FDJ07_gp037,DLP05_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096561,FDJ07_gp038,FDJ07_gp038,DLP05_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096562,FDJ07_gp039,FDJ07_gp039,DLP05_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096563,FDJ07_gp040,FDJ07_gp040,DLP05_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096564,FDJ07_gp041,FDJ07_gp041,DLP05_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096565,FDJ07_gp042,FDJ07_gp042,DLP05_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096566,FDJ07_gp043,FDJ07_gp043,DLP05_044,-,-,-,phosphoglycerate kinase,protein-coding,-,-,-,phosphoglycerate kinase,20200910,-
2044561,40096567,FDJ07_gp044,FDJ07_gp044,DLP05_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096568,FDJ07_gp045,FDJ07_gp045,DLP05_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096569,FDJ07_gp046,FDJ07_gp046,DLP05_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096570,FDJ07_gp047,FDJ07_gp047,DLP05_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096571,FDJ07_gp048,FDJ07_gp048,DLP05_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096572,FDJ07_gp049,FDJ07_gp049,DLP05_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096573,FDJ07_gp050,FDJ07_gp050,DLP05_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096574,FDJ07_gp051,FDJ07_gp051,DLP05_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096575,FDJ07_gp052,FDJ07_gp052,DLP05_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096576,FDJ07_gp053,FDJ07_gp053,DLP05_054,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
2044561,40096577,FDJ07_gp054,FDJ07_gp054,DLP05_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096578,FDJ07_gp055,FDJ07_gp055,DLP05_056,-,-,-,primase,protein-coding,-,-,-,primase,20200910,-
2044561,40096579,FDJ07_gp056,FDJ07_gp056,DLP05_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2044561,40096580,FDJ07_gp057,FDJ07_gp057,DLP05_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
