#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500814,24663869,ACQ74_gp02,ACQ74_gp02,PHL095N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500814,24663870,ACQ74_gp03,ACQ74_gp03,PHL095N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500814,24663871,ACQ74_gp04,ACQ74_gp04,PHL095N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663872,ACQ74_gp05,ACQ74_gp05,PHL095N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500814,24663873,ACQ74_gp06,ACQ74_gp06,PHL095N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500814,24663874,ACQ74_gp07,ACQ74_gp07,PHL095N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663875,ACQ74_gp08,ACQ74_gp08,PHL095N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663876,ACQ74_gp09,ACQ74_gp09,PHL095N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663877,ACQ74_gp10,ACQ74_gp10,PHL095N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663878,ACQ74_gp11,ACQ74_gp11,PHL095N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500814,24663879,ACQ74_gp12,ACQ74_gp12,PHL095N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663880,ACQ74_gp13,ACQ74_gp13,PHL095N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663881,ACQ74_gp14,ACQ74_gp14,PHL095N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500814,24663882,ACQ74_gp15,ACQ74_gp15,PHL095N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500814,24663883,ACQ74_gp16,ACQ74_gp16,PHL095N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500814,24663884,ACQ74_gp17,ACQ74_gp17,PHL095N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663885,ACQ74_gp18,ACQ74_gp18,PHL095N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500814,24663886,ACQ74_gp19,ACQ74_gp19,PHL095N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500814,24663887,ACQ74_gp20,ACQ74_gp20,PHL095N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
