#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1813781,30309400,BOW74_gp02,BOW74_gp02,-,-,-,-,bifunctional DNA primase/polymerase,protein-coding,-,-,-,bifunctional DNA primase/polymerase,20201221,-
1813781,30309401,BOW74_gp03,BOW74_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309402,BOW74_gp04,BOW74_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309403,BOW74_gp05,BOW74_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309404,BOW74_gp06,BOW74_gp06,-,-,-,-,DUF2800 domain-containing protein,protein-coding,-,-,-,DUF2800 domain-containing protein,20201221,-
1813781,30309405,BOW74_gp07,BOW74_gp07,-,-,-,-,DUF2815 family protein,protein-coding,-,-,-,DUF2815 family protein,20210123,-
1813781,30309406,BOW74_gp08,BOW74_gp08,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210406,-
1813781,30309407,BOW74_gp09,BOW74_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309408,BOW74_gp10,BOW74_gp10,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
1813781,30309409,BOW74_gp11,BOW74_gp11,-,-,-,-,DUF1441 family protein,protein-coding,-,-,-,DUF1441 family protein,20210123,-
1813781,30309410,BOW74_gp12,BOW74_gp12,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1813781,30309411,BOW74_gp13,BOW74_gp13,-,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210123,-
1813781,30309412,BOW74_gp14,BOW74_gp14,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1813781,30309413,BOW74_gp15,BOW74_gp15,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1813781,30309414,BOW74_gp16,BOW74_gp16,-,-,-,-,head-tail preconnector protein,protein-coding,-,-,-,head-tail preconnector protein,20200629,-
1813781,30309415,BOW74_gp17,BOW74_gp17,-,-,-,-,putative decorator protein D,protein-coding,-,-,-,putative decorator protein D,20200629,-
1813781,30309416,BOW74_gp18,BOW74_gp18,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1813781,30309417,BOW74_gp19,BOW74_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309418,BOW74_gp20,BOW74_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309419,BOW74_gp21,BOW74_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309420,BOW74_gp22,BOW74_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1813781,30309421,BOW74_gp23,BOW74_gp23,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1813781,30309422,BOW74_gp24,BOW74_gp24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1813781,30309423,BOW74_gp25,BOW74_gp25,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200629,-
1813781,30309424,BOW74_gp26,BOW74_gp26,-,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20200629,-
1813781,30309425,BOW74_gp27,BOW74_gp27,-,-,-,-,putative tail assembly protein 2,protein-coding,-,-,-,putative tail assembly protein 2,20200629,-
1813781,30309426,BOW74_gp28,BOW74_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
