#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
555387,8303255,g33,SRSM4_002,-,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200909,-
555387,8303256,phoH,SRSM4_004,-,-,-,-,phoH,protein-coding,-,-,-,phoH,20200909,-
555387,8303257,td,SRSM4_006,-,-,-,-,Thymidilate synthase,protein-coding,-,-,-,Thymidilate synthase,20200909,-
555387,8303258,SRSM4_008,SRSM4_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303259,SRSM4_009,SRSM4_009,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303260,SRSM4_010,SRSM4_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303261,SRSM4_011,SRSM4_011,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303262,SRSM4_012,SRSM4_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303263,SRSM4_013,SRSM4_013,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303264,SRSM4_014,SRSM4_014,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303265,SRSM4_015,SRSM4_015,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303266,SRSM4_016,SRSM4_016,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20210417,-
555387,8303267,SRSM4_017,SRSM4_017,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
555387,8303268,SRSM4_018,SRSM4_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
555387,8303269,grxC,SRSM4_019,-,-,-,-,Glutaredoxin,protein-coding,-,-,-,Glutaredoxin,20200909,-
555387,8303270,SRSM4_023,SRSM4_023,-,-,-,-,2OG-Fe(II) oxygenase family like protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase family like protein,20200909,-
555387,8303271,hli_01,SRSM4_024,-,-,-,-,HLIP,protein-coding,-,-,-,HLIP,20200909,-
555387,8303272,SRSM4_026,SRSM4_026,-,-,-,-,hypothetical cyanophage protein,protein-coding,-,-,-,hypothetical cyanophage protein,20200909,-
