#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327035,16212743,JMN56_gt01,JMN56_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210122,-
1327035,16212744,JMN56_gp47,JMN56_gp47,CASbig_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212745,JMN56_gp97,JMN56_gp97,CASbig_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212746,JMN56_gp91,JMN56_gp91,CASbig_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212747,JMN56_gp95,JMN56_gp95,CASbig_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212748,JMN56_gp92,JMN56_gp92,CASbig_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212749,JMN56_gp89,JMN56_gp89,CASbig_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212750,JMN56_gp04,JMN56_gp04,CASbig_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212751,JMN56_gp59,JMN56_gp59,CASbig_59,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210122,-
1327035,16212752,JMN56_gp90,JMN56_gp90,CASbig_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212753,JMN56_gp67,JMN56_gp67,gp67,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210122,-
1327035,16212754,JMN56_gp88,JMN56_gp88,CASbig_88,-,-,-,putative lysin A,protein-coding,-,-,-,putative lysin A,20210122,-
1327035,16212755,JMN56_gp87,JMN56_gp87,CASbig_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212756,JMN56_gp15,JMN56_gp15,CASbig_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212757,JMN56_gp18,JMN56_gp18,CASbig_18,-,-,-,putative repressor protein,protein-coding,-,-,-,putative repressor protein,20210122,-
1327035,16212758,JMN56_gp85,JMN56_gp85,CASbig_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212759,JMN56_gp78,JMN56_gp78,CASbig_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212760,JMN56_gp84,JMN56_gp84,CASbig_84,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20210122,-
1327035,16212761,JMN56_gp26,JMN56_gp26,CASbig_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212762,JMN56_gp82,JMN56_gp82,CASbig_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212763,JMN56_gp80,JMN56_gp80,CASbig_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212764,JMN56_gp76,JMN56_gp76,CASbig_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212765,JMN56_gp75,JMN56_gp75,CASbig_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1327035,16212766,JMN56_gp77,JMN56_gp77,CASbig_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212767,JMN56_gp72,JMN56_gp72,CASbig_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1327035,16212768,JMN56_gp07,JMN56_gp07,CASbig_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212769,JMN56_gp73,JMN56_gp73,CASbig_73,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210122,-
1327035,16212770,JMN56_gp70,JMN56_gp70,CASbig_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212771,JMN56_gp56,JMN56_gp56,CASbig_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212772,JMN56_gp32,JMN56_gp32,CASbig_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212773,JMN56_gp63,JMN56_gp63,CASbig_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212774,JMN56_gp66,JMN56_gp66,CASbig_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212775,JMN56_gp61,JMN56_gp61,CASbig_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212776,JMN56_gp96,JMN56_gp96,CASbig_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212777,JMN56_gp13,JMN56_gp13,CASbig_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212778,JMN56_gp53,JMN56_gp53,CASbig_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212779,JMN56_gp57,JMN56_gp57,CASbig_57,-,-,-,putative beta lactamase,protein-coding,-,-,-,putative beta lactamase,20210122,-
1327035,16212780,JMN56_gp49,JMN56_gp49,CASbig_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212781,JMN56_gp12,JMN56_gp12,CASbig_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212782,JMN56_gp74,JMN56_gp74,CASbig_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212783,JMN56_gp62,JMN56_gp62,CASbig_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210122,-
1327035,16212784,JMN56_gp51,JMN56_gp51,CASbig_51,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20210122,-
