#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283025,55015558,HOV55_gp02,HOV55_gp02,MZUP2_020,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200801,-
2283025,55015559,HOV55_gp03,HOV55_gp03,MZUP2_030,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2283025,55015560,HOV55_gp04,HOV55_gp04,MZUP2_040,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210403,-
2283025,55015561,HOV55_gp05,HOV55_gp05,MZUP2_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015562,HOV55_gp06,HOV55_gp06,MZUP2_060,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
2283025,55015563,HOV55_gp07,HOV55_gp07,MZUP2_070,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
2283025,55015564,HOV55_gp08,HOV55_gp08,MZUP2_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2283025,55015565,HOV55_gp09,HOV55_gp09,MZUP2_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015566,HOV55_gp10,HOV55_gp10,MZUP2_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015567,HOV55_gp11,HOV55_gp11,MZUP2_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015568,HOV55_gp12,HOV55_gp12,MZUP2_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015569,HOV55_gp13,HOV55_gp13,MZUP2_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015570,HOV55_gp14,HOV55_gp14,MZUP2_140,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2283025,55015571,HOV55_gp15,HOV55_gp15,MZUP2_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015572,HOV55_gp16,HOV55_gp16,MZUP2_160,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200801,-
2283025,55015573,HOV55_gp17,HOV55_gp17,MZUP2_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015574,HOV55_gp18,HOV55_gp18,MZUP2_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015575,HOV55_gp19,HOV55_gp19,MZUP2_190,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200629,-
2283025,55015576,HOV55_gp20,HOV55_gp20,MZUP2_200,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
2283025,55015577,HOV55_gp21,HOV55_gp21,MZUP2_210,-,-,-,tail spike protein,protein-coding,-,-,-,tail spike protein,20210403,-
2283025,55015578,HOV55_gp22,HOV55_gp22,MZUP2_220,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20200801,-
2283025,55015579,HOV55_gp23,HOV55_gp23,MZUP2_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015580,HOV55_gp24,HOV55_gp24,MZUP2_240,-,-,-,DNA polymerase V subunit,protein-coding,-,-,-,DNA polymerase V subunit,20210403,-
2283025,55015581,HOV55_gp25,HOV55_gp25,MZUP2_250,-,-,-,integrase,protein-coding,-,-,-,integrase,20200801,-
2283025,55015582,HOV55_gp26,HOV55_gp26,MZUP2_260,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210403,-
2283025,55015583,HOV55_gp27,HOV55_gp27,MZUP2_270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015584,HOV55_gp28,HOV55_gp28,MZUP2_280,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
2283025,55015585,HOV55_gp29,HOV55_gp29,MZUP2_290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015586,HOV55_gp30,HOV55_gp30,MZUP2_300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015587,HOV55_gp31,HOV55_gp31,MZUP2_310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015588,HOV55_gp32,HOV55_gp32,MZUP2_320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015589,HOV55_gp33,HOV55_gp33,MZUP2_330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015590,HOV55_gp34,HOV55_gp34,MZUP2_340,-,-,-,SOS response associated peptidase,protein-coding,-,-,-,SOS response associated peptidase,20210403,-
2283025,55015591,HOV55_gp35,HOV55_gp35,MZUP2_350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015592,HOV55_gp36,HOV55_gp36,MZUP2_360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015593,HOV55_gp37,HOV55_gp37,MZUP2_370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015594,HOV55_gp38,HOV55_gp38,MZUP2_380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015595,HOV55_gp39,HOV55_gp39,MZUP2_390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015596,HOV55_gp40,HOV55_gp40,MZUP2_400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015597,HOV55_gp41,HOV55_gp41,MZUP2_410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015598,HOV55_gp42,HOV55_gp42,MZUP2_420,-,-,-,RecA-like recombination and repair protein,protein-coding,-,-,-,RecA-like recombination and repair protein,20210403,-
2283025,55015599,HOV55_gp43,HOV55_gp43,MZUP2_430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015600,HOV55_gp44,HOV55_gp44,MZUP2_440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015601,HOV55_gp45,HOV55_gp45,MZUP2_450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015602,HOV55_gp46,HOV55_gp46,MZUP2_460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2283025,55015603,HOV55_gp47,HOV55_gp47,MZUP2_470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015604,HOV55_gp48,HOV55_gp48,MZUP2_480,-,-,-,transcription antiterminator protein N,protein-coding,-,-,-,transcription antiterminator protein N,20200629,-
2283025,55015605,HOV55_gp49,HOV55_gp49,MZUP2_490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015606,HOV55_gp50,HOV55_gp50,MZUP2_500,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20200629,-
2283025,55015607,HOV55_gp51,HOV55_gp51,MZUP2_510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015608,HOV55_gp52,HOV55_gp52,MZUP2_520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015609,HOV55_gp53,HOV55_gp53,MZUP2_530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283025,55015610,HOV55_gp54,HOV55_gp54,MZUP2_540,-,-,-,repressor protein CI,protein-coding,-,-,-,repressor protein CI,20210403,-
2283025,55015611,HOV55_gp55,HOV55_gp55,MZUP2_550,-,-,-,Cro/Cl family transcriptional regulator,protein-coding,-,-,-,Cro/Cl family transcriptional regulator,20210403,-
