#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698489,40072941,FDH15_gp02,FDH15_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201220,-
698489,40072942,FDH15_gp03,FDH15_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
698489,40072943,FDH15_gp04,FDH15_gp04,-,-,-,-,"putative head protein, SPP1 gp7 family",protein-coding,-,-,-,"putative head protein, SPP1 gp7 family",20201220,-
698489,40072944,FDH15_gp05,FDH15_gp05,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698489,40072945,FDH15_gp06,FDH15_gp06,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698489,40072946,FDH15_gp07,FDH15_gp07,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698489,40072947,FDH15_gp08,FDH15_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072948,FDH15_gp09,FDH15_gp09,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
698489,40072949,FDH15_gp10,FDH15_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072950,FDH15_gp11,FDH15_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072951,FDH15_gp12,FDH15_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072952,FDH15_gp13,FDH15_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072953,FDH15_gp14,FDH15_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072954,FDH15_gp15,FDH15_gp15,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698489,40072955,FDH15_gp17,FDH15_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698489,40072956,FDH15_gp16,FDH15_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072957,FDH15_gp18,FDH15_gp18,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698489,40072958,FDH15_gp19,FDH15_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072959,FDH15_gp20,FDH15_gp20,-,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210417,-
698489,40072960,FDH15_gp21,FDH15_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072961,FDH15_gp22,FDH15_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072962,FDH15_gp23,FDH15_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072963,FDH15_gp25,FDH15_gp25,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
698489,40072964,FDH15_gp24,FDH15_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072965,FDH15_gp26,FDH15_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072966,FDH15_gp27,FDH15_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072967,FDH15_gp28,FDH15_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072968,FDH15_gp29,FDH15_gp29,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698489,40072969,FDH15_gp30,FDH15_gp30,-,-,-,-,tailspike 63D sialidase,protein-coding,-,-,-,tailspike 63D sialidase,20201220,-
698489,40072970,FDH15_gp31,FDH15_gp31,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
698489,40072971,FDH15_gp32,FDH15_gp32,-,-,-,-,putative C-specific methylase,protein-coding,-,-,-,putative C-specific methylase,20201220,-
698489,40072972,FDH15_gp33,FDH15_gp33,-,-,-,-,putative Mte8-like protein,protein-coding,-,-,-,putative Mte8-like protein,20201220,-
698489,40072973,FDH15_gp34,FDH15_gp34,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
698489,40072974,FDH15_gp35,FDH15_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
698489,40072975,FDH15_gp36,FDH15_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072976,FDH15_gp37,FDH15_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072977,FDH15_gp38,FDH15_gp38,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20201220,-
698489,40072978,FDH15_gp39,FDH15_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072979,FDH15_gp40,FDH15_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072980,FDH15_gp41,FDH15_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698489,40072981,FDH15_gp42,FDH15_gp42,-,-,-,-,"putative holin-like, class II",protein-coding,-,-,-,"putative holin-like, class II",20201220,-
