#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610837,26646233,AVU34_gp02,AVU34_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1610837,26646234,AVU34_gp03,AVU34_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1610837,26646235,AVU34_gp04,AVU34_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646236,AVU34_gp05,AVU34_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1610837,26646237,AVU34_gp06,AVU34_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646238,AVU34_gp07,AVU34_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646239,AVU34_gp08,AVU34_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646240,AVU34_gp09,AVU34_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646241,AVU34_gp10,AVU34_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646242,AVU34_gp11,AVU34_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646243,AVU34_gp12,AVU34_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646244,AVU34_gp13,AVU34_gp13,-,-,-,-,putative phage tail subunit,protein-coding,-,-,-,putative phage tail subunit,20200629,-
1610837,26646245,AVU34_gp14,AVU34_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646246,AVU34_gp15,AVU34_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646247,AVU34_gp16,AVU34_gp16,-,-,-,-,tail length tape-measure protein 1,protein-coding,-,-,-,tail length tape-measure protein 1,20200629,-
1610837,26646248,AVU34_gp17,AVU34_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646249,AVU34_gp18,AVU34_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646250,AVU34_gp19,AVU34_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646251,AVU34_gp20,AVU34_gp20,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610837,26646252,AVU34_gp21,AVU34_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610837,26646253,AVU34_gp22,AVU34_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
