#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1560313,24722268,ACQ37_gp002,ACQ37_gp002,WRP3_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20201221,-
1560313,24722269,ACQ37_gp003,ACQ37_gp003,WRP3_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722270,ACQ37_gp004,ACQ37_gp004,WRP3_004,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20201221,-
1560313,24722271,ACQ37_gp005,ACQ37_gp005,WRP3_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722272,ACQ37_gp006,ACQ37_gp006,WRP3_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722273,ACQ37_gp007,ACQ37_gp007,WRP3_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722274,ACQ37_gp008,ACQ37_gp008,WRP3_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722275,ACQ37_gp009,ACQ37_gp009,WRP3_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722276,ACQ37_gp010,ACQ37_gp010,WRP3_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722277,ACQ37_gp011,ACQ37_gp011,WRP3_011,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201221,-
1560313,24722278,ACQ37_gp012,ACQ37_gp012,WRP3_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722279,ACQ37_gp013,ACQ37_gp013,WRP3_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722280,ACQ37_gp014,ACQ37_gp014,WRP3_014,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20201221,-
1560313,24722281,ACQ37_gp015,ACQ37_gp015,WRP3_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722282,ACQ37_gp016,ACQ37_gp016,WRP3_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722283,ACQ37_gp017,ACQ37_gp017,WRP3_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722284,ACQ37_gp018,ACQ37_gp018,WRP3_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722285,ACQ37_gp019,ACQ37_gp019,WRP3_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722286,ACQ37_gp020,ACQ37_gp020,WRP3_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722287,ACQ37_gp021,ACQ37_gp021,WRP3_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722288,ACQ37_gp022,ACQ37_gp022,WRP3_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722289,ACQ37_gp023,ACQ37_gp023,WRP3_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722290,ACQ37_gp024,ACQ37_gp024,WRP3_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722291,ACQ37_gp025,ACQ37_gp025,WRP3_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722292,ACQ37_gp026,ACQ37_gp026,WRP3_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722293,ACQ37_gp027,ACQ37_gp027,WRP3_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722294,ACQ37_gp028,ACQ37_gp028,WRP3_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722295,ACQ37_gp029,ACQ37_gp029,WRP3_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722296,ACQ37_gp030,ACQ37_gp030,WRP3_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722297,ACQ37_gp031,ACQ37_gp031,WRP3_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722298,ACQ37_gp032,ACQ37_gp032,WRP3_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722299,ACQ37_gp033,ACQ37_gp033,WRP3_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722300,ACQ37_gp034,ACQ37_gp034,WRP3_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722301,ACQ37_gp035,ACQ37_gp035,WRP3_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722302,ACQ37_gp036,ACQ37_gp036,WRP3_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722303,ACQ37_gp037,ACQ37_gp037,WRP3_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722304,ACQ37_gp038,ACQ37_gp038,WRP3_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722305,ACQ37_gp039,ACQ37_gp039,WRP3_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722306,ACQ37_gp040,ACQ37_gp040,WRP3_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722307,ACQ37_gp041,ACQ37_gp041,WRP3_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722308,ACQ37_gp042,ACQ37_gp042,WRP3_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722309,ACQ37_gp043,ACQ37_gp043,WRP3_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722310,ACQ37_gp044,ACQ37_gp044,WRP3_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722311,ACQ37_gp045,ACQ37_gp045,WRP3_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722312,ACQ37_gp046,ACQ37_gp046,WRP3_046,-,-,-,Zn-finger protein,protein-coding,-,-,-,Zn-finger protein,20201221,-
1560313,24722313,ACQ37_gp047,ACQ37_gp047,WRP3_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722314,ACQ37_gp048,ACQ37_gp048,WRP3_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722315,ACQ37_gp049,ACQ37_gp049,WRP3_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722316,ACQ37_gp050,ACQ37_gp050,WRP3_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722317,ACQ37_gp051,ACQ37_gp051,WRP3_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722318,ACQ37_gp052,ACQ37_gp052,WRP3_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722319,ACQ37_gp053,ACQ37_gp053,WRP3_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722320,ACQ37_gp054,ACQ37_gp054,WRP3_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722321,ACQ37_gp055,ACQ37_gp055,WRP3_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722322,ACQ37_gp056,ACQ37_gp056,WRP3_056,-,-,-,nucleotidase,protein-coding,-,-,-,nucleotidase,20201221,-
1560313,24722323,ACQ37_gp057,ACQ37_gp057,WRP3_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722324,ACQ37_gp058,ACQ37_gp058,WRP3_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1560313,24722325,ACQ37_gp059,ACQ37_gp059,WRP3_059,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1560313,24722326,ACQ37_gp060,ACQ37_gp060,WRP3_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
