#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
512792,6186700,AFV9_gp08,AFV9_gp08,-,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201220,-
512792,6186701,AFV9_gp30,AFV9_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186702,AFV9_gp26,AFV9_gp26,-,-,-,-,putative RHH transcriptional regulator,protein-coding,-,-,-,putative RHH transcriptional regulator,20201220,-
512792,6186703,AFV9_gp37,AFV9_gp37,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186704,AFV9_gp33,AFV9_gp33,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186705,AFV9_gp31,AFV9_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186706,AFV9_gp24,AFV9_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186707,AFV9_gp04,AFV9_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186708,AFV9_gp73,AFV9_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186709,AFV9_gp72,AFV9_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186710,AFV9_gp71,AFV9_gp71,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186711,AFV9_gp70,AFV9_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186712,AFV9_gp69,AFV9_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186713,AFV9_gp32,AFV9_gp32,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186714,AFV9_gp68,AFV9_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186715,AFV9_gp02,AFV9_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186716,AFV9_gp12,AFV9_gp12,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186717,AFV9_gp67,AFV9_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186718,AFV9_gp66,AFV9_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186719,AFV9_gp65,AFV9_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186720,AFV9_gp64,AFV9_gp64,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186721,AFV9_gp63,AFV9_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186722,AFV9_gp62,AFV9_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186723,AFV9_gp61,AFV9_gp61,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20201220,-
512792,6186724,AFV9_gp20,AFV9_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186725,AFV9_gp60,AFV9_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186726,AFV9_gp01,AFV9_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186727,AFV9_gp21,AFV9_gp21,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
512792,6186728,AFV9_gp59,AFV9_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186729,AFV9_gp36,AFV9_gp36,-,-,-,-,viral structural protein,protein-coding,-,-,-,viral structural protein,20201220,-
512792,6186730,AFV9_gp58,AFV9_gp58,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201220,-
512792,6186731,AFV9_gp57,AFV9_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186732,AFV9_gp56,AFV9_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186733,AFV9_gp10,AFV9_gp10,-,-,-,-,putative Holliday junction branch migration helicase,protein-coding,-,-,-,putative Holliday junction branch migration helicase,20201220,-
512792,6186734,AFV9_gp55,AFV9_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186735,AFV9_gp34,AFV9_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186736,AFV9_gp27,AFV9_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186737,AFV9_gp54,AFV9_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186738,AFV9_gp53,AFV9_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
512792,6186739,AFV9_gp52,AFV9_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
