#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
173824,1257588,mtw1216,psiM100p01,-,-,-,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,protein-coding,-,-,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,20210212,-
173824,1257589,ORF29,psiM100p02,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20210212,-
173824,1257590,ORF30,psiM100p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257591,ORF31,psiM100p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257592,ORF1,psiM100p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257593,ORFA,psiM100p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257594,ORF2,psiM100p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257595,ORF3,psiM100p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257596,ORF4,psiM100p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257597,ORFB,psiM100p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257598,ORFC,psiM100p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257599,ORFD,psiM100p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257600,ORF5,psiM100p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257601,ORF6,psiM100p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257602,ORF7,psiM100p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257603,ORF8,psiM100p16,-,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201220,-
173824,1257604,ORF9,psiM100p17,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201220,-
173824,1257605,ORF10,psiM100p18,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
173824,1257606,ORF11,psiM100p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257607,ORF12,psiM100p20,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
173824,1257608,ORF13,psiM100p21,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
173824,1257609,ORF14,psiM100p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257610,ORF15,psiM100p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257611,ORF16,psiM100p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257612,ORF17,psiM100p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257613,ORF18,psiM100p26,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
173824,1257614,ORF19,psiM100p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257615,ORFE,psiM100p28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257616,ORF21,psiM100p29,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
173824,1257617,ORF22,psiM100p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257618,ORF23,psiM100p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257619,ORF24,psiM100p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257620,ORF25,psiM100p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257621,ORF26,psiM100p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257622,ORF27,psiM100p35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
173824,1257623,mtw1215,psiM100p37,-,-,-,-,MTW1215,protein-coding,-,-,-,MTW1215,20201010,-
173824,2830425,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Methanothermobacter prophage psiM100; Methanothermobacter wolfeii prophage psiM100).,other,-,-,-,-,20200513,-
173824,26066938,peiW,psiM100p36,-,-,-,-,PeiW,protein-coding,-,-,-,PeiW,20200629,-
