#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024213,65070615,KMD09_gp02,KMD09_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210609,-
2024213,65070616,KMD09_gp03,KMD09_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210609,-
2024213,65070617,KMD09_gp04,KMD09_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070618,KMD09_gp05,KMD09_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070619,KMD09_gp06,KMD09_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2024213,65070620,KMD09_gp07,KMD09_gp07,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2024213,65070621,KMD09_gp08,KMD09_gp08,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2024213,65070622,KMD09_gp09,KMD09_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070623,KMD09_gp10,KMD09_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070624,KMD09_gp11,KMD09_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070625,KMD09_gp12,KMD09_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070626,KMD09_gp13,KMD09_gp13,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2024213,65070627,KMD09_gp14,KMD09_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070628,KMD09_gp15,KMD09_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070629,KMD09_gp16,KMD09_gp16,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210607,-
2024213,65070630,KMD09_gp17,KMD09_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070631,KMD09_gp18,KMD09_gp18,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2024213,65070632,KMD09_gp19,KMD09_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070633,KMD09_gp20,KMD09_gp20,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210607,-
2024213,65070634,KMD09_gp21,KMD09_gp21,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210609,-
2024213,65070635,KMD09_gp22,KMD09_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070636,KMD09_gp23,KMD09_gp23,-,-,-,-,bifunctional autolysin,protein-coding,-,-,-,bifunctional autolysin,20210609,-
2024213,65070637,KMD09_gp24,KMD09_gp24,-,-,-,-,holin,protein-coding,-,-,-,holin,20210609,-
2024213,65070638,KMD09_gp25,KMD09_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070639,KMD09_gp26,KMD09_gp26,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2024213,65070640,KMD09_gp27,KMD09_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070641,KMD09_gp28,KMD09_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070642,KMD09_gp29,KMD09_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070643,KMD09_gp30,KMD09_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070644,KMD09_gp31,KMD09_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070645,KMD09_gp32,KMD09_gp32,-,-,-,-,CI-like repressor,protein-coding,-,-,-,CI-like repressor,20210609,-
2024213,65070646,KMD09_gp33,KMD09_gp33,-,-,-,-,Cro-like repressor,protein-coding,-,-,-,Cro-like repressor,20210609,-
2024213,65070647,KMD09_gp34,KMD09_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070648,KMD09_gp35,KMD09_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2024213,65070649,KMD09_gp36,KMD09_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070650,KMD09_gp37,KMD09_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070651,KMD09_gp38,KMD09_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070652,KMD09_gp39,KMD09_gp39,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210607,-
2024213,65070653,KMD09_gp40,KMD09_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2024213,65070654,KMD09_gp41,KMD09_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
