#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
562,2827929,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus coli; Bacterium coli; Bacterium coli commune; E. coli; Enterococcus coli; Escherichia/Shigella coli.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210529,-
562,35548270,HUS2011_RS28810,HUS2011_RS28810,HUS2011_pII0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,35548293,HUS2011_RS27975,HUS2011_RS27975,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59681943,HKJ80_RS00030,HKJ80_RS00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59681952,HS207_RS00030,HS207_RS00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682072,HS272_RS00010,HS272_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682077,HS272_RS00035,HS272_RS00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
562,59682768,HXB46_RS00010,HXB46_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682772,HXB46_RS00005,HXB46_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682773,HXB98_RS00025,HXB98_RS00025,pO86A1_p007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682790,HXB98_RS00095,HXB98_RS00095,pO86A1_p026,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20210424,-
562,59682801,HXB98_RS00150,HXB98_RS00150,pO86A1_p037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682806,HXB98_RS00175,HXB98_RS00175,pO86A1_p043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682809,HXB98_RS00190,HXB98_RS00190,pO86A1_p048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682810,HXB98_RS00195,HXB98_RS00195,pO86A1_p049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682811,HXB98_RS00200,HXB98_RS00200,pO86A1_p050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682812,HXB98_RS00205,HXB98_RS00205,pO86A1_p051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682824,HXB98_RS00265,HXB98_RS00265,pO86A1_p066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682828,HXB98_RS00285,HXB98_RS00285,pO86A1_p071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682835,HXB98_RS00320,HXB98_RS00320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682844,HXB98_RS00365,HXB98_RS00365,pO86A1_p090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682863,HXB98_RS00460,HXB98_RS00460,pO86A1_p109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682914,HS431_RS00005,HS431_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682915,HS431_RS00010,HS431_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682920,HS437_RS00035,HS437_RS00035,pMG8283_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682921,HS437_RS00040,HS437_RS00040,pMG8283_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59682928,HS443_RS00020,HS443_RS00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59682933,HS443_RS00005,HS443_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683355,HS461_RS00010,HS461_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59683688,HXF11_RS00390,HXF11_RS00390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683700,HXF11_RS00450,HXF11_RS00450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59683776,HXF11_RS00830,HXF11_RS00830,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683779,HXF11_RS00845,HXF11_RS00845,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683780,HXF11_RS00850,HXF11_RS00850,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683781,HXF11_RS00855,HXF11_RS00855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59683942,HS506_RS00025,HS506_RS00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59683952,HS546_RS00010,HS546_RS00010,pO26S3_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59683959,HS537_RS00005,HS537_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59684250,HKK63_RS00135,HKK63_RS00135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59684283,HKK63_RS00300,HKK63_RS00300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59684288,HKK63_RS00325,HKK63_RS00325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59684315,HKK63_RS00460,HKK63_RS00460,p026VIR_p098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59684353,HKK63_RS00650,HKK63_RS00650,p026VIR_p140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59684354,HKK63_RS00655,HKK63_RS00655,p026VIR_p141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59684355,HKK63_RS00660,HKK63_RS00660,p026VIR_p142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59684370,HKK63_RS00735,HKK63_RS00735,p026VIR_p158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59684380,HKK63_RS00785,HKK63_RS00785,p026VIR_p173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59685300,HS638_RS00015,HS638_RS00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59685302,HS638_RS00005,HS638_RS00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59685869,HXG14_RS00325,HXG14_RS00325,pCT_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59685951,HXG46_RS00215,HXG46_RS00215,ETN48_p0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686032,HXG46_RS00620,HXG46_RS00620,ETN48_p0122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59686050,HXG46_RS00710,HXG46_RS00710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686239,HS612_RS00090,HS612_RS00090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686242,HS612_RS00105,HS612_RS00105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59686246,HS612_RS00125,HS612_RS00125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686313,HS773_RS00085,HS773_RS00085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686321,HS773_RS00100,HS773_RS00100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59686325,HS773_RS00120,HS773_RS00120,PHK17A_p025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59686380,HS773_RS00395,HS773_RS00395,PHK17A_p091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59686952,HXG19_RS00035,HXG19_RS00035,MM2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59686971,HXG19_RS00155,HXG19_RS00155,MM2_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687009,HXG19_RS00345,HXG19_RS00345,MM2_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687013,HXG19_RS00365,HXG19_RS00365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687016,HXG19_RS00380,HXG19_RS00380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687043,HXG19_RS00515,HXG19_RS00515,MM2_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687076,HXG48_RS00150,HXG48_RS00150,MM3_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687077,HXG48_RS00155,HXG48_RS00155,MM3_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687081,HXG48_RS00175,HXG48_RS00175,MM3_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201109,-
562,59687360,HS820_RS00105,HS820_RS00105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
562,59687625,bleO,HS626_RS00025,D616_p83003,-,-,-,bleomycin binding protein,protein-coding,-,-,-,bleomycin binding protein,20201109,-
562,59687626,HS626_RS00030,HS626_RS00030,D616_p83004,-,-,-,class A broad-spectrum beta-lactamase TEM-116,protein-coding,-,-,-,class A broad-spectrum beta-lactamase TEM-116,20201109,-
562,59687627,HS626_RS00010,HS626_RS00010,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
562,59687628,aadD1,HS626_RS00020,D616_p83002,-,-,-,aminoglycoside O-nucleotidyltransferase ANT(4')-Ia,protein-coding,-,-,-,aminoglycoside O-nucleotidyltransferase ANT(4')-Ia,20201109,-
562,59687629,HS626_RS00015,HS626_RS00015,D616_p83001,-,-,-,protein rep,protein-coding,-,-,-,protein rep,20201109,-
562,59687630,HS626_RS00005,HS626_RS00005,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
