#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1747271,26519839,AU147_gp02,AU147_gp02,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1747271,26519840,AU147_gp03,AU147_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1747271,26519841,AU147_gp04,AU147_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519842,AU147_gp05,AU147_gp05,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1747271,26519843,AU147_gp06,AU147_gp06,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1747271,26519844,AU147_gp07,AU147_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519845,AU147_gp08,AU147_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519846,AU147_gp09,AU147_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519847,AU147_gp10,AU147_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519848,AU147_gp11,AU147_gp11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1747271,26519849,AU147_gp12,AU147_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519850,AU147_gp13,AU147_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519851,AU147_gp14,AU147_gp14,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
1747271,26519852,AU147_gp15,AU147_gp15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1747271,26519853,AU147_gp16,AU147_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519854,AU147_gp17,AU147_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519855,AU147_gp18,AU147_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519856,AU147_gp19,AU147_gp19,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1747271,26519857,AU147_gp20,AU147_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519858,AU147_gp21,AU147_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519859,AU147_gp22,AU147_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519860,AU147_gp23,AU147_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519861,AU147_gp24,AU147_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519862,AU147_gp25,AU147_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519863,AU147_gp26,AU147_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519864,AU147_gp27,AU147_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519865,AU147_gp28,AU147_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519866,AU147_gp29,AU147_gp29,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1747271,26519867,AU147_gp30,AU147_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1747271,26519868,AU147_gp31,AU147_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
