#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024295,64871965,2,KIW74_gp02,PBI_KIMONA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2024295,64871966,3,KIW74_gt01,PBI_KIMONA_3,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2024295,64871967,4,KIW74_gt02,PBI_KIMONA_4,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2024295,64871968,5,KIW74_gp87,PBI_KIMONA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871969,1,KIW74_gp01,PBI_KIMONA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2024295,64871970,6,KIW74_gp86,PBI_KIMONA_6,-,-,-,lysinA,protein-coding,-,-,-,lysinA,20210515,-
2024295,64871971,7,KIW74_gp85,PBI_KIMONA_7,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210515,-
2024295,64871972,8,KIW74_gp84,PBI_KIMONA_8,-,-,-,terminase,protein-coding,-,-,-,terminase,20210515,-
2024295,64871973,9,KIW74_gp83,PBI_KIMONA_9,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2024295,64871974,10,KIW74_gp82,PBI_KIMONA_10,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
2024295,64871975,11,KIW74_gp81,PBI_KIMONA_11,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
2024295,64871976,12,KIW74_gp80,PBI_KIMONA_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2024295,64871977,13,KIW74_gp79,PBI_KIMONA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871978,14,KIW74_gp78,PBI_KIMONA_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210515,-
2024295,64871979,15,KIW74_gp77,PBI_KIMONA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871980,16,KIW74_gp76,PBI_KIMONA_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2024295,64871981,17,KIW74_gp75,PBI_KIMONA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2024295,64871982,18,KIW74_gp74,PBI_KIMONA_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
2024295,64871983,19,KIW74_gp73,PBI_KIMONA_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
2024295,64871984,21,KIW74_gp72,PBI_KIMONA_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2024295,64871985,20,KIW74_gp71,PBI_KIMONA_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2024295,64871986,22,KIW74_gp70,PBI_KIMONA_22,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210515,-
2024295,64871987,23,KIW74_gp69,PBI_KIMONA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024295,64871988,24,KIW74_gp68,PBI_KIMONA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2024295,64871989,25,KIW74_gp67,PBI_KIMONA_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
