#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1805948,29058426,BI007_gp261,BI007_gp261,DIGNKC_113,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200910,-
1805948,29058427,BI007_gp260,BI007_gp260,DIGNKC_114,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20200910,-
1805948,29058428,BI007_gp259,BI007_gp259,DIGNKC_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058429,BI007_gp258,BI007_gp258,DIGNKC_116,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1805948,29058430,BI007_gp257,BI007_gp257,DIGNKC_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058431,BI007_gp256,BI007_gp256,DIGNKC_118,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
1805948,29058432,BI007_gp255,BI007_gp255,DIGNKC_119,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20200910,-
1805948,29058433,BI007_gp254,BI007_gp254,DIGNKC_120,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20200910,-
1805948,29058434,BI007_gp253,BI007_gp253,DIGNKC_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058435,BI007_gp252,BI007_gp252,DIGNKC_122,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
1805948,29058436,BI007_gp251,BI007_gp251,DIGNKC_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058437,BI007_gp250,BI007_gp250,DIGNKC_124,-,-,-,exonuclease II,protein-coding,-,-,-,exonuclease II,20200910,-
1805948,29058438,BI007_gp249,BI007_gp249,DIGNKC_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058439,BI007_gp248,BI007_gp248,DIGNKC_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1805948,29058440,BI007_gp247,BI007_gp247,DIGNKC_127,-,-,-,exonuclease I,protein-coding,-,-,-,exonuclease I,20200910,-
