#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
36355,8763862,PsunGV_gp002,PsunGV_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180815,-
36355,8763863,PsunGV_gp003,PsunGV_gp003,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20181103,-
36355,8763864,PsunGV_gp004,PsunGV_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763865,PsunGV_gp005,PsunGV_gp005,-,-,-,-,P10,protein-coding,-,-,-,P10,20180815,-
36355,8763866,PsunGV_gp006,PsunGV_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763867,PsunGV_gp007,PsunGV_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763868,PsunGV_gp008,PsunGV_gp008,-,-,-,-,IE-1,protein-coding,-,-,-,IE-1,20180815,-
36355,8763869,PsunGV_gp009,PsunGV_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763870,PsunGV_gp010,PsunGV_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763871,PsunGV_gp011,PsunGV_gp011,-,-,-,-,ODV-E18,protein-coding,-,-,-,ODV-E18,20180815,-
36355,8763872,PsunGV_gp012,PsunGV_gp012,-,-,-,-,P49,protein-coding,-,-,-,P49,20180815,-
36355,8763873,PsunGV_gp013,PsunGV_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763874,PsunGV_gp014,PsunGV_gp014,-,-,-,-,ODV-E56,protein-coding,-,-,-,ODV-E56,20180815,-
36355,8763875,PsunGV_gp015,PsunGV_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763876,PsunGV_gp016,PsunGV_gp016,-,-,-,-,polyhedral envelope protein,protein-coding,-,-,-,polyhedral envelope protein,20180815,-
36355,8763877,PsunGV_gp017,PsunGV_gp017,-,-,-,-,polyhedral envelope protein,protein-coding,-,-,-,polyhedral envelope protein,20180815,-
36355,8763878,PsunGV_gp018,PsunGV_gp018,-,-,-,-,polyhedral envelope protein/P10 fusion,protein-coding,-,-,-,polyhedral envelope protein/P10 fusion,20181103,-
36355,8763879,PsunGV_gp019,PsunGV_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763880,PsunGV_gp020,PsunGV_gp020,-,-,-,-,P94,protein-coding,-,-,-,P94,20180815,-
36355,8763881,PsunGV_gp021,PsunGV_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763882,PsunGV_gp022,PsunGV_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763883,PsunGV_gp023,PsunGV_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763884,PsunGV_gp024,PsunGV_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763885,PsunGV_gp025,PsunGV_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763886,PsunGV_gp026,PsunGV_gp026,-,-,-,-,envelope fusion protein,protein-coding,-,-,-,envelope fusion protein,20180815,-
36355,8763887,PsunGV_gp027,PsunGV_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763888,PsunGV_gp028,PsunGV_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763889,PsunGV_gp029,PsunGV_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763890,PsunGV_gp030,PsunGV_gp030,-,-,-,-,per os infectivity factor-3,protein-coding,-,-,-,per os infectivity factor-3,20180815,-
36355,8763891,PsunGV_gp031,PsunGV_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763892,PsunGV_gp032,PsunGV_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763893,PsunGV_gp033,PsunGV_gp033,-,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2,20180815,-
36355,8763894,PsunGV_gp034,PsunGV_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763895,PsunGV_gp035,PsunGV_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763896,PsunGV_gp036,PsunGV_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763897,PsunGV_gp037,PsunGV_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763898,PsunGV_gp038,PsunGV_gp038,-,-,-,-,metalloproteinase,protein-coding,-,-,-,metalloproteinase,20180815,-
36355,8763899,PsunGV_gp039,PsunGV_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763900,PsunGV_gp040,PsunGV_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763901,PsunGV_gp041,PsunGV_gp041,-,-,-,-,P13,protein-coding,-,-,-,P13,20181103,-
36355,8763902,PsunGV_gp042,PsunGV_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
36355,8763903,PsunGV_gp043,PsunGV_gp043,-,-,-,-,per os infectivity factor-2,protein-coding,-,-,-,per os infectivity factor-2,20180815,-
36355,8763904,PsunGV_gp044,PsunGV_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763905,PsunGV_gp045,PsunGV_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763906,PsunGV_gp046,PsunGV_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763907,PsunGV_gp047,PsunGV_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763908,PsunGV_gp048,PsunGV_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763909,PsunGV_gp049,PsunGV_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763910,PsunGV_gp050,PsunGV_gp050,-,-,-,-,ubiquitin,protein-coding,-,-,-,ubiquitin,20181103,-
36355,8763911,PsunGV_gp051,PsunGV_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763912,PsunGV_gp052,PsunGV_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763913,PsunGV_gp053,PsunGV_gp053,-,-,-,-,39K,protein-coding,-,-,-,39K,20180815,-
36355,8763914,PsunGV_gp054,PsunGV_gp054,-,-,-,-,LEF-11,protein-coding,-,-,-,LEF-11,20180815,-
36355,8763915,PsunGV_gp055,PsunGV_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763916,PsunGV_gp056,PsunGV_gp056,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20181103,-
36355,8763917,PsunGV_gp057,PsunGV_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763918,PsunGV_gp058,PsunGV_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763919,PsunGV_gp059,PsunGV_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763920,PsunGV_gp060,PsunGV_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763921,PsunGV_gp061,PsunGV_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763922,PsunGV_gp062,PsunGV_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763923,PsunGV_gp063,PsunGV_gp063,-,-,-,-,HE65,protein-coding,-,-,-,HE65,20180815,-
36355,8763924,PsunGV_gp064,PsunGV_gp064,-,-,-,-,SOD,protein-coding,-,-,-,SOD,20180815,-
36355,8763925,PsunGV_gp065,PsunGV_gp065,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20181103,-
36355,8763926,PsunGV_gp066,PsunGV_gp066,-,-,-,-,BRO,protein-coding,-,-,-,BRO,20180815,-
36355,8763927,PsunGV_gp067,PsunGV_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763928,PsunGV_gp068,PsunGV_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
36355,8763929,PsunGV_gp069,PsunGV_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
