#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873887,29067736,SEA_SNEEZE_2,SEA_SNEEZE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1873887,29067737,SEA_SNEEZE_3,SEA_SNEEZE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1873887,29067738,SEA_SNEEZE_4,SEA_SNEEZE_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1873887,29067739,SEA_SNEEZE_5,SEA_SNEEZE_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067740,SEA_SNEEZE_6,SEA_SNEEZE_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1873887,29067741,SEA_SNEEZE_7,SEA_SNEEZE_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1873887,29067742,SEA_SNEEZE_8,SEA_SNEEZE_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1873887,29067743,SEA_SNEEZE_9,SEA_SNEEZE_9,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1873887,29067744,SEA_SNEEZE_10,SEA_SNEEZE_10,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1873887,29067745,SEA_SNEEZE_11,SEA_SNEEZE_11,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1873887,29067746,SEA_SNEEZE_12,SEA_SNEEZE_12,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1873887,29067747,SEA_SNEEZE_13,SEA_SNEEZE_13,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1873887,29067748,SEA_SNEEZE_15,SEA_SNEEZE_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1873887,29067749,SEA_SNEEZE_16,SEA_SNEEZE_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1873887,29067750,SEA_SNEEZE_14,SEA_SNEEZE_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1873887,29067751,SEA_SNEEZE_17,SEA_SNEEZE_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067752,SEA_SNEEZE_18,SEA_SNEEZE_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067753,SEA_SNEEZE_19,SEA_SNEEZE_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067754,SEA_SNEEZE_20,SEA_SNEEZE_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067755,SEA_SNEEZE_21,SEA_SNEEZE_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067756,SEA_SNEEZE_22,SEA_SNEEZE_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1873887,29067757,SEA_SNEEZE_23,SEA_SNEEZE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067758,SEA_SNEEZE_24,SEA_SNEEZE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067759,SEA_SNEEZE_26,SEA_SNEEZE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067760,SEA_SNEEZE_27,SEA_SNEEZE_27,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1873887,29067761,SEA_SNEEZE_28,SEA_SNEEZE_28,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1873887,29067762,SEA_SNEEZE_29,SEA_SNEEZE_29,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1873887,29067763,SEA_SNEEZE_30,SEA_SNEEZE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067764,SEA_SNEEZE_31,SEA_SNEEZE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067765,SEA_SNEEZE_32,SEA_SNEEZE_32,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1873887,29067766,SEA_SNEEZE_33,SEA_SNEEZE_33,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1873887,29067767,SEA_SNEEZE_35,SEA_SNEEZE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067768,SEA_SNEEZE_36,SEA_SNEEZE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067769,SEA_SNEEZE_39,SEA_SNEEZE_39,-,-,-,-,activating signal cointegrator-like protein,protein-coding,-,-,-,activating signal cointegrator-like protein,20201221,-
1873887,29067770,SEA_SNEEZE_40,SEA_SNEEZE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067771,SEA_SNEEZE_41,SEA_SNEEZE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067772,SEA_SNEEZE_42,SEA_SNEEZE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067773,SEA_SNEEZE_44,SEA_SNEEZE_44,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1873887,29067774,SEA_SNEEZE_45,SEA_SNEEZE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067775,SEA_SNEEZE_46,SEA_SNEEZE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067776,SEA_SNEEZE_48,SEA_SNEEZE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067777,SEA_SNEEZE_50,SEA_SNEEZE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067778,SEA_SNEEZE_51,SEA_SNEEZE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067779,SEA_SNEEZE_52,SEA_SNEEZE_52,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201221,-
1873887,29067780,SEA_SNEEZE_53,SEA_SNEEZE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067781,SEA_SNEEZE_55,SEA_SNEEZE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067782,SEA_SNEEZE_56,SEA_SNEEZE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067783,SEA_SNEEZE_57,SEA_SNEEZE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067784,SEA_SNEEZE_58,SEA_SNEEZE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067785,SEA_SNEEZE_59,SEA_SNEEZE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067786,SEA_SNEEZE_60,SEA_SNEEZE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067787,SEA_SNEEZE_61,SEA_SNEEZE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067788,SEA_SNEEZE_62,SEA_SNEEZE_62,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1873887,29067789,SEA_SNEEZE_63,SEA_SNEEZE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873887,29067790,SEA_SNEEZE_64,SEA_SNEEZE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
