#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622192,26795050,AXJ10_gp02,AXJ10_gp02,GordTnk2_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622192,26795051,AXJ10_gp03,AXJ10_gp03,GordTnk2_3,-,-,-,DUF935-like protein,protein-coding,-,-,-,DUF935-like protein,20201221,-
1622192,26795052,AXJ10_gp04,AXJ10_gp04,GordTnk2_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795053,AXJ10_gp05,AXJ10_gp05,GordTnk2_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795054,AXJ10_gp06,AXJ10_gp06,GordTnk2_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795055,AXJ10_gp07,AXJ10_gp07,GordTnk2_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1622192,26795056,AXJ10_gp08,AXJ10_gp08,GordTnk2_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795057,AXJ10_gp09,AXJ10_gp09,GordTnk2_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795058,AXJ10_gp10,AXJ10_gp10,GordTnk2_10,-,-,-,morphogensis protein,protein-coding,-,-,-,morphogensis protein,20201221,-
1622192,26795059,AXJ10_gp11,AXJ10_gp11,GordTnk2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795060,AXJ10_gp12,AXJ10_gp12,GordTnk2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795061,AXJ10_gp13,AXJ10_gp13,GordTnk2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795062,AXJ10_gp14,AXJ10_gp14,GordTnk2_15,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622192,26795063,AXJ10_gp16,AXJ10_gp16,GordTnk2_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1622192,26795064,AXJ10_gp17,AXJ10_gp17,GordTnk2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795065,AXJ10_gp18,AXJ10_gp18,GordTnk2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795066,AXJ10_gp19,AXJ10_gp19,GordTnk2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795067,AXJ10_gp20,AXJ10_gp20,GordTnk2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795068,AXJ10_gp21,AXJ10_gp21,GordTnk2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795069,AXJ10_gp22,AXJ10_gp22,GordTnk2_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1622192,26795070,AXJ10_gp23,AXJ10_gp23,GordTnk2_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795071,AXJ10_gp24,AXJ10_gp24,GordTnk2_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1622192,26795072,AXJ10_gp25,AXJ10_gp25,GordTnk2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795073,AXJ10_gp26,AXJ10_gp26,GordTnk2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795074,AXJ10_gp27,AXJ10_gp27,GordTnk2_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622192,26795075,AXJ10_gp28,AXJ10_gp28,GordTnk2_28,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1622192,26795076,AXJ10_gp29,AXJ10_gp29,GordTnk2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795077,AXJ10_gp30,AXJ10_gp30,GordTnk2_30,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622192,26795078,AXJ10_gp31,AXJ10_gp31,GordTnk2_31,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1622192,26795079,AXJ10_gp32,AXJ10_gp32,GordTnk2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795080,AXJ10_gp33,AXJ10_gp33,GordTnk2_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1622192,26795081,AXJ10_gp34,AXJ10_gp34,GordTnk2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795082,AXJ10_gp35,AXJ10_gp35,GordTnk2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795083,AXJ10_gp36,AXJ10_gp36,GordTnk2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795084,AXJ10_gp37,AXJ10_gp37,GordTnk2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795085,AXJ10_gp38,AXJ10_gp38,GordTnk2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795086,AXJ10_gp39,AXJ10_gp39,GordTnk2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795087,AXJ10_gp40,AXJ10_gp40,GordTnk2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795088,AXJ10_gp41,AXJ10_gp41,GordTnk2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795089,AXJ10_gp42,AXJ10_gp42,GordTnk2_42,-,-,-,thymidylate synthase ThyX,protein-coding,-,-,-,thymidylate synthase ThyX,20201221,-
1622192,26795090,AXJ10_gp43,AXJ10_gp43,GordTnk2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795091,AXJ10_gp44,AXJ10_gp44,GordTnk2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795092,AXJ10_gp45,AXJ10_gp45,GordTnk2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795093,AXJ10_gp46,AXJ10_gp46,GordTnk2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795094,AXJ10_gp47,AXJ10_gp47,GordTnk2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795095,AXJ10_gp48,AXJ10_gp48,GordTnk2_48,-,-,-,transcription factor WhiB,protein-coding,-,-,-,transcription factor WhiB,20201221,-
1622192,26795096,AXJ10_gp49,AXJ10_gp49,GordTnk2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795097,AXJ10_gp50,AXJ10_gp50,GordTnk2_50,-,-,-,RusA-like ribonuclease,protein-coding,-,-,-,RusA-like ribonuclease,20201221,-
1622192,26795098,AXJ10_gp51,AXJ10_gp51,GordTnk2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795099,AXJ10_gp52,AXJ10_gp52,GordTnk2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795100,AXJ10_gp53,AXJ10_gp53,GordTnk2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795101,AXJ10_gp54,AXJ10_gp54,GordTnk2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795102,AXJ10_gp55,AXJ10_gp55,GordTnk2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795103,AXJ10_gp56,AXJ10_gp56,GordTnk2_56,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1622192,26795104,AXJ10_gp57,AXJ10_gp57,GordTnk2_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622192,26795105,AXJ10_gp58,AXJ10_gp58,GordTnk2_58,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20201221,-
1622192,26795106,AXJ10_gp59,AXJ10_gp59,GordTnk2_59,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1622192,26795107,AXJ10_gp60,AXJ10_gp60,GordTnk2_60,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
