#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1796996,29122937,4,BJD77_gp004,KITKAT_4,-,-,-,"terminase large subunit, ATPase domain",protein-coding,-,-,-,"terminase large subunit, ATPase domain",20200927,-
1796996,29122938,6,BJD77_gp006,KITKAT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122939,7,BJD77_gp007,KITKAT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122940,8,BJD77_gp008,KITKAT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122941,9,BJD77_gp009,KITKAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122942,11,BJD77_gp011,KITKAT_11,-,-,-,"terminase large subunit, nuclease domain",protein-coding,-,-,-,"terminase large subunit, nuclease domain",20200927,-
1796996,29122943,12,BJD77_gp012,KITKAT_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122944,14,BJD77_gp014,KITKAT_14,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1796996,29122945,16,BJD77_gp016,KITKAT_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122946,17,BJD77_gp017,KITKAT_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1796996,29122947,18,BJD77_gp018,KITKAT_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122948,19,BJD77_gp019,KITKAT_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122949,20,BJD77_gp020,KITKAT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122950,21,BJD77_gp021,KITKAT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122951,22,BJD77_gp022,KITKAT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122952,23,BJD77_gp023,KITKAT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122953,24,BJD77_gp024,KITKAT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122954,25,BJD77_gp025,KITKAT_25,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1796996,29122955,26,BJD77_gp026,KITKAT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122956,27,BJD77_gp027,KITKAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122957,28,BJD77_gp028,KITKAT_28,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1796996,29122958,29,BJD77_gp029,KITKAT_29,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1796996,29122959,30,BJD77_gp030,KITKAT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122960,31,BJD77_gp031,KITKAT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122961,33,BJD77_gp032,KITKAT_33,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1796996,29122962,34,BJD77_gp034,KITKAT_34,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1796996,29122963,32,BJD77_gp033,KITKAT_32,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1796996,29122964,35,BJD77_gp035,KITKAT_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1796996,29122965,36,BJD77_gp036,KITKAT_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1796996,29122966,37,BJD77_gp037,KITKAT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122967,38,BJD77_gp038,KITKAT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122968,39,BJD77_gp039,KITKAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122969,40,BJD77_gp040,KITKAT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122970,41,BJD77_gp041,KITKAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122971,42,BJD77_gp042,KITKAT_42,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20200927,-
1796996,29122972,43,BJD77_gp043,KITKAT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122973,44,BJD77_gp044,KITKAT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122974,45,BJD77_gp045,KITKAT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122975,46,BJD77_gp046,KITKAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122976,48,BJD77_gp048,KITKAT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122977,49,BJD77_gp049,KITKAT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122978,50,BJD77_gp050,KITKAT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122979,51,BJD77_gp051,KITKAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122980,52,BJD77_gp052,KITKAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122981,53,BJD77_gp053,KITKAT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122982,54,BJD77_gp054,KITKAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122983,55,BJD77_gp055,KITKAT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122984,56,BJD77_gp056,KITKAT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122985,57,BJD77_gp057,KITKAT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122986,58,BJD77_gp058,KITKAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122987,59,BJD77_gp059,KITKAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122988,60,BJD77_gp060,KITKAT_60,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20200927,-
1796996,29122989,61,BJD77_gp061,KITKAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122990,62,BJD77_gp062,KITKAT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122991,63,BJD77_gp063,KITKAT_63,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20200927,-
1796996,29122992,64,BJD77_gp064,KITKAT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122993,65,BJD77_gp065,KITKAT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122994,66,BJD77_gp066,KITKAT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122995,67,BJD77_gp067,KITKAT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122996,68,BJD77_gp068,KITKAT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122997,69,BJD77_gp069,KITKAT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122998,70,BJD77_gp070,KITKAT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29122999,71,BJD77_gp071,KITKAT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123000,72,BJD77_gp072,KITKAT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123001,73,BJD77_gp073,KITKAT_73,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20200927,-
1796996,29123002,74,BJD77_gp074,KITKAT_74,-,-,-,RecB-like exonuclease,protein-coding,-,-,-,RecB-like exonuclease,20200927,-
1796996,29123003,75,BJD77_gp075,KITKAT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123004,76,BJD77_gp076,KITKAT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123005,77,BJD77_gp077,KITKAT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123006,78,BJD77_gp078,KITKAT_78,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1796996,29123007,79,BJD77_gp079,KITKAT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123008,80,BJD77_gp080,KITKAT_80,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200927,-
1796996,29123009,81,BJD77_gp081,KITKAT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123010,82,BJD77_gp082,KITKAT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1796996,29123011,83,BJD77_gp083,KITKAT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
