#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2030923,40089723,FDI49_gp02,FDI49_gp02,phiSHEF4_02,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
2030923,40089724,FDI49_gp03,FDI49_gp03,phiSHEF4_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089725,FDI49_gp04,FDI49_gp04,phiSHEF4_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089726,FDI49_gp05,FDI49_gp05,phiSHEF4_05,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2030923,40089727,FDI49_gp06,FDI49_gp06,phiSHEF4_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089728,FDI49_gp07,FDI49_gp07,phiSHEF4_07,-,-,-,chromosome partition protein,protein-coding,-,-,-,chromosome partition protein,20201221,-
2030923,40089729,FDI49_gp08,FDI49_gp08,phiSHEF4_08,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
2030923,40089730,FDI49_gp09,FDI49_gp09,phiSHEF4_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089731,FDI49_gp10,FDI49_gp10,phiSHEF4_10,-,-,-,hemolysin,protein-coding,-,-,-,hemolysin,20210424,-
2030923,40089732,FDI49_gp11,FDI49_gp11,phiSHEF4_11,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2030923,40089733,FDI49_gp12,FDI49_gp12,phiSHEF4_12,-,-,-,bifunctional autolysin precursor,protein-coding,-,-,-,bifunctional autolysin precursor,20201221,-
2030923,40089734,FDI49_gp13,FDI49_gp13,phiSHEF4_13,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20201221,-
2030923,40089735,FDI49_gp14,FDI49_gp14,phiSHEF4_14,-,-,-,modification methylase,protein-coding,-,-,-,modification methylase,20201221,-
2030923,40089736,FDI49_gp15,FDI49_gp15,phiSHEF4_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089737,FDI49_gp16,FDI49_gp16,phiSHEF4_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089738,FDI49_gp17,FDI49_gp17,phiSHEF4_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089739,FDI49_gp18,FDI49_gp18,phiSHEF4_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089740,FDI49_gp19,FDI49_gp19,phiSHEF4_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089741,FDI49_gp20,FDI49_gp20,phiSHEF4_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089742,FDI49_gp21,FDI49_gp21,phiSHEF4_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089743,FDI49_gp22,FDI49_gp22,phiSHEF4_22,-,-,-,beta-lactamase superfamily domain protein,protein-coding,-,-,-,beta-lactamase superfamily domain protein,20201221,-
2030923,40089744,FDI49_gp23,FDI49_gp23,phiSHEF4_23,-,-,-,NUMOD4 motif protein,protein-coding,-,-,-,NUMOD4 motif protein,20201221,-
2030923,40089745,FDI49_gp24,FDI49_gp24,phiSHEF4_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089746,FDI49_gp25,FDI49_gp25,phiSHEF4_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089747,FDI49_gp26,FDI49_gp26,phiSHEF4_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089748,FDI49_gp27,FDI49_gp27,phiSHEF4_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089749,FDI49_gp28,FDI49_gp28,phiSHEF4_28,-,-,-,bifunctional DNA primase/polymerase,protein-coding,-,-,-,bifunctional DNA primase/polymerase,20201221,-
2030923,40089750,FDI49_gp29,FDI49_gp29,phiSHEF4_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089751,FDI49_gp30,FDI49_gp30,phiSHEF4_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089752,FDI49_gp31,FDI49_gp31,phiSHEF4_31,-,-,-,SNF2 family N-terminal domain protein,protein-coding,-,-,-,SNF2 family N-terminal domain protein,20201221,-
2030923,40089753,FDI49_gp32,FDI49_gp32,phiSHEF4_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089754,FDI49_gp33,FDI49_gp33,phiSHEF4_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089755,FDI49_gp34,FDI49_gp34,phiSHEF4_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089756,FDI49_gp35,FDI49_gp35,phiSHEF4_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089757,FDI49_gp36,FDI49_gp36,phiSHEF4_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089758,FDI49_gp37,FDI49_gp37,phiSHEF4_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089759,FDI49_gp38,FDI49_gp38,phiSHEF4_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089760,FDI49_gp39,FDI49_gp39,phiSHEF4_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089761,FDI49_gp40,FDI49_gp40,phiSHEF4_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089762,FDI49_gp41,FDI49_gp41,phiSHEF4_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089763,FDI49_gp42,FDI49_gp42,phiSHEF4_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089764,FDI49_gp43,FDI49_gp43,phiSHEF4_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089765,FDI49_gp44,FDI49_gp44,phiSHEF4_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030923,40089766,FDI49_gp45,FDI49_gp45,phiSHEF4_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
