#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
213777,55803315,HYO74_gp02,HYO74_gp02,P272_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
213777,55803316,HYO74_gp03,HYO74_gp03,P272_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200912,-
213777,55803317,HYO74_gp04,HYO74_gp04,P272_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210417,-
213777,55803318,HYO74_gp05,HYO74_gp05,P272_005,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210417,-
213777,55803319,HYO74_gp06,HYO74_gp06,P272_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803320,HYO74_gp07,HYO74_gp07,P272_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803321,HYO74_gp08,HYO74_gp08,P272_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803322,HYO74_gp09,HYO74_gp09,P272_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803323,HYO74_gp10,HYO74_gp10,P272_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803324,HYO74_gp11,HYO74_gp11,P272_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803325,HYO74_gp12,HYO74_gp12,P272_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803326,HYO74_gp13,HYO74_gp13,P272_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803327,HYO74_gp14,HYO74_gp14,P272_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803328,HYO74_gp15,HYO74_gp15,P272_0015,-,-,-,putative tape-measure protein,protein-coding,-,-,-,putative tape-measure protein,20210417,-
213777,55803329,HYO74_gp16,HYO74_gp16,P272_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803330,HYO74_gp17,HYO74_gp17,P272_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803331,HYO74_gp18,HYO74_gp18,P272_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803332,HYO74_gp19,HYO74_gp19,P272_0019,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210417,-
213777,55803333,HYO74_gp20,HYO74_gp20,P272_0020,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200704,-
213777,55803334,HYO74_gp21,HYO74_gp21,P272_0021,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210417,-
213777,55803335,HYO74_gp22,HYO74_gp22,P272_0022,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200704,-
213777,55803336,HYO74_gp23,HYO74_gp23,P272_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803337,HYO74_gp24,HYO74_gp24,P272_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803338,HYO74_gp25,HYO74_gp25,P272_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803339,HYO74_gp26,HYO74_gp26,P272_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803340,HYO74_gp27,HYO74_gp27,P272_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803341,HYO74_gp28,HYO74_gp28,P272_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803342,HYO74_gp29,HYO74_gp29,P272_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803343,HYO74_gp30,HYO74_gp30,P272_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803344,HYO74_gp31,HYO74_gp31,P272_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803345,HYO74_gp32,HYO74_gp32,P272_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803346,HYO74_gp33,HYO74_gp33,P272_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803347,HYO74_gp34,HYO74_gp34,P272_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803348,HYO74_gp35,HYO74_gp35,P272_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803349,HYO74_gp36,HYO74_gp36,P272_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803350,HYO74_gp37,HYO74_gp37,P272_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803351,HYO74_gp38,HYO74_gp38,P272_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803352,HYO74_gp39,HYO74_gp39,P272_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803353,HYO74_gp40,HYO74_gp40,P272_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803354,HYO74_gp41,HYO74_gp41,P272_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213777,55803355,HYO74_gp42,HYO74_gp42,P272_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213777,55803356,HYO74_gp43,HYO74_gp43,P272_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
