#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718273,26642031,PAE1_2,PAE1_2,-,-,-,-,putative large terminase,protein-coding,-,-,-,putative large terminase,20201221,-
1718273,26642032,PAE1_3,PAE1_3,-,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20201221,-
1718273,26642033,PAE1_4,PAE1_4,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642034,PAE1_5,PAE1_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642035,PAE1_6,PAE1_6,-,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20201221,-
1718273,26642036,PAE1_7,PAE1_7,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642037,PAE1_8,PAE1_8,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642038,PAE1_9,PAE1_9,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1718273,26642039,PAE1_10,PAE1_10,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642040,PAE1_11,PAE1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642041,PAE1_12,PAE1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642042,PAE1_13,PAE1_13,-,-,-,-,putative Rz lysis protein,protein-coding,-,-,-,putative Rz lysis protein,20201221,-
1718273,26642043,PAE1_14,PAE1_14,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1718273,26642044,PAE1_15,PAE1_15,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1718273,26642045,PAE1_16,PAE1_16,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642046,PAE1_17,PAE1_17,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642047,PAE1_18,PAE1_18,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642048,PAE1_19,PAE1_19,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1718273,26642049,PAE1_20,PAE1_20,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1718273,26642050,PAE1_21,PAE1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718273,26642051,PAE1_22,PAE1_22,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642052,PAE1_23,PAE1_23,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1718273,26642053,PAE1_24,PAE1_24,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1718273,26642054,PAE1_25,PAE1_25,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
