#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713274,55817176,HYQ31_gp002,HYQ31_gp002,allotria_2,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210306,-
2713274,55817177,HYQ31_gp003,HYQ31_gp003,allotria_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817178,HYQ31_gp004,HYQ31_gp004,allotria_4,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210129,-
2713274,55817179,HYQ31_gp005,HYQ31_gp005,allotria_5,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713274,55817180,HYQ31_gp006,HYQ31_gp006,allotria_6,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817181,HYQ31_gp007,HYQ31_gp007,allotria_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817182,HYQ31_gp008,HYQ31_gp008,allotria_8,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210129,-
2713274,55817183,HYQ31_gp009,HYQ31_gp009,allotria_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817184,HYQ31_gp010,HYQ31_gp010,allotria_10,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210116,-
2713274,55817185,HYQ31_gp011,HYQ31_gp011,allotria_11,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713274,55817186,HYQ31_gp012,HYQ31_gp012,allotria_12,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210129,-
2713274,55817187,HYQ31_gp013,HYQ31_gp013,allotria_13,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2713274,55817188,HYQ31_gp014,HYQ31_gp014,allotria_14,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713274,55817189,HYQ31_gp015,HYQ31_gp015,allotria_15,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210306,-
2713274,55817190,HYQ31_gp016,HYQ31_gp016,allotria_16,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20210306,-
2713274,55817191,HYQ31_gp017,HYQ31_gp017,allotria_17,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210306,-
2713274,55817192,HYQ31_gp018,HYQ31_gp018,allotria_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817193,HYQ31_gp019,HYQ31_gp019,allotria_19,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713274,55817194,HYQ31_gp020,HYQ31_gp020,allotria_20,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210129,-
2713274,55817195,HYQ31_gp021,HYQ31_gp021,allotria_21,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210403,-
2713274,55817196,HYQ31_gp022,HYQ31_gp022,allotria_22,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210313,-
2713274,55817197,HYQ31_gp023,HYQ31_gp023,allotria_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713274,55817198,HYQ31_gp024,HYQ31_gp024,allotria_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817199,HYQ31_gp025,HYQ31_gp025,allotria_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817200,HYQ31_gp026,HYQ31_gp026,allotria_26,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20200910,-
2713274,55817201,HYQ31_gp027,HYQ31_gp027,allotria_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817202,HYQ31_gp028,HYQ31_gp028,allotria_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817203,HYQ31_gp029,HYQ31_gp029,allotria_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817204,HYQ31_gp030,HYQ31_gp030,allotria_30,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210129,-
2713274,55817205,HYQ31_gp031,HYQ31_gp031,allotria_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713274,55817206,HYQ31_gp032,HYQ31_gp032,allotria_32,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713274,55817207,HYQ31_gp033,HYQ31_gp033,allotria_33,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
