#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
576791,7944001,rIIB,WV8_gp002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200909,-
576791,7944002,3,WV8_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944003,4,WV8_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944004,5,WV8_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944005,6,WV8_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944006,7,WV8_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944007,8,WV8_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944008,9,WV8_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944009,10,WV8_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944010,11,WV8_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944011,12,WV8_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
576791,7944012,13,WV8_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944013,14,WV8_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944014,15,WV8_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944015,16,WV8_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
576791,7944016,17,WV8_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
