#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
622658,8889944,ND2,-,-,-,MT,-,nad2,protein-coding,-,-,-,nad2|NADH dehydrogenase subunit 2,20160730,-
622658,8889945,COX2,-,-,-,MT,-,cox2,protein-coding,-,-,-,cox2|cytochrome c oxidase subunit II,20160730,-
622658,8889946,ATP8,-,-,-,MT,-,atp8,protein-coding,-,-,-,atp8|ATP synthase F0 subunit 8,20150626,-
622658,8889947,ATP6,-,-,-,MT,-,atp6,protein-coding,-,-,-,atp6|ATP synthase F0 subunit 6,20160325,-
622658,8889948,COX3,-,-,-,MT,-,cox3,protein-coding,-,-,-,cox3|cytochrome c oxidase subunit III,20160730,-
622658,8889949,ND3,-,-,-,MT,-,nad3,protein-coding,-,-,-,nad3|NADH dehydrogenase subunit 3,20150626,-
622658,8889950,ND1,-,-,-,MT,-,nad1,protein-coding,-,-,-,nad1|NADH dehydrogenase subunit 1,20150626,-
622658,8889951,CYTB,-,-,-,MT,-,cob,protein-coding,-,-,-,cob|cytochrome b,20150626,-
622658,8889952,ND5,-,-,-,MT,-,nad5,protein-coding,-,-,-,nad5|NADH dehydrogenase subunit 5,20160730,-
622658,8889953,ND4,-,-,-,MT,-,nad4,protein-coding,-,-,-,nad4|NADH dehydrogenase subunit 4,20160730,-
622658,8889954,ND4L,-,-,-,MT,-,nad4L,protein-coding,-,-,-,nad4L|NADH dehydrogenase subunit 4L,20150626,-
622658,8889955,ND6,-,-,-,MT,-,nad6,protein-coding,-,-,-,nad6|NADH dehydrogenase subunit 6,20150626,-
622658,8889956,COX1,-,-,-,MT,-,cox1,protein-coding,-,-,-,cox1|cytochrome c oxidase subunit I,20160730,-
