#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599845,55623188,2,HWC70_gp02,PBI_LAMBO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599845,55623189,3,HWC70_gp03,PBI_LAMBO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2599845,55623190,4,HWC70_gp04,PBI_LAMBO_4,-,-,-,lipase,protein-coding,-,-,-,lipase,20201217,-
2599845,55623191,5,HWC70_gp05,PBI_LAMBO_5,-,-,-,esterase,protein-coding,-,-,-,esterase,20201217,-
2599845,55623192,6,HWC70_gp06,PBI_LAMBO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623193,7,HWC70_gp07,PBI_LAMBO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623194,8,HWC70_gp08,PBI_LAMBO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623195,9,HWC70_gp09,PBI_LAMBO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623196,10,HWC70_gp10,PBI_LAMBO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623197,11,HWC70_gp11,PBI_LAMBO_11,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2599845,55623198,12,HWC70_gp12,PBI_LAMBO_12,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2599845,55623199,13,HWC70_gp13,PBI_LAMBO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623200,14,HWC70_gp14,PBI_LAMBO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623201,15,HWC70_gp15,PBI_LAMBO_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2599845,55623202,16,HWC70_gp16,PBI_LAMBO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623203,17,HWC70_gp17,PBI_LAMBO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623204,19,HWC70_gp19,PBI_LAMBO_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2599845,55623205,20,HWC70_gp20,PBI_LAMBO_20,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200620,-
2599845,55623206,21,HWC70_gp21,PBI_LAMBO_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2599845,55623207,22,HWC70_gp22,PBI_LAMBO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623208,23,HWC70_gp23,PBI_LAMBO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623209,25,HWC70_gp25,PBI_LAMBO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623210,26,HWC70_gp26,PBI_LAMBO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623211,27,HWC70_gp27,PBI_LAMBO_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599845,55623212,28,HWC70_gp28,PBI_LAMBO_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599845,55623213,29,HWC70_gp29,PBI_LAMBO_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599845,55623214,30,HWC70_gp30,PBI_LAMBO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599845,55623215,31,HWC70_gp31,PBI_LAMBO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623216,32,HWC70_gp32,PBI_LAMBO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623217,33,HWC70_gp33,PBI_LAMBO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623218,34,HWC70_gp34,PBI_LAMBO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623219,35,HWC70_gp35,PBI_LAMBO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623220,36,HWC70_gp36,PBI_LAMBO_36,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2599845,55623221,37,HWC70_gp37,PBI_LAMBO_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599845,55623222,38,HWC70_gp38,PBI_LAMBO_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599845,55623223,39,HWC70_gp39,PBI_LAMBO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623224,41,HWC70_gp41,PBI_LAMBO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623225,42,HWC70_gp42,PBI_LAMBO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623226,43,HWC70_gp43,PBI_LAMBO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623227,44,HWC70_gp44,PBI_LAMBO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623228,45,HWC70_gp45,PBI_LAMBO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623229,46,HWC70_gp46,PBI_LAMBO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623230,47,HWC70_gp47,PBI_LAMBO_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599845,55623231,48,HWC70_gp48,PBI_LAMBO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623232,49,HWC70_gp49,PBI_LAMBO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599845,55623233,50,HWC70_gp50,PBI_LAMBO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623234,51,HWC70_gp51,PBI_LAMBO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623235,52,HWC70_gp52,PBI_LAMBO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623236,53,HWC70_gp53,PBI_LAMBO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623237,54,HWC70_gp54,PBI_LAMBO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623238,55,HWC70_gp55,PBI_LAMBO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623239,56,HWC70_gp56,PBI_LAMBO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623240,57,HWC70_gp57,PBI_LAMBO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623241,58,HWC70_gp58,PBI_LAMBO_58,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201217,-
2599845,55623242,59,HWC70_gp59,PBI_LAMBO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623243,60,HWC70_gp60,PBI_LAMBO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623244,61,HWC70_gp61,PBI_LAMBO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623245,62,HWC70_gp62,PBI_LAMBO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623246,63,HWC70_gp63,PBI_LAMBO_63,-,-,-,DNA helicase/nuclease,protein-coding,-,-,-,DNA helicase/nuclease,20210424,-
2599845,55623247,64,HWC70_gp64,PBI_LAMBO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623248,65,HWC70_gp65,PBI_LAMBO_65,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2599845,55623249,66,HWC70_gp66,PBI_LAMBO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623250,67,HWC70_gp67,PBI_LAMBO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623251,68,HWC70_gp68,PBI_LAMBO_68,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2599845,55623252,69,HWC70_gp69,PBI_LAMBO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623253,71,HWC70_gp71,PBI_LAMBO_71,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2599845,55623254,72,HWC70_gp72,PBI_LAMBO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623255,73,HWC70_gp73,PBI_LAMBO_73,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20201217,-
2599845,55623256,74,HWC70_gp74,PBI_LAMBO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623257,75,HWC70_gp75,PBI_LAMBO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599845,55623258,78,HWC70_gp78,PBI_LAMBO_78,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210424,-
2599845,55623259,79,HWC70_gp79,PBI_LAMBO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
