#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698715,26635135,XFACTOR_2,XFACTOR_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698715,26635136,XFACTOR_3,XFACTOR_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1698715,26635137,XFACTOR_4,XFACTOR_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1698715,26635138,XFACTOR_5,XFACTOR_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1698715,26635139,XFACTOR_6,XFACTOR_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1698715,26635140,XFACTOR_7,XFACTOR_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1698715,26635141,XFACTOR_8,XFACTOR_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1698715,26635142,XFACTOR_9,XFACTOR_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1698715,26635143,XFACTOR_10,XFACTOR_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1698715,26635144,XFACTOR_11,XFACTOR_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1698715,26635145,XFACTOR_13,XFACTOR_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698715,26635146,XFACTOR_14,XFACTOR_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1698715,26635147,XFACTOR_12,XFACTOR_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1698715,26635148,XFACTOR_15,XFACTOR_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635149,XFACTOR_16,XFACTOR_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635150,XFACTOR_17,XFACTOR_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635151,XFACTOR_18,XFACTOR_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635152,XFACTOR_19,XFACTOR_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635153,XFACTOR_20,XFACTOR_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635154,XFACTOR_21,XFACTOR_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635155,XFACTOR_22,XFACTOR_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635156,XFACTOR_23,XFACTOR_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698715,26635157,XFACTOR_24,XFACTOR_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635158,XFACTOR_25,XFACTOR_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635159,XFACTOR_26,XFACTOR_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635160,XFACTOR_27,XFACTOR_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635161,XFACTOR_28,XFACTOR_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635162,XFACTOR_29,XFACTOR_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635163,XFACTOR_30,XFACTOR_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1698715,26635164,XFACTOR_31,XFACTOR_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635165,XFACTOR_32,XFACTOR_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1698715,26635166,XFACTOR_33,XFACTOR_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635167,XFACTOR_34,XFACTOR_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635168,XFACTOR_35,XFACTOR_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698715,26635169,XFACTOR_36,XFACTOR_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635170,XFACTOR_37,XFACTOR_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635171,XFACTOR_38,XFACTOR_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635172,XFACTOR_39,XFACTOR_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635173,XFACTOR_40,XFACTOR_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635174,XFACTOR_41,XFACTOR_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1698715,26635175,XFACTOR_42,XFACTOR_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635176,XFACTOR_43,XFACTOR_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635177,XFACTOR_44,XFACTOR_44,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1698715,26635178,XFACTOR_45,XFACTOR_45,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1698715,26635179,XFACTOR_46,XFACTOR_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635180,XFACTOR_47,XFACTOR_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635181,XFACTOR_48,XFACTOR_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635182,XFACTOR_49,XFACTOR_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635183,XFACTOR_50,XFACTOR_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635184,XFACTOR_51,XFACTOR_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635185,XFACTOR_52,XFACTOR_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635186,XFACTOR_53,XFACTOR_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635187,XFACTOR_54,XFACTOR_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635188,XFACTOR_55,XFACTOR_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1698715,26635189,XFACTOR_56,XFACTOR_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1698715,26635190,XFACTOR_57,XFACTOR_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635191,XFACTOR_58,XFACTOR_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698715,26635192,XFACTOR_59,XFACTOR_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635193,XFACTOR_60,XFACTOR_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635194,XFACTOR_61,XFACTOR_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635195,XFACTOR_62,XFACTOR_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635196,XFACTOR_63,XFACTOR_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635197,XFACTOR_64,XFACTOR_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635198,XFACTOR_65,XFACTOR_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635199,XFACTOR_66,XFACTOR_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635200,XFACTOR_67,XFACTOR_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635201,XFACTOR_68,XFACTOR_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635202,XFACTOR_69,XFACTOR_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635203,XFACTOR_70,XFACTOR_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635204,XFACTOR_71,XFACTOR_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635205,XFACTOR_72,XFACTOR_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635206,XFACTOR_73,XFACTOR_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635207,XFACTOR_74,XFACTOR_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635208,XFACTOR_75,XFACTOR_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635209,XFACTOR_76,XFACTOR_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635210,XFACTOR_77,XFACTOR_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635211,XFACTOR_78,XFACTOR_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635212,XFACTOR_79,XFACTOR_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635213,XFACTOR_80,XFACTOR_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635214,XFACTOR_81,XFACTOR_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635215,XFACTOR_82,XFACTOR_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635216,XFACTOR_83,XFACTOR_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635217,XFACTOR_84,XFACTOR_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635218,XFACTOR_85,XFACTOR_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698715,26635219,XFACTOR_86,XFACTOR_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635220,XFACTOR_87,XFACTOR_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635221,XFACTOR_88,XFACTOR_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635222,XFACTOR_89,XFACTOR_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635223,XFACTOR_90,XFACTOR_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635224,XFACTOR_91,XFACTOR_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635225,XFACTOR_92,XFACTOR_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635226,XFACTOR_93,XFACTOR_93,-,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
1698715,26635227,XFACTOR_94,XFACTOR_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635228,XFACTOR_95,XFACTOR_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26635229,XFACTOR_1,XFACTOR_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698715,26680945,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage XFactor).,other,-,-,-,-,20200513,-
