#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
633135,8676597,SP-Abc2_gp02,SP-Abc2_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
633135,8676598,SP-Abc2_gp03,SP-Abc2_gp03,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200629,-
633135,8676599,SP-Abc2_gp04,SP-Abc2_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
633135,8676600,SP-Abc2_gp05,SP-Abc2_gp05,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
633135,8676601,SP-Abc2_gp06,SP-Abc2_gp06,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
633135,8676602,SP-Abc2_gp07,SP-Abc2_gp07,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201220,-
633135,8676603,SP-Abc2_gp08,SP-Abc2_gp08,-,-,-,-,capsid-tail joining protein,protein-coding,-,-,-,capsid-tail joining protein,20200629,-
633135,8676604,SP-Abc2_gp09,SP-Abc2_gp09,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676605,SP-Abc2_gp10,SP-Abc2_gp10,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676606,SP-Abc2_gp11,SP-Abc2_gp11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
633135,8676607,SP-Abc2_gp12,SP-Abc2_gp12,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676608,SP-Abc2_gp13,SP-Abc2_gp13,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676609,SP-Abc2_gp14,SP-Abc2_gp14,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676610,SP-Abc2_gp15,SP-Abc2_gp15,-,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20200629,-
633135,8676611,SP-Abc2_gp16,SP-Abc2_gp16,-,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20200629,-
633135,8676612,SP-Abc2_gp17,SP-Abc2_gp17,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
633135,8676613,SP-Abc2_gp18,SP-Abc2_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676614,SP-Abc2_gp19,SP-Abc2_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676615,SP-Abc2_gp20,SP-Abc2_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676616,SP-Abc2_gp21,SP-Abc2_gp21,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
633135,8676617,SP-Abc2_gp22,SP-Abc2_gp22,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
633135,8676618,SP-Abc2_gp23,SP-Abc2_gp23,-,-,-,-,cro-like protein,protein-coding,-,-,-,cro-like protein,20200629,-
633135,8676619,SP-Abc2_gp24,SP-Abc2_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676620,SP-Abc2_gp25,SP-Abc2_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676621,SP-Abc2_gp26,SP-Abc2_gp26,-,-,-,-,phage antirepressor protein,protein-coding,-,-,-,phage antirepressor protein,20200629,-
633135,8676622,SP-Abc2_gp27,SP-Abc2_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676623,SP-Abc2_gp28,SP-Abc2_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676624,SP-Abc2_gp29,SP-Abc2_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676625,SP-Abc2_gp30,SP-Abc2_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676626,SP-Abc2_gp31,SP-Abc2_gp31,-,-,-,-,DnaC-like protein,protein-coding,-,-,-,DnaC-like protein,20200629,-
633135,8676627,SP-Abc2_gp32,SP-Abc2_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676628,SP-Abc2_gp33,SP-Abc2_gp33,-,-,-,-,Erf protein,protein-coding,-,-,-,Erf protein,20200629,-
633135,8676629,SP-Abc2_gp34,SP-Abc2_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676630,SP-Abc2_gp35,SP-Abc2_gp35,-,-,-,-,single-stranded binding protein,protein-coding,-,-,-,single-stranded binding protein,20200629,-
633135,8676631,SP-Abc2_gp36,SP-Abc2_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676632,SP-Abc2_gp37,SP-Abc2_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676633,SP-Abc2_gp38,SP-Abc2_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676634,SP-Abc2_gp39,SP-Abc2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676635,SP-Abc2_gp40,SP-Abc2_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676636,SP-Abc2_gp41,SP-Abc2_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676637,SP-Abc2_gp42,SP-Abc2_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676638,SP-Abc2_gp43,SP-Abc2_gp43,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
633135,8676639,SP-Abc2_gp44,SP-Abc2_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676640,SP-Abc2_gp45,SP-Abc2_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676641,SP-Abc2_gp46,SP-Abc2_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676642,SP-Abc2_gp47,SP-Abc2_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
633135,8676643,SP-Abc2_gp48,SP-Abc2_gp48,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
633135,8676644,SP-Abc2_gp01,SP-Abc2_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
