#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079564,40099732,FDJ33_gp02,FDJ33_gp02,SEA_BRANDONK123_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2079564,40099733,FDJ33_gp03,FDJ33_gp03,SEA_BRANDONK123_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099734,FDJ33_gp04,FDJ33_gp04,SEA_BRANDONK123_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099735,FDJ33_gp05,FDJ33_gp05,SEA_BRANDONK123_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099736,FDJ33_gp06,FDJ33_gp06,SEA_BRANDONK123_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099737,FDJ33_gp07,FDJ33_gp07,SEA_BRANDONK123_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099738,FDJ33_gp08,FDJ33_gp08,SEA_BRANDONK123_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099739,FDJ33_gp09,FDJ33_gp09,SEA_BRANDONK123_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099740,FDJ33_gp10,FDJ33_gp10,SEA_BRANDONK123_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099741,FDJ33_gp11,FDJ33_gp11,SEA_BRANDONK123_11,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
2079564,40099742,FDJ33_gp12,FDJ33_gp12,SEA_BRANDONK123_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099743,FDJ33_gp13,FDJ33_gp13,SEA_BRANDONK123_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099744,FDJ33_gp14,FDJ33_gp14,SEA_BRANDONK123_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099745,FDJ33_gp15,FDJ33_gp15,SEA_BRANDONK123_15,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2079564,40099746,FDJ33_gp16,FDJ33_gp16,SEA_BRANDONK123_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099747,FDJ33_gp17,FDJ33_gp17,SEA_BRANDONK123_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099748,FDJ33_gp18,FDJ33_gp18,SEA_BRANDONK123_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099749,FDJ33_gp19,FDJ33_gp19,SEA_BRANDONK123_19,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2079564,40099750,FDJ33_gp20,FDJ33_gp20,SEA_BRANDONK123_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099751,FDJ33_gp21,FDJ33_gp21,SEA_BRANDONK123_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099752,FDJ33_gp22,FDJ33_gp22,SEA_BRANDONK123_22,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2079564,40099753,FDJ33_gp23,FDJ33_gp23,SEA_BRANDONK123_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099754,FDJ33_gp24,FDJ33_gp24,SEA_BRANDONK123_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099755,FDJ33_gp25,FDJ33_gp25,SEA_BRANDONK123_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2079564,40099756,FDJ33_gp26,FDJ33_gp26,SEA_BRANDONK123_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079564,40099757,FDJ33_gp27,FDJ33_gp27,SEA_BRANDONK123_27,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201221,-
2079564,40099758,FDJ33_gp28,FDJ33_gp28,SEA_BRANDONK123_28,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2079564,40099759,FDJ33_gp29,FDJ33_gp29,SEA_BRANDONK123_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
