#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655020,25102302,SKKY_2,SKKY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655020,25102303,SKKY_3,SKKY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655020,25102304,SKKY_4,SKKY_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655020,25102305,SKKY_5,SKKY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655020,25102306,SKKY_6,SKKY_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655020,25102307,SKKY_7,SKKY_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655020,25102308,SKKY_8,SKKY_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655020,25102309,SKKY_9,SKKY_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102310,SKKY_10,SKKY_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102311,SKKY_11,SKKY_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655020,25102312,SKKY_13,SKKY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655020,25102313,SKKY_14,SKKY_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655020,25102314,SKKY_12,SKKY_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655020,25102315,SKKY_15,SKKY_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102316,SKKY_16,SKKY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102317,SKKY_17,SKKY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102318,SKKY_18,SKKY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102319,SKKY_19,SKKY_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655020,25102320,SKKY_20,SKKY_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655020,25102321,SKKY_21,SKKY_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655020,25102322,SKKY_22,SKKY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102323,SKKY_23,SKKY_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655020,25102324,SKKY_24,SKKY_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102325,SKKY_25,SKKY_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655020,25102326,SKKY_26,SKKY_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655020,25102327,SKKY_27,SKKY_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655020,25102328,SKKY_28,SKKY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102329,SKKY_29,SKKY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102330,SKKY_30,SKKY_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655020,25102331,SKKY_31,SKKY_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655020,25102332,SKKY_32,SKKY_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655020,25102333,SKKY_33,SKKY_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655020,25102334,SKKY_34,SKKY_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102335,SKKY_35,SKKY_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102336,SKKY_36,SKKY_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655020,25102337,SKKY_37,SKKY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102338,SKKY_38,SKKY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102339,SKKY_39,SKKY_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102340,SKKY_40,SKKY_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102341,SKKY_41,SKKY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102342,SKKY_42,SKKY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102343,SKKY_43,SKKY_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102344,SKKY_44,SKKY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102345,SKKY_45,SKKY_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102346,SKKY_46,SKKY_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655020,25102347,SKKY_47,SKKY_47,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655020,25102348,SKKY_1,SKKY_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655020,25147820,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage SKKY).,other,-,-,-,-,20200513,-
