#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204515,22110278,2,TAJ_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1204515,22110279,3,TAJ_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1204515,22110280,4,TAJ_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1204515,22110281,5,TAJ_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1204515,22110282,6,TAJ_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1204515,22110283,7,TAJ_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1204515,22110284,8,TAJ_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1204515,22110285,9,TAJ_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204515,22110286,10,TAJ_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1204515,22110287,11,TAJ_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1204515,22110288,13,TAJ_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1204515,22110289,14,TAJ_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1204515,22110290,12,TAJ_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1204515,22110291,15,TAJ_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1204515,22110292,16,TAJ_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1204515,22110293,17,TAJ_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110294,18,TAJ_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1204515,22110295,19,TAJ_19,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201221,-
1204515,22110296,20,TAJ_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110297,21,TAJ_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110298,22,TAJ_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110299,23,TAJ_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110300,24,TAJ_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110301,25,TAJ_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110302,26,TAJ_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110303,27,TAJ_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110304,28,TAJ_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110305,29,TAJ_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110306,30,TAJ_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1204515,22110307,31,TAJ_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1204515,22110308,32,TAJ_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1204515,22110309,33,TAJ_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110310,34,TAJ_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110311,35,TAJ_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1204515,22110312,36,TAJ_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110313,37,TAJ_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110314,38,TAJ_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110315,39,TAJ_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110316,40,TAJ_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110317,41,TAJ_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110318,42,TAJ_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110319,43,TAJ_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110320,44,TAJ_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110321,45,TAJ_45,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1204515,22110322,46,TAJ_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110323,47,TAJ_47,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1204515,22110324,48,TAJ_48,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1204515,22110325,49,TAJ_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110326,51,TAJ_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110327,52,TAJ_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110328,53,TAJ_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110329,54,TAJ_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110330,55,TAJ_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110331,56,TAJ_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110332,57,TAJ_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110333,58,TAJ_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110334,59,TAJ_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110335,60,TAJ_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204515,22110336,61,TAJ_61,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1204515,22110337,62,TAJ_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110338,63,TAJ_63,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1204515,22110339,64,TAJ_64,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1204515,22110340,65,TAJ_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110341,66,TAJ_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110342,67,TAJ_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110343,68,TAJ_68,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
1204515,22110344,69,TAJ_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110345,70,TAJ_70,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1204515,22110346,71,TAJ_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110347,72,TAJ_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110348,73,TAJ_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110349,74,TAJ_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110350,75,TAJ_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110351,76,TAJ_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110352,77,TAJ_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110353,78,TAJ_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110354,80,TAJ_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110355,81,TAJ_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110356,82,TAJ_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110357,83,TAJ_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110358,84,TAJ_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110359,85,TAJ_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110360,86,TAJ_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110361,87,TAJ_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110362,88,TAJ_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110363,89,TAJ_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110364,90,TAJ_90,-,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201221,-
1204515,22110365,91,TAJ_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110366,92,TAJ_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204515,22110367,93,TAJ_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
