#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340824,16545906,2,HAMULUS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1340824,16545907,3,HAMULUS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1340824,16545908,4,HAMULUS_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1340824,16545909,5,HAMULUS_5,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1340824,16545910,6,HAMULUS_6,-,-,-,-,Capsid,protein-coding,-,-,-,Capsid,20210403,-
1340824,16545911,7,HAMULUS_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1340824,16545912,8,HAMULUS_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1340824,16545913,9,HAMULUS_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1340824,16545914,10,HAMULUS_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1340824,16545915,11,HAMULUS_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1340824,16545916,13,HAMULUS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1340824,16545917,14,HAMULUS_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1340824,16545918,12,HAMULUS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1340824,16545919,15,HAMULUS_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1340824,16545920,16,HAMULUS_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1340824,16545921,17,HAMULUS_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545922,18,HAMULUS_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1340824,16545923,19,HAMULUS_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
1340824,16545924,20,HAMULUS_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545925,21,HAMULUS_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545926,22,HAMULUS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545927,23,HAMULUS_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545928,24,HAMULUS_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545929,25,HAMULUS_25,-,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20201221,-
1340824,16545930,26,HAMULUS_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545931,27,HAMULUS_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545932,28,HAMULUS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545933,29,HAMULUS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545934,30,HAMULUS_30,-,-,-,-,LysA,protein-coding,-,-,-,LysA,20201221,-
1340824,16545935,31,HAMULUS_31,-,-,-,-,HNH homing endonuclease domain protein,protein-coding,-,-,-,HNH homing endonuclease domain protein,20201221,-
1340824,16545936,32,HAMULUS_32,-,-,-,-,LysB,protein-coding,-,-,-,LysB,20201221,-
1340824,16545937,33,HAMULUS_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
1340824,16545938,34,HAMULUS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545939,35,HAMULUS_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545940,36,HAMULUS_36,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210406,-
1340824,16545941,37,HAMULUS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545942,38,HAMULUS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545943,39,HAMULUS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545944,40,HAMULUS_40,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20210406,-
1340824,16545945,41,HAMULUS_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545946,42,HAMULUS_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545947,43,HAMULUS_43,-,-,-,-,integrase XerD,protein-coding,-,-,-,integrase XerD,20201221,-
1340824,16545948,44,HAMULUS_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545949,45,HAMULUS_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545950,46,HAMULUS_46,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201221,-
1340824,16545951,47,HAMULUS_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545952,48,HAMULUS_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1340824,16545953,49,HAMULUS_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545954,50,HAMULUS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545955,51,HAMULUS_51,-,-,-,-,TOR inhibition protein,protein-coding,-,-,-,TOR inhibition protein,20210212,-
1340824,16545956,52,HAMULUS_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545957,53,HAMULUS_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545958,54,HAMULUS_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545959,55,HAMULUS_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545960,56,HAMULUS_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545961,57,HAMULUS_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545962,58,HAMULUS_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1340824,16545963,59,HAMULUS_59,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210212,-
1340824,16545964,60,HAMULUS_60,-,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20201221,-
1340824,16545965,61,HAMULUS_61,-,-,-,-,TC3 transposase,protein-coding,-,-,-,TC3 transposase,20210529,-
1340824,16545966,62,HAMULUS_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545967,63,HAMULUS_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545968,64,HAMULUS_64,-,-,-,-,DNA repair domain,protein-coding,-,-,-,DNA repair domain,20201221,-
1340824,16545969,65,HAMULUS_65,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1340824,16545970,66,HAMULUS_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545971,67,HAMULUS_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545972,68,HAMULUS_68,-,-,-,-,cytosine methyl transferase,protein-coding,-,-,-,cytosine methyl transferase,20201221,-
1340824,16545973,69,HAMULUS_69,-,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1340824,16545974,70,HAMULUS_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545975,71,HAMULUS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545976,72,HAMULUS_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545977,73,HAMULUS_73,-,-,-,-,modification methylase RSRI,protein-coding,-,-,-,modification methylase RSRI,20201221,-
1340824,16545978,74,HAMULUS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545979,75,HAMULUS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545980,76,HAMULUS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545981,77,HAMULUS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545982,78,HAMULUS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545983,79,HAMULUS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545984,80,HAMULUS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545985,81,HAMULUS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545986,82,HAMULUS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545987,83,HAMULUS_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545988,84,HAMULUS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545989,85,HAMULUS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545990,86,HAMULUS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545991,87,HAMULUS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545992,88,HAMULUS_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545993,89,HAMULUS_89,-,-,-,-,ATP binding domain protein,protein-coding,-,-,-,ATP binding domain protein,20201221,-
1340824,16545994,90,HAMULUS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545995,91,HAMULUS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545996,92,HAMULUS_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545997,93,HAMULUS_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545998,94,HAMULUS_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16545999,95,HAMULUS_95,-,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210123,-
1340824,16546000,96,HAMULUS_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16546001,97,HAMULUS_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16546002,98,HAMULUS_98,-,-,-,-,trigger factor,protein-coding,-,-,-,trigger factor,20201221,-
1340824,16546003,99,HAMULUS_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16546004,100,HAMULUS_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16546005,101,HAMULUS_101,-,-,-,-,polypeptide N-acetylglucos-aminyltransferase,protein-coding,-,-,-,polypeptide N-acetylglucos-aminyltransferase,20201221,-
1340824,16546006,102,HAMULUS_102,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20201221,-
1340824,16546007,103,HAMULUS_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340824,16546008,104,HAMULUS_104,-,-,-,-,N-acetylglucos-aminyltransferase,protein-coding,-,-,-,N-acetylglucos-aminyltransferase,20201221,-
1340824,16546009,105,HAMULUS_105,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20210424,-
1340824,16546010,1,HAMULUS_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1340824,16691745,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Hamulus).,other,-,-,-,-,20200513,-
