#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079571,62362967,JMN87_gp62,JMN87_gp62,SEA_PIPPIN_62,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210406,-
2079571,62362968,JMN87_gp58,JMN87_gp58,SEA_PIPPIN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362969,JMN87_gp06,JMN87_gp06,SEA_PIPPIN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362970,JMN87_gp97,JMN87_gp97,SEA_PIPPIN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362971,JMN87_gp96,JMN87_gp96,SEA_PIPPIN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362972,JMN87_gp95,JMN87_gp95,SEA_PIPPIN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362973,JMN87_gp94,JMN87_gp94,SEA_PIPPIN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362974,JMN87_gp93,JMN87_gp93,SEA_PIPPIN_93,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2079571,62362975,JMN87_gp92,JMN87_gp92,SEA_PIPPIN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362976,JMN87_gp91,JMN87_gp91,SEA_PIPPIN_91,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62362977,JMN87_gp90,JMN87_gp90,SEA_PIPPIN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2079571,62362978,JMN87_gp89,JMN87_gp89,SEA_PIPPIN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362979,JMN87_gp88,JMN87_gp88,SEA_PIPPIN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362980,JMN87_gp87,JMN87_gp87,SEA_PIPPIN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362981,JMN87_gp86,JMN87_gp86,SEA_PIPPIN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362982,JMN87_gp85,JMN87_gp85,SEA_PIPPIN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362983,JMN87_gp84,JMN87_gp84,SEA_PIPPIN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362984,JMN87_gp83,JMN87_gp83,SEA_PIPPIN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362985,JMN87_gp82,JMN87_gp82,SEA_PIPPIN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362986,JMN87_gp81,JMN87_gp81,SEA_PIPPIN_81,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2079571,62362987,JMN87_gp80,JMN87_gp80,SEA_PIPPIN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362988,JMN87_gp79,JMN87_gp79,SEA_PIPPIN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2079571,62362989,JMN87_gp78,JMN87_gp78,SEA_PIPPIN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
