#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1279082,17825045,X916_gp02,X916_gp02,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20201221,-
1279082,17825046,X916_gp03,X916_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825047,X916_gp04,X916_gp04,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1279082,17825048,X916_gp05,X916_gp05,-,-,-,-,putative major capsid protein and peptidase U35,protein-coding,-,-,-,putative major capsid protein and peptidase U35,20201221,-
1279082,17825049,X916_gp06,X916_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825050,X916_gp07,X916_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825051,X916_gp08,X916_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825052,X916_gp09,X916_gp09,-,-,-,-,putative minor tail protein Z,protein-coding,-,-,-,putative minor tail protein Z,20201221,-
1279082,17825053,X916_gp10,X916_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825054,X916_gp11,X916_gp11,-,-,-,-,putative baseplate assembly protein V,protein-coding,-,-,-,putative baseplate assembly protein V,20201221,-
1279082,17825055,X916_gp12,X916_gp12,-,-,-,-,putative baseplate assembly protein with lysozyme,protein-coding,-,-,-,putative baseplate assembly protein with lysozyme,20201221,-
1279082,17825056,X916_gp13,X916_gp13,-,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20201221,-
1279082,17825057,X916_gp14,X916_gp14,-,-,-,-,putative tail protein I,protein-coding,-,-,-,putative tail protein I,20201221,-
1279082,17825058,X916_gp15,X916_gp15,-,-,-,-,putative tail-collar fibre protein,protein-coding,-,-,-,putative tail-collar fibre protein,20201221,-
1279082,17825059,X916_gp16,X916_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825060,X916_gp17,X916_gp17,-,-,-,-,putative tail collar domain-containing protein,protein-coding,-,-,-,putative tail collar domain-containing protein,20201221,-
1279082,17825061,X916_gp18,X916_gp18,-,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20201221,-
1279082,17825062,X916_gp19,X916_gp19,-,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20201221,-
1279082,17825063,X916_gp20,X916_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1279082,17825064,X916_gp21,X916_gp21,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
