#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175504,12978761,A321_gp81,A321_gp81,-,-,-,-,major head subunit,protein-coding,-,-,-,major head subunit,20200909,-
1175504,12978762,A321_gp80,A321_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978763,A321_gp79,A321_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978764,A321_gp87,A321_gp87,-,-,-,-,holin,protein-coding,-,-,-,holin,20200909,-
1175504,12978765,A321_gp86,A321_gp86,-,-,-,-,lysinB,protein-coding,-,-,-,lysinB,20200909,-
1175504,12978766,A321_gp85,A321_gp85,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1175504,12978767,A321_gp84,A321_gp84,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
1175504,12978768,A321_gp83,A321_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978769,A321_gp82,A321_gp82,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200909,-
1175504,12978770,A321_gp78,A321_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978771,A321_gp77,A321_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978772,A321_gp76,A321_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978773,A321_gp75,A321_gp75,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200909,-
1175504,12978774,A321_gp74,A321_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978775,A321_gp73,A321_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978776,A321_gp72,A321_gp72,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1175504,12978777,A321_gp71,A321_gp71,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1175504,12978778,A321_gp70,A321_gp70,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1175504,12978779,A321_gp69,A321_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978780,A321_gp68,A321_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978781,A321_gp67,A321_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978782,A321_gp66,A321_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978783,A321_gp65,A321_gp65,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200909,-
1175504,12978784,A321_gp64,A321_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978785,A321_gp63,A321_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978786,A321_gp62,A321_gp62,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200909,-
1175504,12978787,A321_gp61,A321_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978788,A321_gp60,A321_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978789,A321_gp59,A321_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978790,A321_gp58,A321_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978791,A321_gp57,A321_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978792,A321_gp56,A321_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978793,A321_gp55,A321_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978794,A321_gp54,A321_gp54,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
1175504,12978795,A321_gp53,A321_gp53,-,-,-,-,LacI family transcriptional regulator,protein-coding,-,-,-,LacI family transcriptional regulator,20200909,-
1175504,12978796,A321_gp52,A321_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978797,A321_gp51,A321_gp51,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200909,-
1175504,12978798,A321_gp50,A321_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978799,A321_gp49,A321_gp49,-,-,-,-,flavin-dependentthymidylate synthase,protein-coding,-,-,-,flavin-dependentthymidylate synthase,20200909,-
1175504,12978800,A321_gp48,A321_gp48,-,-,-,-,class II ribonucleotidereductase,protein-coding,-,-,-,class II ribonucleotidereductase,20200909,-
1175504,12978801,A321_gp47,A321_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978802,A321_gp46,A321_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978803,A321_gp45,A321_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978804,A321_gp44,A321_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978805,A321_gp43,A321_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978806,A321_gp42,A321_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978807,A321_gp41,A321_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978808,A321_gp40,A321_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978809,A321_gp39,A321_gp39,-,-,-,-,leishmanolysin-like peptidase,protein-coding,-,-,-,leishmanolysin-like peptidase,20200909,-
1175504,12978810,A321_gp38,A321_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978811,A321_gp37,A321_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978812,A321_gp36,A321_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978813,A321_gp35,A321_gp35,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200909,-
1175504,12978814,A321_gp34,A321_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978815,A321_gp33,A321_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978816,A321_gp32,A321_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978817,A321_gp31,A321_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978818,A321_gp30,A321_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978819,A321_gp29,A321_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978820,A321_gp28,A321_gp28,-,-,-,-,DnaB helicase,protein-coding,-,-,-,DnaB helicase,20200909,-
1175504,12978821,A321_gp27,A321_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978822,A321_gp26,A321_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978823,A321_gp25,A321_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978824,A321_gp24,A321_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978825,A321_gp23,A321_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978826,A321_gp22,A321_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978827,A321_gp21,A321_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978828,A321_gp20,A321_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978829,A321_gp19,A321_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978830,A321_gp18,A321_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978831,A321_gp17,A321_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978832,A321_gp16,A321_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978833,A321_gp15,A321_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978834,A321_gp14,A321_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978835,A321_gp13,A321_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978836,A321_gp12,A321_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978837,A321_gp11,A321_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978838,A321_gp10,A321_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978839,A321_gp09,A321_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978840,A321_gp08,A321_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978841,A321_gp07,A321_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978842,A321_gp06,A321_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978843,A321_gp05,A321_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978844,A321_gp04,A321_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978845,A321_gp03,A321_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978846,A321_gp02,A321_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978847,A321_gp01,A321_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978848,A321_gp94,A321_gp94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978849,A321_gp93,A321_gp93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175504,12978850,A321_gp92,A321_gp92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
