#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838062,28802946,2,BH771_gp02,PBI_BLUEBERRY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1838062,28802947,3,BH771_gp03,PBI_BLUEBERRY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1838062,28802948,4,BH771_gp04,PBI_BLUEBERRY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1838062,28802949,5,BH771_gp05,PBI_BLUEBERRY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1838062,28802950,6,BH771_gp06,PBI_BLUEBERRY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1838062,28802951,7,BH771_gp07,PBI_BLUEBERRY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802952,8,BH771_gp08,PBI_BLUEBERRY_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1838062,28802953,9,BH771_gp09,PBI_BLUEBERRY_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1838062,28802954,10,BH771_gp10,PBI_BLUEBERRY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802955,11,BH771_gp11,PBI_BLUEBERRY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802956,12,BH771_gp12,PBI_BLUEBERRY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802957,13,BH771_gp13,PBI_BLUEBERRY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802958,14,BH771_gp14,PBI_BLUEBERRY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802959,15,BH771_gp15,PBI_BLUEBERRY_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1838062,28802960,16,BH771_gp16,PBI_BLUEBERRY_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1838062,28802961,18,BH771_gp17,PBI_BLUEBERRY_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1838062,28802962,19,BH771_gp19,PBI_BLUEBERRY_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1838062,28802963,17,BH771_gp18,PBI_BLUEBERRY_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1838062,28802964,20,BH771_gp20,PBI_BLUEBERRY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1838062,28802965,21,BH771_gp21,PBI_BLUEBERRY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838062,28802966,22,BH771_gp22,PBI_BLUEBERRY_22,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210424,-
1838062,28802967,23,BH771_gp23,PBI_BLUEBERRY_23,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210424,-
1838062,28802968,24,BH771_gp24,PBI_BLUEBERRY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838062,28802969,25,BH771_gp25,PBI_BLUEBERRY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802970,26,BH771_gp26,PBI_BLUEBERRY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802971,27,BH771_gp27,PBI_BLUEBERRY_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210424,-
1838062,28802972,28,BH771_gp28,PBI_BLUEBERRY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802973,29,BH771_gp29,PBI_BLUEBERRY_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838062,28802974,30,BH771_gp30,PBI_BLUEBERRY_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838062,28802975,31,BH771_gp31,PBI_BLUEBERRY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802976,32,BH771_gp32,PBI_BLUEBERRY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1838062,28802977,33,BH771_gp33,PBI_BLUEBERRY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1838062,28802978,34,BH771_gp34,PBI_BLUEBERRY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802979,35,BH771_gp35,PBI_BLUEBERRY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802980,36,BH771_gp36,PBI_BLUEBERRY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802981,37,BH771_gp37,PBI_BLUEBERRY_37,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
1838062,28802982,38,BH771_gp38,PBI_BLUEBERRY_38,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
1838062,28802983,39,BH771_gp39,PBI_BLUEBERRY_39,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1838062,28802984,40,BH771_gp40,PBI_BLUEBERRY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802985,41,BH771_gp41,PBI_BLUEBERRY_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1838062,28802986,42,BH771_gp42,PBI_BLUEBERRY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802987,43,BH771_gp43,PBI_BLUEBERRY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802988,44,BH771_gp44,PBI_BLUEBERRY_44,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1838062,28802989,45,BH771_gp45,PBI_BLUEBERRY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802990,46,BH771_gp46,PBI_BLUEBERRY_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1838062,28802991,47,BH771_gp47,PBI_BLUEBERRY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802992,48,BH771_gp48,PBI_BLUEBERRY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802993,49,BH771_gp49,PBI_BLUEBERRY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802994,50,BH771_gp50,PBI_BLUEBERRY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802995,51,BH771_gp51,PBI_BLUEBERRY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802996,52,BH771_gp52,PBI_BLUEBERRY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802997,53,BH771_gp53,PBI_BLUEBERRY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802998,54,BH771_gp54,PBI_BLUEBERRY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28802999,55,BH771_gp55,PBI_BLUEBERRY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803000,56,BH771_gp56,PBI_BLUEBERRY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803001,57,BH771_gp57,PBI_BLUEBERRY_57,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
1838062,28803002,58,BH771_gp58,PBI_BLUEBERRY_58,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
1838062,28803003,59,BH771_gp59,PBI_BLUEBERRY_59,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1838062,28803004,60,BH771_gp60,PBI_BLUEBERRY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803005,61,BH771_gp61,PBI_BLUEBERRY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803006,62,BH771_gp62,PBI_BLUEBERRY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803007,63,BH771_gp63,PBI_BLUEBERRY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803008,64,BH771_gp64,PBI_BLUEBERRY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803009,65,BH771_gp65,PBI_BLUEBERRY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803010,66,BH771_gp66,PBI_BLUEBERRY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803011,67,BH771_gp67,PBI_BLUEBERRY_67,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20210424,-
1838062,28803012,68,BH771_gp68,PBI_BLUEBERRY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803013,69,BH771_gp69,PBI_BLUEBERRY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803014,70,BH771_gp70,PBI_BLUEBERRY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803015,71,BH771_gp71,PBI_BLUEBERRY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803016,72,BH771_gp72,PBI_BLUEBERRY_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1838062,28803017,73,BH771_gp73,PBI_BLUEBERRY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803018,74,BH771_gp74,PBI_BLUEBERRY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803019,75,BH771_gp75,PBI_BLUEBERRY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803020,76,BH771_gp76,PBI_BLUEBERRY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803021,77,BH771_gp77,PBI_BLUEBERRY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803022,78,BH771_gp78,PBI_BLUEBERRY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803023,79,BH771_gp79,PBI_BLUEBERRY_79,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
1838062,28803024,80,BH771_gp80,PBI_BLUEBERRY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803025,81,BH771_gp81,PBI_BLUEBERRY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803026,82,BH771_gp82,PBI_BLUEBERRY_82,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1838062,28803027,83,BH771_gp83,PBI_BLUEBERRY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803028,84,BH771_gp84,PBI_BLUEBERRY_84,-,-,-,transposase,protein-coding,-,-,-,transposase,20200927,-
1838062,28803029,85,BH771_gp85,PBI_BLUEBERRY_85,-,-,-,transposase,protein-coding,-,-,-,transposase,20210123,-
1838062,28803030,86,BH771_gp86,PBI_BLUEBERRY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838062,28803031,1,BH771_gp01,PBI_BLUEBERRY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1838062,29122364,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
