#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
301207,54440093,BU25DRAFT_100067,BU25DRAFT_100067,-,-,Unknown,-,Xanthine/uracil permease,protein-coding,-,-,-,Xanthine/uracil permease,20210320,-
301207,54440094,BU25DRAFT_100085,BU25DRAFT_100085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440095,BU25DRAFT_100100,BU25DRAFT_100100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440096,BU25DRAFT_100347,BU25DRAFT_100347,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440097,BU25DRAFT_100752,BU25DRAFT_100752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440098,BU25DRAFT_100784,BU25DRAFT_100784,-,-,Unknown,-,N amino acid transport system protein,protein-coding,-,-,-,N amino acid transport system protein,20210320,-
301207,54440099,BU25DRAFT_101036,BU25DRAFT_101036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440100,BU25DRAFT_101140,BU25DRAFT_101140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440101,BU25DRAFT_101345,BU25DRAFT_101345,-,-,Unknown,-,adenine nucleotide alpha hydrolases-like protein,protein-coding,-,-,-,adenine nucleotide alpha hydrolases-like protein,20210320,-
301207,54440102,BU25DRAFT_101381,BU25DRAFT_101381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440103,BU25DRAFT_10177,BU25DRAFT_10177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440104,BU25DRAFT_101878,BU25DRAFT_101878,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440105,BU25DRAFT_101891,BU25DRAFT_101891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440106,BU25DRAFT_102196,BU25DRAFT_102196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440107,BU25DRAFT_102202,BU25DRAFT_102202,-,-,Unknown,-,NADH:flavin oxidoreductase/NADH oxidase,protein-coding,-,-,-,NADH:flavin oxidoreductase/NADH oxidase,20210320,-
301207,54440108,BU25DRAFT_102344,BU25DRAFT_102344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440109,BU25DRAFT_102613,BU25DRAFT_102613,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440110,BU25DRAFT_102675,BU25DRAFT_102675,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440111,BU25DRAFT_10296,BU25DRAFT_10296,-,-,Unknown,-,actin-like ATPase domain-containing protein,protein-coding,-,-,-,actin-like ATPase domain-containing protein,20210320,-
301207,54440112,BU25DRAFT_103,BU25DRAFT_103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440113,BU25DRAFT_10301,BU25DRAFT_10301,-,-,Unknown,-,transcriptional coactivator/pterin dehydratase,protein-coding,-,-,-,transcriptional coactivator/pterin dehydratase,20210320,-
301207,54440114,BU25DRAFT_103507,BU25DRAFT_103507,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440115,BU25DRAFT_103583,BU25DRAFT_103583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440116,BU25DRAFT_103706,BU25DRAFT_103706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440117,BU25DRAFT_103793,BU25DRAFT_103793,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440118,BU25DRAFT_103800,BU25DRAFT_103800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440119,BU25DRAFT_103961,BU25DRAFT_103961,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440120,BU25DRAFT_104077,BU25DRAFT_104077,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440121,BU25DRAFT_104094,BU25DRAFT_104094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440122,BU25DRAFT_104252,BU25DRAFT_104252,-,-,Unknown,-,"transcription initiation factor IIE, beta subunit",protein-coding,-,-,-,"transcription initiation factor IIE, beta subunit",20210320,-
301207,54440123,BU25DRAFT_104278,BU25DRAFT_104278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440124,BU25DRAFT_104302,BU25DRAFT_104302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440125,BU25DRAFT_104621,BU25DRAFT_104621,-,-,Unknown,-,HD-domain/PDEase-like protein,protein-coding,-,-,-,HD-domain/PDEase-like protein,20210320,-
301207,54440126,BU25DRAFT_104643,BU25DRAFT_104643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440127,BU25DRAFT_104662,BU25DRAFT_104662,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440128,BU25DRAFT_104663,BU25DRAFT_104663,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440129,BU25DRAFT_104675,BU25DRAFT_104675,-,-,Unknown,-,t-SNARE,protein-coding,-,-,-,t-SNARE,20210320,-
301207,54440130,BU25DRAFT_104700,BU25DRAFT_104700,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440131,BU25DRAFT_104707,BU25DRAFT_104707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440132,BU25DRAFT_104970,BU25DRAFT_104970,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440133,BU25DRAFT_105035,BU25DRAFT_105035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440134,BU25DRAFT_105093,BU25DRAFT_105093,-,-,Unknown,-,L-cystine transporter-like protein,protein-coding,-,-,-,L-cystine transporter-like protein,20210320,-
301207,54440135,BU25DRAFT_105180,BU25DRAFT_105180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440136,BU25DRAFT_105188,BU25DRAFT_105188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440137,BU25DRAFT_105272,BU25DRAFT_105272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440138,BU25DRAFT_105338,BU25DRAFT_105338,-,-,Unknown,-,transcription elongation factor Spt5,protein-coding,-,-,-,transcription elongation factor Spt5,20210320,-
301207,54440139,BU25DRAFT_105350,BU25DRAFT_105350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440140,BU25DRAFT_105459,BU25DRAFT_105459,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440141,BU25DRAFT_105599,BU25DRAFT_105599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440142,BU25DRAFT_105625,BU25DRAFT_105625,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440143,BU25DRAFT_105679,BU25DRAFT_105679,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440144,BU25DRAFT_105725,BU25DRAFT_105725,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
301207,54440145,BU25DRAFT_105846,BU25DRAFT_105846,-,-,Unknown,-,carotenoid oxygenase,protein-coding,-,-,-,carotenoid oxygenase,20210320,-
301207,54440146,BU25DRAFT_105848,BU25DRAFT_105848,-,-,Unknown,-,family A G protein-coupled receptor-like protein,protein-coding,-,-,-,family A G protein-coupled receptor-like protein,20210320,-
301207,54440147,BU25DRAFT_10587,BU25DRAFT_10587,-,-,Unknown,-,ubiquitin-conjugating enzyme E2 6,protein-coding,-,-,-,ubiquitin-conjugating enzyme E2 6,20210320,-
301207,54440148,BU25DRAFT_105903,BU25DRAFT_105903,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440149,BU25DRAFT_105905,BU25DRAFT_105905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440150,BU25DRAFT_105948,BU25DRAFT_105948,-,-,Unknown,-,WD repeat-containing protein-like protein mip1,protein-coding,-,-,-,WD repeat-containing protein-like protein mip1,20210320,-
301207,54440151,BU25DRAFT_106373,BU25DRAFT_106373,-,-,Unknown,-,uroporphyrin-III C-methyltransferase,protein-coding,-,-,-,uroporphyrin-III C-methyltransferase,20210320,-
301207,54440152,BU25DRAFT_106415,BU25DRAFT_106415,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440153,BU25DRAFT_106445,BU25DRAFT_106445,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440154,BU25DRAFT_106502,BU25DRAFT_106502,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440155,BU25DRAFT_106589,BU25DRAFT_106589,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440156,BU25DRAFT_106590,BU25DRAFT_106590,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440157,BU25DRAFT_106998,BU25DRAFT_106998,-,-,Unknown,-,phosphoadenosine phosphosulfate reductase,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase,20210320,-
301207,54440158,BU25DRAFT_107196,BU25DRAFT_107196,-,-,Unknown,-,D-xylulose kinase-like protein,protein-coding,-,-,-,D-xylulose kinase-like protein,20210320,-
301207,54440159,BU25DRAFT_107224,BU25DRAFT_107224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
301207,54440160,BU25DRAFT_107320,BU25DRAFT_107320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
301207,54440161,BU25DRAFT_107370,BU25DRAFT_107370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
