#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229782,13826491,2,D286_gp02,P91_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229782,13826492,3,D286_gp03,P91_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1229782,13826493,4,D286_gp04,P91_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826494,5,D286_gp05,P91_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229782,13826495,6,D286_gp06,P91_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229782,13826496,7,D286_gp07,P91_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229782,13826497,8,D286_gp08,P91_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826498,9,D286_gp09,P91_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826499,10,D286_gp10,P91_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826500,11,D286_gp11,P91_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229782,13826501,13,D286_gp12,P91_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229782,13826502,14,D286_gp14,P91_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229782,13826503,12,D286_gp13,P91_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229782,13826504,15,D286_gp15,P91_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229782,13826505,16,D286_gp16,P91_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229782,13826506,17,D286_gp17,P91_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229782,13826507,18,D286_gp18,P91_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826508,19,D286_gp19,P91_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229782,13826509,20,D286_gp20,P91_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229782,13826510,21,D286_gp21,P91_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229782,13826511,22,D286_gp22,P91_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826512,23,D286_gp23,P91_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826513,24,D286_gp24,P91_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826514,25,D286_gp25,P91_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826515,26,D286_gp26,P91_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826516,27,D286_gp27,P91_27,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210102,-
1229782,13826517,28,D286_gp28,P91_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826518,29,D286_gp29,P91_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826519,30,D286_gp30,P91_30,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
1229782,13826520,31,D286_gp31,P91_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826521,33,D286_gp33,P91_33,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1229782,13826522,34,D286_gp34,P91_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826523,35,D286_gp35,P91_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826524,36,D286_gp36,P91_36,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1229782,13826525,37,D286_gp37,P91_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826526,38,D286_gp38,P91_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826527,39,D286_gp39,P91_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826528,40,D286_gp40,P91_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826529,41,D286_gp41,P91_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826530,42,D286_gp42,P91_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826531,43,D286_gp43,P91_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826532,44,D286_gp44,P91_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826533,45,D286_gp45,P91_45,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1229782,13826534,32,D286_gp32,P91_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229782,13826535,1,D286_gp01,P91_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229782,13839485,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes phage P9.1).,other,-,-,-,-,20200513,-
