#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041212,40091733,FDI70_gp02,FDI70_gp02,kpv79_02,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20201221,-
2041212,40091734,FDI70_gp03,FDI70_gp03,kpv79_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091735,FDI70_gp04,FDI70_gp04,kpv79_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091736,FDI70_gp05,FDI70_gp05,kpv79_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091737,FDI70_gp06,FDI70_gp06,kpv79_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091738,FDI70_gp07,FDI70_gp07,kpv79_07,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
2041212,40091739,FDI70_gp08,FDI70_gp08,kpv79_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091740,FDI70_gp09,FDI70_gp09,kpv79_09,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201221,-
2041212,40091741,FDI70_gp10,FDI70_gp10,kpv79_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091742,FDI70_gp11,FDI70_gp11,kpv79_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091743,FDI70_gp12,FDI70_gp12,kpv79_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2041212,40091744,FDI70_gp13,FDI70_gp13,kpv79_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091745,FDI70_gp14,FDI70_gp14,kpv79_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091746,FDI70_gp15,FDI70_gp15,kpv79_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091747,FDI70_gp16,FDI70_gp16,kpv79_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2041212,40091748,FDI70_gp17,FDI70_gp17,kpv79_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091749,FDI70_gp18,FDI70_gp18,kpv79_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091750,FDI70_gp19,FDI70_gp19,kpv79_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091751,FDI70_gp20,FDI70_gp20,kpv79_20,-,-,-,DUF4054 domain-containing protein,protein-coding,-,-,-,DUF4054 domain-containing protein,20201221,-
2041212,40091752,FDI70_gp21,FDI70_gp21,kpv79_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091753,FDI70_gp22,FDI70_gp22,kpv79_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091754,FDI70_gp23,FDI70_gp23,kpv79_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091755,FDI70_gp24,FDI70_gp24,kpv79_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041212,40091756,FDI70_gp25,FDI70_gp25,kpv79_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
