#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
754056,15013013,RHVG_00002,RHVG_00002,-,-,-,-,phage repressor,protein-coding,-,-,-,phage repressor,20201220,-
754056,15013014,RHVG_00003,RHVG_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013015,RHVG_00004,RHVG_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013016,RHVG_00005,RHVG_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013017,RHVG_00006,RHVG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013018,RHVG_00007,RHVG_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013019,RHVG_00008,RHVG_00008,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
754056,15013020,RHVG_00009,RHVG_00009,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20201220,-
754056,15013021,RHVG_00010,RHVG_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013022,RHVG_00011,RHVG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013023,RHVG_00012,RHVG_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013024,RHVG_00013,RHVG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013025,RHVG_00014,RHVG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013026,RHVG_00015,RHVG_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013027,RHVG_00016,RHVG_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013028,RHVG_00017,RHVG_00017,-,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20201220,-
754056,15013029,RHVG_00018,RHVG_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013030,RHVG_00019,RHVG_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013031,RHVG_00020,RHVG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013032,RHVG_00021,RHVG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013033,RHVG_00022,RHVG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013034,RHVG_00023,RHVG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013035,RHVG_00024,RHVG_00024,-,-,-,-,MT-A70 family protein,protein-coding,-,-,-,MT-A70 family protein,20201220,-
754056,15013036,RHVG_00025,RHVG_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013037,RHVG_00026,RHVG_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013038,RHVG_00027,RHVG_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013039,RHVG_00028,RHVG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013040,RHVG_00029,RHVG_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013041,RHVG_00030,RHVG_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013042,RHVG_00031,RHVG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013043,RHVG_00032,RHVG_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013044,RHVG_00033,RHVG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013045,RHVG_00034,RHVG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013046,RHVG_00035,RHVG_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013047,RHVG_00036,RHVG_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754056,15013048,RHVG_00037,RHVG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
